Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,1e-06,24.848598,[103  23] ; [10 18],[92.45454545 33.54545455] ; [20.54545455  7.45454545],1
d3,1,4.6e-05,16.619413,[88 38] ; [ 8 20],[78.54545455 47.45454545] ; [17.45454545 10.54545455],1
d2,1,0.000215,13.696647,[55 71] ; [ 2 27],[46.33548387 79.66451613] ; [10.66451613 18.33548387],1
a4,1,0.002674,9.017303,[50 76] ; [ 3 26],[43.08387097 82.91612903] ; [ 9.91612903 19.08387097],0
a3,1,0.007475,7.155183,[85 40] ; [12 17],[78.73376623 46.26623377] ; [18.26623377 10.73376623],0
s5,1,0.019654,5.442407,[32 85] ; [ 2 27],[27.24657534 89.75342466] ; [ 6.75342466 22.24657534],0
b4,1,0.028823,4.778125,[80 46] ; [12 17],[74.78709677 51.21290323] ; [17.21290323 11.78709677],0
a7,1,0.034308,4.479267,[93 33] ; [15 13],[88.36363636 37.63636364] ; [19.63636364  8.36363636],0
p1,1,0.040495,4.197017,[  3 122] ; [ 3 25],[  4.90196078 120.09803922] ; [ 1.09803922 26.90196078],0
a5,1,0.051232,3.800671,[73 53] ; [11 18],[68.28387097 57.71612903] ; [15.71612903 13.28387097],0
v2,1,0.057284,3.614325,[63 58] ; [ 9 19],[58.46979866 62.53020134] ; [13.53020134 14.46979866],0
v3,1,0.121709,2.395187,[35 84] ; [ 4 23],[31.78767123 87.21232877] ; [ 7.21232877 19.78767123],0
v1,1,0.142384,2.152008,[49 74] ; [ 7 21],[45.61589404 77.38410596] ; [10.38410596 17.61589404],0
r1,1,0.150793,2.064212,[91 35] ; [17 12],[87.79354839 38.20645161] ; [20.20645161  8.79354839],0
a2,1,0.177177,1.821148,[ 15 111] ; [ 1 28],[ 13.00645161 112.99354839] ; [ 2.99354839 26.00645161],0
r2,1,0.195829,1.673213,[111  11] ; [24  5],[109.07284768  12.92715232] ; [25.92715232  3.07284768],0
p8,1,0.219826,1.505508,[37 88] ; [12 17],[39.77272727 85.22727273] ; [ 9.22727273 19.77272727],0
n4,1,0.22487,1.473018,[50 76] ; [ 8 21],[47.1483871 78.8516129] ; [10.8516129 18.1483871],0
p11,1,0.22487,1.473018,[76 50] ; [21  8],[78.8516129 47.1483871] ; [18.1483871 10.8516129],0
p3,1,0.266021,1.237149,[29 96] ; [ 4 25],[26.78571429 98.21428571] ; [ 6.21428571 22.78571429],0
b5,1,0.312979,1.018062,[78 48] ; [15 14],[75.6 50.4] ; [17.4 11.6],0
p2,1,0.313009,1.017937,[82 44] ; [21  7],[84.27272727 41.72727273] ; [18.72727273  9.27272727],0
s6,1,0.329346,0.951469,[59 64] ; [11 18],[56.64473684 66.35526316] ; [13.35526316 15.64473684],0
v4,1,0.329682,0.950145,[107  18] ; [25  2],[108.55263158  16.44736842] ; [23.44736842  3.55263158],0
