Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v1,1,0.012893,6.183683,[12 11] ; [14 45],[ 7.29268293 15.70731707] ; [18.70731707 40.29268293],0
a2,1,0.030312,4.691495,[ 3 20] ; [ 1 59],[ 1.10843373 21.89156627] ; [ 2.89156627 57.10843373],0
d5,1,0.032886,4.551713,[18  5] ; [31 28],[13.74390244  9.25609756] ; [35.25609756 23.74390244],0
d1,1,0.04478,4.02691,[11 12] ; [15 45],[ 7.20481928 15.79518072] ; [18.79518072 41.20481928],0
a5,1,0.046443,3.965442,[14  9] ; [22 38],[ 9.97590361 13.02409639] ; [26.02409639 33.97590361],0
v3,1,0.053946,3.714377,[ 6 16] ; [ 6 53],[ 3.25925926 18.74074074] ; [ 8.74074074 50.25925926],0
b4,1,0.082268,3.019522,[16  7] ; [29 31],[12.46987952 10.53012048] ; [32.53012048 27.46987952],0
s6,1,0.093311,2.816312,[13  9] ; [23 37],[ 9.65853659 12.34146341] ; [26.34146341 33.65853659],0
a3,1,0.099515,2.713307,[14  9] ; [24 35],[10.65853659 12.34146341] ; [27.34146341 31.65853659],0
u2,1,0.133614,2.25,[2 7] ; [18 18],[4. 5.] ; [16. 20.],0
p4,1,0.152462,2.047443,[12 11] ; [21 39],[ 9.14457831 13.85542169] ; [23.85542169 36.14457831],0
s5,1,0.176704,1.825132,[ 8 14] ; [13 47],[ 5.63414634 16.36585366] ; [15.36585366 44.63414634],0
a4,1,0.231168,1.43366,[ 7 16] ; [11 49],[ 4.98795181 18.01204819] ; [13.01204819 46.98795181],0
u3,1,0.232923,1.422925,[6 3] ; [16 20],[4.4 4.6] ; [17.6 18.4],0
p6,1,0.238022,1.392268,[ 8 14] ; [14 46],[ 5.90243902 16.09756098] ; [16.09756098 43.90243902],0
r2,1,0.244077,1.356891,[19  4] ; [42 18],[16.90361446  6.09638554] ; [44.09638554 15.90361446],0
b2,1,0.262193,1.257143,[5 6] ; [ 9 24],[3.5 7.5] ; [10.5 22.5],0
b3,1,0.262193,1.257143,[5 6] ; [ 9 24],[3.5 7.5] ; [10.5 22.5],0
s7,1,0.270543,1.213991,[ 8 15] ; [13 44],[ 6.0375 16.9625] ; [14.9625 42.0375],0
s3,1,0.282592,1.154584,[11 12] ; [21 39],[ 8.86746988 14.13253012] ; [23.13253012 36.86746988],0
s8,1,0.311187,1.025629,[ 7 16] ; [12 48],[ 5.26506024 17.73493976] ; [13.73493976 46.26506024],0
s2,1,0.352487,0.864483,[11 12] ; [22 38],[ 9.14457831 13.85542169] ; [23.85542169 36.14457831],0
r3,1,0.372741,0.794508,[20  3] ; [47 13],[18.56626506  4.43373494] ; [48.43373494 11.56626506],0
d3,1,0.376746,0.781292,[14  9] ; [29 29],[12.20987654 10.79012346] ; [30.79012346 27.20987654],0
p2,1,0.418462,0.65463,[13 10] ; [39 20],[14.58536585  8.41463415] ; [37.41463415 21.58536585],0
d4,1,0.420076,0.650102,[16  7] ; [36 24],[14.40963855  8.59036145] ; [37.59036145 22.40963855],0
v4,1,0.442689,0.589303,[20  3] ; [47 12],[18.79268293  4.20731707] ; [48.20731707 10.79268293],0
p9,1,0.517965,0.417944,[14  9] ; [39 18],[15.2375  7.7625] ; [37.7625 19.2375],0
b1,1,0.557804,0.34352,[12 11] ; [27 33],[10.80722892 12.19277108] ; [28.19277108 31.80722892],0
r4,1,0.594585,0.283241,[10 13] ; [30 30],[11.08433735 11.91566265] ; [28.91566265 31.08433735],0
d2,1,0.620046,0.245803,[ 9 14] ; [20 40],[ 8.03614458 14.96385542] ; [20.96385542 39.03614458],0
n1,1,0.6247,0.239316,[2 8] ; [ 7 18],[2.57142857 7.42857143] ; [ 6.42857143 18.57142857],0
n6,1,0.668169,0.183752,[13 10] ; [37 23],[13.85542169  9.14457831] ; [36.14457831 23.85542169],0
p3,1,0.688417,0.160804,[ 8 14] ; [19 41],[ 7.24390244 14.75609756] ; [19.75609756 40.24390244],0
a1,1,0.69108,0.157919,[ 1 22] ; [ 4 56],[ 1.38554217 21.61445783] ; [ 3.61445783 56.38554217],0
p7,1,0.697137,0.151468,[12 11] ; [27 30],[11.2125 11.7875] ; [27.7875 29.2125],0
s4,1,0.724888,0.123858,[ 6 17] ; [18 42],[ 6.65060241 16.34939759] ; [17.34939759 42.65060241],0
p11,1,0.728565,0.120433,[14  9] ; [34 26],[13.30120482  9.69879518] ; [34.69879518 25.30120482],0
u1,1,0.824605,0.049118,[ 1 22] ; [ 2 58],[ 0.8313253 22.1686747] ; [ 2.1686747 57.8313253],0
p8,1,0.829195,0.046541,[ 8 14] ; [23 36],[ 8.41975309 13.58024691] ; [22.58024691 36.41975309],0
b5,1,0.833437,0.044224,[14  9] ; [35 25],[13.57831325  9.42168675] ; [35.42168675 24.57831325],0
p10,1,0.862968,0.02979,[13 10] ; [34 24],[13.34567901  9.65432099] ; [33.65432099 24.34567901],0
n5,1,0.872952,0.025571,[ 8 15] ; [22 38],[ 8.31325301 14.68674699] ; [21.68674699 38.31325301],0
