Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,6.3e-05,16.014554,[101  31] ; [25 29],[89.41935484 42.58064516] ; [36.58064516 17.41935484],1
a6,1,0.000326,12.913408,[89 43] ; [21 33],[78.06451613 53.93548387] ; [31.93548387 22.06451613],1
p10,1,0.001964,9.582703,[80 49] ; [20 34],[70.49180328 58.50819672] ; [29.50819672 24.49180328],0
d5,1,0.003008,8.802606,[104  28] ; [31 23],[95.80645161 36.19354839] ; [39.19354839 14.80645161],0
a2,1,0.007046,7.261296,[ 21 111] ; [ 1 53],[ 15.61290323 116.38709677] ; [ 6.38709677 47.61290323],0
p9,1,0.008305,6.966597,[86 42] ; [25 29],[78.06593407 49.93406593] ; [32.93406593 21.06593407],0
v4,1,0.010669,6.519691,[117  13] ; [40 13],[111.53005464  18.46994536] ; [45.46994536  7.53005464],0
d1,1,0.01125,6.425376,[71 61] ; [18 36],[63.16129032 68.83870968] ; [25.83870968 28.16129032],0
a1,1,0.011767,6.345595,[  2 130] ; [ 5 49],[  4.96774194 127.03225806] ; [ 2.03225806 51.96774194],0
d4,1,0.015816,5.823176,[113  19] ; [38 16],[107.16129032  24.83870968] ; [43.83870968 10.16129032],0
r3,1,0.016771,5.720148,[123   9] ; [44 10],[118.51612903  13.48387097] ; [48.48387097  5.51612903],0
b1,1,0.033688,4.510472,[44 88] ; [27 27],[50.38709677 81.61290323] ; [20.61290323 33.38709677],0
s6,1,0.05906,3.56359,[58 72] ; [16 38],[52.2826087 77.7173913] ; [21.7173913 32.2826087],0
r4,1,0.061531,3.49564,[103  29] ; [35 19],[97.93548387 34.06451613] ; [40.06451613 13.93548387],0
b5,1,0.06411,3.42773,[83 49] ; [26 28],[77.35483871 54.64516129] ; [31.64516129 22.35483871],0
r2,1,0.069022,3.306127,[118  12] ; [43 10],[114.3715847  15.6284153] ; [46.6284153  6.3715847],0
n6,1,0.104834,2.630415,[83 49] ; [27 27],[78.06451613 53.93548387] ; [31.93548387 22.06451613],0
r1,1,0.126547,2.334366,[95 36] ; [33 21],[90.63783784 40.36216216] ; [37.36216216 16.63783784],0
p2,1,0.143441,2.140647,[93 36] ; [33 21],[88.81967213 40.18032787] ; [37.18032787 16.81967213],0
v2,1,0.146426,2.109092,[64 63] ; [20 32],[59.59776536 67.40223464] ; [24.40223464 27.59776536],0
s3,1,0.146831,2.104873,[46 84] ; [24 27],[50.27624309 79.72375691] ; [19.72375691 31.27624309],0
a4,1,0.170472,1.878788,[40 92] ; [22 32],[44. 88.] ; [18. 36.],0
b2,1,0.185803,1.750588,[14 48] ; [11 20],[16.66666667 45.33333333] ; [ 8.33333333 22.66666667],0
b3,1,0.185803,1.750588,[14 48] ; [11 20],[16.66666667 45.33333333] ; [ 8.33333333 22.66666667],0
u3,1,0.213728,1.54599,[28 21] ; [10 14],[25.50684932 23.49315068] ; [12.49315068 11.50684932],0
n1,1,0.229104,1.446416,[ 8 33] ; [ 7 14],[ 9.91935484 31.08064516] ; [ 5.08064516 15.91935484],0
a5,1,0.231898,1.429182,[81 51] ; [28 26],[77.35483871 54.64516129] ; [31.64516129 22.35483871],0
p8,1,0.233424,1.419877,[54 76] ; [17 36],[50.43715847 79.56284153] ; [20.56284153 32.43715847],0
v3,1,0.24481,1.352683,[34 93] ; [ 9 40],[31.02840909 95.97159091] ; [11.97159091 37.02840909],0
n2,1,0.286204,1.137394,[23 17] ; [15  6],[24.91803279 15.08196721] ; [13.08196721  7.91803279],0
