Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,6.3e-05,16.005763,[29 14] ; [ 7 26],[20.36842105 22.63157895] ; [15.63157895 17.36842105],1
b4,1,0.000413,12.470943,[32 11] ; [13 24],[24.1875 18.8125] ; [20.8125 16.1875],1
p10,1,0.000659,11.60043,[25 18] ; [ 7 28],[17.64102564 25.35897436] ; [14.35897436 20.64102564],1
r3,1,0.00084,11.151187,[36  7] ; [18 19],[29.025 13.975] ; [24.975 12.025],1
p7,1,0.001576,9.988036,[26 17] ; [ 9 27],[19.05063291 23.94936709] ; [15.94936709 20.05063291],0
v4,1,0.003491,8.531278,[37  5] ; [22 15],[31.36708861 10.63291139] ; [27.63291139  9.36708861],0
s7,1,0.008525,6.91973,[19 20] ; [ 6 26],[13.73239437 25.26760563] ; [11.26760563 20.73239437],0
p4,1,0.016184,5.78278,[23 19] ; [10 26],[17.76923077 24.23076923] ; [15.23076923 20.76923077],0
r4,1,0.016721,5.725428,[30 13] ; [16 21],[24.725 18.275] ; [21.275 15.725],0
s5,1,0.027684,4.847612,[16 27] ; [ 5 29],[11.72727273 31.27272727] ; [ 9.27272727 24.72727273],0
s8,1,0.042494,4.115407,[16 27] ; [ 6 30],[11.97468354 31.02531646] ; [10.02531646 25.97468354],0
b5,1,0.043576,4.07291,[26 17] ; [14 23],[21.5 21.5] ; [18.5 18.5],0
v1,1,0.052485,3.760232,[19 23] ; [ 9 28],[14.88607595 27.11392405] ; [13.11392405 23.88607595],0
a8,1,0.070967,3.260501,[ 6 35] ; [ 1 35],[ 3.72727273 37.27272727] ; [ 3.27272727 32.72727273],0
s6,1,0.072371,3.228413,[23 19] ; [12 23],[19.09090909 22.90909091] ; [15.90909091 19.09090909],0
p6,1,0.117397,2.451715,[12 30] ; [ 5 31],[ 9.15384615 32.84615385] ; [ 7.84615385 28.15384615],0
n6,1,0.126832,2.330857,[28 13] ; [19 18],[24.70512821 16.29487179] ; [22.29487179 14.70512821],0
s1,1,0.161909,1.956308,[ 2 41] ; [ 5 32],[ 3.7625 39.2375] ; [ 3.2375 33.7625],0
a1,1,0.161909,1.956308,[ 2 41] ; [ 5 32],[ 3.7625 39.2375] ; [ 3.2375 33.7625],0
n5,1,0.170623,1.87746,[29 13] ; [20 17],[26.05063291 15.94936709] ; [22.94936709 14.05063291],0
a5,1,0.183839,1.766315,[18 25] ; [21 16],[20.9625 22.0375] ; [18.0375 18.9625],0
v2,1,0.183931,1.765575,[19 23] ; [11 25],[16.15384615 25.84615385] ; [13.84615385 22.15384615],0
n3,1,0.187207,1.739459,[12  7] ; [ 7 10],[10.02777778  8.97222222] ; [8.97222222 8.02777778],0
d3,1,0.199973,1.642573,[20 23] ; [12 25],[17.2 25.8] ; [14.8 22.2],0
u3,1,0.214449,1.541137,[ 9 11] ; [ 4 12],[ 7.22222222 12.77777778] ; [ 5.77777778 10.22222222],0
