Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,150.713845,[265  17] ; [31 60],[223.78552279  58.21447721] ; [72.21447721 18.78552279],1
p11,1,0.0,36.83419,[238  44] ; [50 43],[216.576  65.424] ; [71.424 21.576],1
n5,1,0.0,35.602562,[216  64] ; [41 52],[192.92225201  87.07774799] ; [64.07774799 28.92225201],1
n6,1,5e-06,20.948695,[237  43] ; [58 35],[221.44772118  58.55227882] ; [73.55227882 19.44772118],1
p8,1,7.5e-05,15.678161,[147 132] ; [27 66],[130.5 148.5] ; [43.5 49.5],1
s6,1,0.000219,13.657346,[185  90] ; [42 50],[170.09536785 104.90463215] ; [56.90463215 35.09536785],1
a5,1,0.000226,13.598979,[171 111] ; [36 57],[155.664 126.336] ; [51.336 41.664],1
s7,1,0.000507,12.088704,[125 142] ; [23 66],[111. 156.] ; [37. 52.],1
p2,1,0.000633,11.6755,[234  47] ; [62 31],[222.39572193  58.60427807] ; [73.60427807 19.39572193],1
s8,1,0.000643,11.647688,[110 172] ; [18 74],[ 96.51336898 185.48663102] ; [31.48663102 60.51336898],1
p4,1,0.003375,8.592543,[152 129] ; [34 59],[139.7486631 141.2513369] ; [46.2513369 46.7486631],0
v2,1,0.004373,8.121914,[143 124] ; [33 58],[131.26256983 135.73743017] ; [44.73743017 46.26256983],0
a3,1,0.004835,7.940094,[167 115] ; [39 53],[155.32620321 126.67379679] ; [50.67379679 41.32620321],0
n4,1,0.00812,7.006886,[205  77] ; [54 39],[194.768  87.232] ; [64.232 28.768],0
s2,1,0.011293,6.418689,[130 149] ; [29 63],[119.57142857 159.42857143] ; [39.42857143 52.57142857],0
a6,1,0.017447,5.650853,[173 109] ; [44 49],[163.184 118.816] ; [53.816 39.184],0
u2,1,0.020119,5.401525,[66 48] ; [20 32],[59.06024096 54.93975904] ; [26.93975904 25.06024096],0
p7,1,0.020277,5.387909,[177  99] ; [47 46],[167.54471545 108.45528455] ; [56.45528455 36.54471545],0
b1,1,0.031717,4.613742,[104 178] ; [46 47],[112.8 169.2] ; [37.2 55.8],0
v1,1,0.032526,4.570579,[139 134] ; [35 57],[130.14246575 142.85753425] ; [43.85753425 48.14246575],0
p5,1,0.037183,4.342001,[ 33 248] ; [ 4 89],[ 27.79946524 253.20053476] ; [ 9.20053476 83.79946524],0
v4,1,0.072915,3.216138,[264  15] ; [83 10],[260.25  18.75] ; [86.75  6.25],0
a7,1,0.076032,3.147747,[188  92] ; [53 40],[180.91152815  99.08847185] ; [60.08847185 32.91152815],0
p1,1,0.078429,3.097168,[ 25 256] ; [ 3 88],[ 21.15053763 259.84946237] ; [ 6.84946237 84.15053763],0
s5,1,0.095408,2.780668,[ 81 193] ; [18 70],[ 74.93370166 199.06629834] ; [24.06629834 63.93370166],0
p12,1,0.096343,2.765054,[ 19 261] ; [ 2 90],[ 15.80645161 264.19354839] ; [ 5.19354839 86.80645161],0
d2,1,0.098196,2.734594,[ 35 246] ; [18 75],[ 39.82085561 241.17914439] ; [13.17914439 79.82085561],0
u1,1,0.118941,2.431215,[ 13 269] ; [ 1 92],[ 10.528 271.472] ; [ 3.472 89.528],0
p3,1,0.121233,2.401316,[129 153] ; [34 59],[122.576 159.424] ; [40.424 52.576],0
b2,1,0.155962,2.01295,[51 99] ; [13 42],[ 46.82926829 103.17073171] ; [17.17073171 37.82926829],0
b3,1,0.155962,2.01295,[51 99] ; [13 42],[ 46.82926829 103.17073171] ; [17.17073171 37.82926829],0
b5,1,0.167609,1.904198,[159 123] ; [60 33],[164.688 117.312] ; [54.312 38.688],0
r4,1,0.174164,1.846733,[254  28] ; [79 14],[250.416  31.584] ; [82.584 10.416],0
a8,1,0.197994,1.657109,[ 34 234] ; [16 72],[ 37.64044944 230.35955056] ; [12.35955056 75.64044944],0
p6,1,0.211153,1.563506,[ 91 187] ; [24 69],[ 86.17250674 191.82749326] ; [28.82749326 64.17250674],0
a2,1,0.211404,1.561784,[ 19 263] ; [ 3 90],[ 16.544 265.456] ; [ 5.456 87.544],0
d5,1,0.254823,1.296667,[164 117] ; [48 45],[159.28342246 121.71657754] ; [52.71657754 40.28342246],0
v3,1,0.260664,1.265224,[ 95 183] ; [25 65],[ 90.65217391 187.34782609] ; [29.34782609 60.65217391],0
r1,1,0.328679,0.954094,[208  73] ; [64 29],[204.36363636  76.63636364] ; [67.63636364 25.36363636],0
a4,1,0.360819,0.835042,[ 74 208] ; [20 73],[ 70.688 211.312] ; [23.312 69.688],0
u3,1,0.415938,0.661763,[62 51] ; [26 28],[59.54491018 53.45508982] ; [28.45508982 25.54491018],0
n2,1,0.446243,0.580177,[50 10] ; [23  7],[48.66666667 11.33333333] ; [24.33333333  5.66666667],0
s1,1,0.446745,0.578898,[ 10 269] ; [ 5 88],[ 11.25 267.75] ; [ 3.75 89.25],0
r2,1,0.477336,0.504944,[254  26] ; [82 11],[252.22520107  27.77479893] ; [83.77479893  9.22520107],0
s3,1,0.550315,0.356753,[147 133] ; [45 47],[144.51612903 135.48387097] ; [47.48387097 44.51612903],0
b4,1,0.558733,0.341903,[157 125] ; [55 38],[159.424 122.576] ; [52.576 40.424],0
d3,1,0.687672,0.161617,[115 165] ; [36 57],[113.35120643 166.64879357] ; [37.64879357 55.35120643],0
d4,1,0.705128,0.143192,[170 112] ; [54 39],[168.448 113.552] ; [55.552 37.448],0
a1,1,0.765918,0.088636,[ 11 271] ; [ 3 90],[ 10.528 271.472] ; [ 3.472 89.528],0
n3,1,0.793485,0.068533,[47 13] ; [22  7],[46.51685393 13.48314607] ; [22.48314607  6.51685393],0
s4,1,0.802296,0.062688,[ 48 232] ; [17 76],[ 48.79356568 231.20643432] ; [16.20643432 76.79356568],0
n1,1,0.920536,0.009952,[21 38] ; [11 19],[21.21348315 37.78651685] ; [10.78651685 19.21348315],0
