Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r1,1,1.7e-05,18.530487,[75 11] ; [ 7 10],[68.46601942 17.53398058] ; [13.53398058  3.46601942],1
r2,1,5e-05,16.443251,[85  1] ; [12  4],[81.78431373  4.21568627] ; [15.21568627  0.78431373],1
p9,1,8.3e-05,15.483524,[61 22] ; [ 4 13],[53.95 29.05] ; [11.05  5.95],1
r3,1,0.000291,13.129787,[82  3] ; [12  5],[78.33333333  6.66666667] ; [15.66666667  1.33333333],1
s7,1,0.002427,9.194892,[46 33] ; [ 2 12],[40.77419355 38.22580645] ; [7.22580645 6.77419355],0
s8,1,0.004222,8.18558,[42 43] ; [ 2 15],[36.66666667 48.33333333] ; [7.33333333 9.66666667],0
p10,1,0.004717,7.984881,[55 28] ; [ 5 12],[49.8 33.2] ; [10.2  6.8],0
s2,1,0.0123,6.267085,[53 32] ; [ 5 12],[48.33333333 36.66666667] ; [9.66666667 7.33333333],0
p2,1,0.019713,5.4371,[60 25] ; [ 7 10],[55.83333333 29.16666667] ; [11.16666667  5.83333333],0
a5,1,0.023446,5.135143,[68 18] ; [9 8],[64.29126214 21.70873786] ; [12.70873786  4.29126214],0
n3,1,0.025483,4.990741,[20  4] ; [4 5],[17.45454545  6.54545455] ; [6.54545455 2.45454545],0
p8,1,0.040968,4.177329,[31 52] ; [ 2 15],[27.39 55.61] ; [ 5.61 11.39],0
s3,1,0.041502,4.15541,[48 37] ; [ 5 12],[44.16666667 40.83333333] ; [8.83333333 8.16666667],0
n1,1,0.041729,4.146154,[12 12] ; [1 8],[ 9.45454545 14.54545455] ; [3.54545455 5.45454545],0
s6,1,0.044145,4.051022,[63 19] ; [9 8],[59.63636364 22.36363636] ; [12.36363636  4.63636364],0
n6,1,0.050824,3.814068,[64 20] ; [9 8],[60.71287129 23.28712871] ; [12.28712871  4.71287129],0
n2,1,0.053239,3.736413,[19  5] ; [4 5],[16.72727273  7.27272727] ; [6.27272727 2.72727273],0
a4,1,0.057186,3.617171,[47 39] ; [ 5 12],[43.41747573 42.58252427] ; [8.58252427 8.41747573],0
a2,1,0.059814,3.542541,[30 56] ; [ 2 15],[26.7184466 59.2815534] ; [ 5.2815534 11.7184466],0
v1,1,0.068846,3.310331,[51 35] ; [ 6 11],[47.59223301 38.40776699] ; [9.40776699 7.59223301],0
p4,1,0.08466,2.973094,[46 38] ; [ 5 11],[42.84 41.16] ; [8.16 7.84],0
p7,1,0.092487,2.830549,[45 38] ; [ 5 11],[41.91919192 41.08080808] ; [8.08080808 7.91919192],0
u1,1,0.104235,2.639515,[20 66] ; [ 1 16],[17.53398058 68.46601942] ; [ 3.46601942 13.53398058],0
a6,1,0.109461,2.561986,[58 28] ; [8 9],[55.10679612 30.89320388] ; [10.89320388  6.10679612],0
s1,1,0.151108,2.061031,[ 3 82] ; [ 2 15],[ 4.16666667 80.83333333] ; [ 0.83333333 16.16666667],0
v4,1,0.154566,2.026603,[80  6] ; [14  3],[78.48543689  7.51456311] ; [15.51456311  1.48543689],0
p6,1,0.186225,1.747236,[35 47] ; [ 4 12],[32.63265306 49.36734694] ; [6.36734694 9.63265306],0
a3,1,0.231402,1.432223,[63 23] ; [10  7],[60.95145631 25.04854369] ; [12.04854369  4.95145631],0
s5,1,0.236213,1.403053,[33 48] ; [ 4 12],[30.89690722 50.10309278] ; [6.10309278 9.89690722],0
v3,1,0.26913,1.221178,[41 41] ; [ 6 11],[38.92929293 43.07070707] ; [8.07070707 8.92929293],0
n5,1,0.297509,1.085328,[51 33] ; [8 9],[49.06930693 34.93069307] ; [9.93069307 7.06930693],0
b1,1,0.309381,1.033314,[39 47] ; [10  7],[40.91262136 45.08737864] ; [8.08737864 8.91262136],0
d5,1,0.310046,1.030479,[73 13] ; [16  1],[74.31067961 11.68932039] ; [14.68932039  2.31067961],0
p3,1,0.317986,0.997214,[38 47] ; [ 5 11],[36.18811881 48.81188119] ; [6.81188119 9.18811881],0
d2,1,0.399975,0.708401,[50 36] ; [8 9],[48.42718447 37.57281553] ; [9.57281553 7.42718447],0
n4,1,0.45237,0.564706,[58 27] ; [10  7],[56.66666667 28.33333333] ; [11.33333333  5.66666667],0
b4,1,0.49826,0.45864,[48 38] ; [11  6],[49.26213592 36.73786408] ; [9.73786408 7.26213592],0
u3,1,0.525741,0.402618,[13 10] ; [3 4],[12.26666667 10.73333333] ; [3.73333333 3.26666667],0
b2,1,0.537699,0.379821,[14 31] ; [3 4],[14.71153846 30.28846154] ; [2.28846154 4.71153846],0
