Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,1e-06,25.027638,[ 4 52] ; [30 31],[16.27350427 39.72649573] ; [17.72649573 43.27350427],1
v1,1,6e-06,20.34656,[19 37] ; [46 15],[31.11111111 24.88888889] ; [33.88888889 27.11111111],1
p12,1,0.077863,3.108954,[ 2 53] ; [ 8 55],[ 4.66101695 50.33898305] ; [ 5.33898305 57.66101695],0
b4,1,0.102321,2.668986,[31 25] ; [44 19],[35.29411765 20.70588235] ; [39.70588235 23.29411765],0
p10,1,0.114244,2.494516,[40 14] ; [54  9],[43.38461538 10.61538462] ; [50.61538462 12.38461538],0
r1,1,0.148597,2.086599,[40 16] ; [52 11],[43.29411765 12.70588235] ; [48.70588235 14.29411765],0
n1,1,0.18262,1.776169,[ 2 11] ; [4 6],[3.39130435 9.60869565] ; [2.60869565 7.39130435],0
p11,1,0.194797,1.68096,[45 11] ; [56  7],[47.52941176  8.47058824] ; [53.47058824  9.52941176],0
d4,1,0.215529,1.533894,[42 14] ; [53 10],[44.70588235 11.29411765] ; [50.29411765 12.70588235],0
a7,1,0.217982,1.517608,[39 16] ; [50 12],[41.83760684 13.16239316] ; [47.16239316 14.83760684],0
s5,1,0.226849,1.460512,[17 35] ; [14 48],[14.14035088 37.85964912] ; [16.85964912 45.14035088],0
d3,1,0.237923,1.392857,[33 21] ; [45 18],[36. 18.] ; [42. 21.],0
s2,1,0.245333,1.349687,[16 40] ; [24 38],[18.98305085 37.01694915] ; [21.01694915 40.98305085],0
d1,1,0.265551,1.239583,[29 27] ; [39 24],[32. 24.] ; [36. 27.],0
u1,1,0.29386,1.101852,[ 6 50] ; [11 52],[ 8. 48.] ; [ 9. 54.],0
p9,1,0.30194,1.065607,[45 11] ; [55  8],[47.05882353  8.94117647] ; [52.94117647 10.05882353],0
s3,1,0.33256,0.938902,[20 36] ; [28 35],[22.58823529 33.41176471] ; [25.41176471 37.58823529],0
b1,1,0.348984,0.877149,[27 29] ; [25 38],[24.47058824 31.52941176] ; [27.52941176 35.47058824],0
r4,1,0.364945,0.820805,[51  5] ; [60  3],[52.23529412  3.76470588] ; [58.76470588  4.23529412],0
a2,1,0.396358,0.719348,[ 9 47] ; [14 49],[10.82352941 45.17647059] ; [12.17647059 50.82352941],0
d5,1,0.405722,0.691301,[42 13] ; [52 11],[43.81355932 11.18644068] ; [50.18644068 12.81355932],0
p8,1,0.421364,0.646507,[39 17] ; [48 15],[40.94117647 15.05882353] ; [46.05882353 16.94117647],0
n2,1,0.475512,0.509138,[10  3] ; [7 4],[9.20833333 3.79166667] ; [7.79166667 3.20833333],0
b2,1,0.526691,0.400772,[13 20] ; [16 18],[14.28358209 18.71641791] ; [14.71641791 19.28358209],0
b3,1,0.526691,0.400772,[13 20] ; [16 18],[14.28358209 18.71641791] ; [14.71641791 19.28358209],0
a4,1,0.527412,0.399376,[23 32] ; [30 33],[24.70338983 30.29661017] ; [28.29661017 34.70338983],0
n3,1,0.55409,0.350041,[9 3] ; [7 4],[8.34782609 3.65217391] ; [7.65217391 3.34782609],0
n4,1,0.554695,0.348974,[40 16] ; [48 15],[41.41176471 14.58823529] ; [46.58823529 16.41176471],0
p3,1,0.571194,0.320688,[30 26] ; [37 26],[31.52941176 24.47058824] ; [35.47058824 27.52941176],0
b5,1,0.622473,0.242407,[34 22] ; [41 22],[35.29411765 20.70588235] ; [39.70588235 23.29411765],0
p7,1,0.639857,0.21893,[47  8] ; [51 11],[46.06837607  8.93162393] ; [51.93162393 10.06837607],0
p5,1,0.693098,0.155752,[ 5 51] ; [ 7 56],[ 5.64705882 50.35294118] ; [ 6.35294118 56.64705882],0
p4,1,0.708999,0.139279,[41 15] ; [48 15],[41.88235294 14.11764706] ; [47.11764706 15.88235294],0
a3,1,0.710547,0.137731,[31 25] ; [37 26],[32. 24.] ; [36. 27.],0
d2,1,0.727998,0.120958,[24 32] ; [29 34],[24.94117647 31.05882353] ; [28.05882353 34.94117647],0
a1,1,0.746628,0.104386,[ 2 54] ; [ 3 60],[ 2.35294118 53.64705882] ; [ 2.64705882 60.35294118],0
u3,1,0.768278,0.086806,[11 13] ; [13 13],[11.52 12.48] ; [12.48 13.52],0
s6,1,0.789809,0.071053,[30 21] ; [38 24],[30.69026549 20.30973451] ; [37.30973451 24.69026549],0
a5,1,0.800132,0.064098,[37 19] ; [43 20],[37.64705882 18.35294118] ; [42.35294118 20.64705882],0
n6,1,0.802706,0.062424,[46 10] ; [52 10],[46.50847458  9.49152542] ; [51.49152542 10.50847458],0
p1,1,0.814428,0.055093,[ 7 49] ; [ 7 56],[ 6.58823529 49.41176471] ; [ 7.41176471 55.58823529],0
n5,1,0.817335,0.053349,[40 15] ; [47 16],[40.55084746 14.44915254] ; [46.44915254 16.55084746],0
r2,1,0.821136,0.051114,[50  4] ; [59  4],[50.30769231  3.69230769] ; [58.69230769  4.30769231],0
v4,1,0.862991,0.02978,[52  4] ; [59  4],[52.23529412  3.76470588] ; [58.76470588  4.23529412],0
s4,1,0.868747,0.027308,[ 8 44] ; [ 9 54],[ 7.68695652 44.31304348] ; [ 9.31304348 53.68695652],0
u2,1,0.894949,0.017436,[12 13] ; [12 14],[11.76470588 13.23529412] ; [12.23529412 13.76470588],0
a8,1,0.90494,0.014262,[ 6 46] ; [ 7 50],[ 6.20183486 45.79816514] ; [ 6.79816514 50.20183486],0
s1,1,0.921441,0.009726,[ 1 53] ; [ 1 61],[ 0.93103448 53.06896552] ; [ 1.06896552 60.93103448],0
