Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,1e-06,23.934928,[32 42] ; [ 6 68],[19. 55.] ; [19. 55.],1
v1,1,0.000193,13.894281,[44 31] ; [21 53],[32.71812081 42.28187919] ; [32.28187919 41.71812081],1
r1,1,0.000384,12.608817,[62 14] ; [41 34],[51.8410596 24.1589404] ; [51.1589404 23.8410596],1
a3,1,0.001898,9.645605,[55 22] ; [35 40],[45.59210526 31.40789474] ; [44.40789474 30.59210526],0
a7,1,0.003367,8.596994,[62 15] ; [44 31],[53.69736842 23.30263158] ; [52.30263158 22.69736842],0
d5,1,0.017878,5.608101,[59 18] ; [44 31],[52.17763158 24.82236842] ; [50.82236842 24.17763158],0
a5,1,0.035202,4.43534,[50 27] ; [36 39],[43.56578947 33.43421053] ; [42.43421053 32.56578947],0
d1,1,0.046451,3.965175,[39 38] ; [26 49],[32.92763158 44.07236842] ; [32.07236842 42.92763158],0
p12,1,0.057509,3.607806,[ 6 71] ; [ 1 74],[ 3.54605263 73.45394737] ; [ 3.45394737 71.54605263],0
a2,1,0.064278,3.423425,[11 66] ; [ 4 71],[ 7.59868421 69.40131579] ; [ 7.40131579 67.59868421],0
d3,1,0.065751,3.386035,[57 20] ; [45 30],[51.67105263 25.32894737] ; [50.32894737 24.67105263],0
b4,1,0.07422,3.187139,[51 26] ; [39 36],[45.59210526 31.40789474] ; [44.40789474 30.59210526],0
u1,1,0.078847,3.088505,[ 9 68] ; [ 3 72],[ 6.07894737 70.92105263] ; [ 5.92105263 69.07894737],0
d4,1,0.105925,2.613984,[63 14] ; [53 22],[58.76315789 18.23684211] ; [57.23684211 17.76315789],0
s6,1,0.121147,2.402427,[48 28] ; [38 37],[43.28476821 32.71523179] ; [42.71523179 32.28476821],0
r2,1,0.124331,2.361902,[70  6] ; [63 12],[66.94039735  9.05960265] ; [66.05960265  8.94039735],0
v4,1,0.133229,2.254475,[72  4] ; [65  9],[69.41333333  6.58666667] ; [67.58666667  6.41333333],0
p5,1,0.134257,2.242581,[ 8 69] ; [ 3 71],[ 5.60927152 71.39072848] ; [ 5.39072848 68.60927152],0
a6,1,0.192296,1.699939,[53 24] ; [44 31],[49.13815789 27.86184211] ; [47.86184211 27.13815789],0
p10,1,0.193312,1.692197,[63 14] ; [54 20],[59.66225166 17.33774834] ; [57.33774834 16.66225166],0
p4,1,0.20897,1.578547,[38 39] ; [29 45],[34.16556291 42.83443709] ; [32.83443709 41.16556291],0
p1,1,0.224292,1.476695,[ 2 75] ; [ 5 69],[ 3.56953642 73.43046358] ; [ 3.43046358 70.56953642],0
p7,1,0.252324,1.310388,[50 26] ; [39 30],[46.64827586 29.35172414] ; [42.35172414 26.64827586],0
s2,1,0.26278,1.254049,[35 42] ; [27 47],[31.61589404 45.38410596] ; [30.38410596 43.61589404],0
r4,1,0.266565,1.234341,[65 12] ; [58 17],[62.30921053 14.69078947] ; [60.69078947 14.30921053],0
a8,1,0.280947,1.162506,[ 3 68] ; [ 6 63],[ 4.56428571 66.43571429] ; [ 4.43571429 64.56428571],0
n2,1,0.305749,1.048951,[21  4] ; [18  7],[19.5  5.5] ; [19.5  5.5],0
n1,1,0.333425,0.935551,[ 5 20] ; [ 8 17],[ 6.5 18.5] ; [ 6.5 18.5],0
p9,1,0.349593,0.874935,[66 11] ; [60 15],[63.82894737 13.17105263] ; [62.17105263 12.82894737],0
s3,1,0.366252,0.816341,[38 38] ; [32 43],[35.23178808 40.76821192] ; [34.76821192 40.23178808],0
b3,1,0.411408,0.674727,[13 25] ; [10 29],[11.35064935 26.64935065] ; [11.64935065 27.35064935],0
b2,1,0.411408,0.674727,[13 25] ; [10 29],[11.35064935 26.64935065] ; [11.64935065 27.35064935],0
a4,1,0.414928,0.664636,[23 54] ; [18 57],[20.76973684 56.23026316] ; [20.23026316 54.76973684],0
s5,1,0.444804,0.583859,[25 49] ; [21 54],[22.84563758 51.15436242] ; [23.15436242 51.84563758],0
u2,1,0.447351,0.577354,[11 11] ; [24 16],[12.41935484  9.58064516] ; [22.58064516 17.41935484],0
r3,1,0.485518,0.486444,[73  4] ; [69  6],[71.93421053  5.06578947] ; [70.06578947  4.93421053],0
d2,1,0.52537,0.403339,[22 55] ; [25 50],[23.80921053 53.19078947] ; [23.19078947 51.80921053],0
b1,1,0.540603,0.374422,[24 53] ; [20 55],[22.28947368 54.71052632] ; [21.71052632 53.28947368],0
n3,1,0.54429,0.367647,[18  7] ; [16  9],[17.  8.] ; [17.  8.],0
p6,1,0.554729,0.348913,[22 54] ; [18 55],[20.40268456 55.59731544] ; [19.59731544 53.40268456],0
p8,1,0.570523,0.321807,[41 35] ; [37 38],[39.25827815 36.74172185] ; [38.74172185 36.25827815],0
p3,1,0.577159,0.310851,[29 48] ; [25 50],[27.35526316 49.64473684] ; [26.64473684 48.35526316],0
a1,1,0.627878,0.234949,[ 2 75] ; [ 3 72],[ 2.53289474 74.46710526] ; [ 2.46710526 72.53289474],0
s4,1,0.630002,0.232058,[15 62] ; [17 58],[16.21052632 60.78947368] ; [15.78947368 59.21052632],0
p2,1,0.744155,0.106509,[64 13] ; [60 14],[63.23178808 13.76821192] ; [60.76821192 13.23178808],0
n5,1,0.76677,0.087973,[32 45] ; [29 45],[31.10596026 45.89403974] ; [29.89403974 44.10596026],0
n6,1,0.816791,0.053673,[55 21] ; [53 22],[54.35761589 21.64238411] ; [53.64238411 21.35761589],0
s7,1,0.848944,0.036277,[24 52] ; [22 51],[23.46308725 52.53691275] ; [22.53691275 50.46308725],0
u3,1,0.944338,0.004875,[13  9] ; [24 16],[13.12903226  8.87096774] ; [23.87096774 16.12903226],0
s8,1,0.946603,0.004485,[24 53] ; [23 52],[23.80921053 53.19078947] ; [23.19078947 51.80921053],0
b5,1,0.981067,0.000563,[44 33] ; [43 32],[44.07236842 32.92763158] ; [42.92763158 32.07236842],0
s1,1,0.985054,0.000351,[ 1 76] ; [ 1 74],[ 1.01315789 75.98684211] ; [ 0.98684211 74.01315789],0
