Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,0.035791,4.407029,[12  4] ; [2 5],[9.73913043 6.26086957] ; [4.26086957 2.73913043],0
s7,1,0.061369,3.5,[8 6] ; [1 6],[6. 8.] ; [3. 4.],0
p3,1,0.06176,3.489492,[9 7] ; [1 6],[6.95652174 9.04347826] ; [3.04347826 3.95652174],0
a3,1,0.104355,2.637698,[14  2] ; [4 3],[12.52173913  3.47826087] ; [5.47826087 1.52173913],0
v3,1,0.106345,2.60771,[8 8] ; [1 6],[6.26086957 9.73913043] ; [2.73913043 4.26086957],0
a6,1,0.133918,2.246483,[10  6] ; [2 5],[8.34782609 7.65217391] ; [3.65217391 3.34782609],0
a7,1,0.133918,2.246483,[10  6] ; [2 5],[8.34782609 7.65217391] ; [3.65217391 3.34782609],0
p2,1,0.136422,2.217857,[12  4] ; [3 4],[10.43478261  5.56521739] ; [4.56521739 2.43478261],0
s2,1,0.141407,2.162585,[7 8] ; [1 6],[5.45454545 9.54545455] ; [2.54545455 4.45454545],0
p9,1,0.166337,1.915646,[11  4] ; [3 4],[9.54545455 5.45454545] ; [4.45454545 2.54545455],0
p11,1,0.221433,1.495062,[9 7] ; [2 5],[7.65217391 8.34782609] ; [3.34782609 3.65217391],0
p4,1,0.221433,1.495062,[9 7] ; [2 5],[7.65217391 8.34782609] ; [3.34782609 3.65217391],0
b1,1,0.241696,1.370677,[11  5] ; [3 4],[9.73913043 6.26086957] ; [4.26086957 2.73913043],0
p6,1,0.265572,1.239477,[ 6 10] ; [1 6],[ 4.86956522 11.13043478] ; [2.13043478 4.86956522],0
d1,1,0.265572,1.239477,[ 6 10] ; [1 6],[ 4.86956522 11.13043478] ; [2.13043478 4.86956522],0
n1,1,0.270289,1.215278,[1 3] ; [2 1],[1.71428571 2.28571429] ; [1.28571429 1.71428571],0
s6,1,0.277291,1.180317,[8 7] ; [2 5],[6.81818182 8.18181818] ; [3.18181818 3.81818182],0
n6,1,0.29008,1.119251,[10  5] ; [3 4],[8.86363636 6.13636364] ; [4.13636364 2.86363636],0
a4,1,0.340144,0.90989,[8 8] ; [2 5],[6.95652174 9.04347826] ; [3.04347826 3.95652174],0
s1,1,0.349445,0.87547,[ 2 14] ; [2 5],[ 2.7826087 13.2173913] ; [1.2173913 5.7826087],0
b5,1,0.381905,0.76456,[10  6] ; [3 4],[9.04347826 6.95652174] ; [3.95652174 3.04347826],0
s8,1,0.393921,0.726803,[ 5 11] ; [1 6],[ 4.17391304 11.82608696] ; [1.82608696 5.17391304],0
p5,1,0.529138,0.396046,[ 1 15] ; [1 6],[ 1.39130435 14.60869565] ; [0.60869565 6.39130435],0
p1,1,0.529138,0.396046,[ 1 15] ; [1 6],[ 1.39130435 14.60869565] ; [0.60869565 6.39130435],0
v2,1,0.55409,0.350041,[9 7] ; [3 4],[8.34782609 7.65217391] ; [3.65217391 3.34782609],0
r1,1,0.55409,0.350041,[9 7] ; [3 4],[8.34782609 7.65217391] ; [3.65217391 3.34782609],0
d3,1,0.55409,0.350041,[9 7] ; [3 4],[8.34782609 7.65217391] ; [3.65217391 3.34782609],0
a8,1,0.562591,0.335238,[ 1 14] ; [1 6],[ 1.36363636 13.63636364] ; [0.63636364 6.36363636],0
s4,1,0.566501,0.328571,[ 4 12] ; [1 6],[ 3.47826087 12.52173913] ; [1.52173913 5.47826087],0
d4,1,0.590726,0.289211,[11  5] ; [4 3],[10.43478261  5.56521739] ; [4.56521739 2.43478261],0
r3,1,0.665362,0.187075,[10  5] ; [4 3],[9.54545455 5.45454545] ; [4.45454545 2.54545455],0
n5,1,0.679109,0.171131,[10  6] ; [5 2],[10.43478261  5.56521739] ; [4.56521739 2.43478261],0
p8,1,0.679109,0.171131,[ 6 10] ; [2 5],[ 5.56521739 10.43478261] ; [2.43478261 4.56521739],0
d2,1,0.75235,0.099567,[8 8] ; [3 4],[7.65217391 8.34782609] ; [3.34782609 3.65217391],0
p7,1,0.75235,0.099567,[8 8] ; [3 4],[7.65217391 8.34782609] ; [3.34782609 3.65217391],0
s3,1,0.823261,0.049887,[ 5 10] ; [2 5],[ 4.77272727 10.22727273] ; [2.22727273 4.77272727],0
b2,1,0.864591,0.029082,[3 9] ; [2 5],[3.15789474 8.84210526] ; [1.84210526 5.15789474],0
b3,1,0.864591,0.029082,[3 9] ; [2 5],[3.15789474 8.84210526] ; [1.84210526 5.15789474],0
r4,1,0.897785,0.016502,[ 5 11] ; [2 5],[ 4.86956522 11.13043478] ; [2.13043478 4.86956522],0
n4,1,0.897785,0.016502,[11  5] ; [5 2],[11.13043478  4.86956522] ; [4.86956522 2.13043478],0
p10,1,0.898977,0.016117,[9 6] ; [4 3],[8.86363636 6.13636364] ; [4.13636364 2.86363636],0
s5,1,0.951655,0.003676,[ 2 13] ; [1 6],[ 2.04545455 12.95454545] ; [0.95454545 6.04545455],0
b4,1,0.968296,0.00158,[9 7] ; [4 3],[9.04347826 6.95652174] ; [3.95652174 3.04347826],0
r2,1,0.968296,0.00158,[9 7] ; [4 3],[9.04347826 6.95652174] ; [3.95652174 3.04347826],0
