Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,0.0,25.321921,[ 6 16] ; [60 12],[15.44680851  6.55319149] ; [50.55319149 21.44680851],1
d2,1,0.004956,7.895364,[ 5 17] ; [41 31],[10.76595745 11.23404255] ; [35.23404255 36.76595745],0
b2,1,0.006735,7.342226,[ 1 15] ; [18 23],[ 5.33333333 10.66666667] ; [13.66666667 27.33333333],0
b3,1,0.006735,7.342226,[ 1 15] ; [18 23],[ 5.33333333 10.66666667] ; [13.66666667 27.33333333],0
d3,1,0.011252,6.425154,[ 8 14] ; [48 24],[13.10638298  8.89361702] ; [42.89361702 29.10638298],0
s6,1,0.011732,6.350961,[11 11] ; [56 16],[15.68085106  6.31914894] ; [51.31914894 20.68085106],0
s7,1,0.01321,6.14077,[ 6 15] ; [41 28],[10.96666667 10.03333333] ; [36.03333333 32.96666667],0
a7,1,0.021883,5.255077,[ 9 13] ; [49 23],[13.57446809  8.42553191] ; [44.42553191 27.57446809],0
p9,1,0.024394,5.066434,[ 5 17] ; [35 35],[ 9.56521739 12.43478261] ; [30.43478261 39.56521739],0
p6,1,0.053917,3.71527,[ 3 19] ; [25 46],[ 6.62365591 15.37634409] ; [21.37634409 49.62365591],0
a5,1,0.054965,3.683144,[10 12] ; [49 23],[13.80851064  8.19148936] ; [45.19148936 26.80851064],0
r3,1,0.066037,3.378871,[17  5] ; [66  6],[19.42553191  2.57446809] ; [63.57446809  8.42553191],0
s5,1,0.06939,3.297399,[ 3 19] ; [23 45],[ 6.35555556 15.64444444] ; [19.64444444 48.35555556],0
r2,1,0.070022,3.282503,[17  5] ; [65  6],[19.39784946  2.60215054] ; [62.60215054  8.39784946],0
s2,1,0.07325,3.208638,[10 12] ; [48 24],[13.57446809  8.42553191] ; [44.42553191 27.57446809],0
u2,1,0.087857,2.913201,[3 8] ; [14 10],[5.34285714 5.65714286] ; [11.65714286 12.34285714],0
a2,1,0.094902,2.789191,[ 1 21] ; [14 58],[ 3.5106383 18.4893617] ; [11.4893617 60.5106383],0
p7,1,0.120566,2.409947,[15  7] ; [35 36],[11.82795699 10.17204301] ; [38.17204301 32.82795699],0
s1,1,0.122552,2.384397,[ 4 18] ; [ 5 66],[ 2.12903226 19.87096774] ; [ 6.87096774 64.12903226],0
u3,1,0.12425,2.362909,[4 7] ; [16  9],[6.11111111 4.88888889] ; [13.88888889 11.11111111],0
n1,1,0.153408,2.038036,[2 6] ; [15 13],[3.77777778 4.22222222] ; [13.22222222 14.77777778],0
a3,1,0.170635,1.877357,[11 11] ; [47 24],[13.72043011  8.27956989] ; [44.27956989 26.72043011],0
n3,1,0.18042,1.794158,[6 1] ; [17 12],[4.47222222 2.52777778] ; [18.52777778 10.47222222],0
v2,1,0.249948,1.323592,[ 7 15] ; [32 38],[ 9.32608696 12.67391304] ; [29.67391304 40.32608696],0
a6,1,0.287608,1.130786,[10 12] ; [42 30],[12.17021277  9.82978723] ; [39.82978723 32.17021277],0
p5,1,0.291112,1.11447,[ 3 18] ; [ 5 67],[ 1.80645161 19.19354839] ; [ 6.19354839 65.80645161],0
a4,1,0.292814,1.106637,[ 7 15] ; [32 40],[ 9.12765957 12.87234043] ; [29.87234043 42.12765957],0
s8,1,0.321,0.984868,[ 6 16] ; [28 44],[ 7.95744681 14.04255319] ; [26.04255319 45.95744681],0
p8,1,0.32991,0.949252,[ 6 15] ; [29 43],[ 7.90322581 13.09677419] ; [27.09677419 44.90322581],0
n6,1,0.35692,0.848702,[16  6] ; [44 27],[14.19354839  7.80645161] ; [45.80645161 25.19354839],0
n5,1,0.457272,0.552564,[12 10] ; [45 26],[13.48387097  8.51612903] ; [43.51612903 27.48387097],0
s4,1,0.489265,0.478142,[ 4 18] ; [18 53],[ 5.20430108 16.79569892] ; [16.79569892 54.20430108],0
n2,1,0.497602,0.460046,[6 2] ; [18 11],[5.18918919 2.81081081] ; [18.81081081 10.18918919],0
v3,1,0.510713,0.432606,[ 8 13] ; [21 48],[ 6.76666667 14.23333333] ; [22.23333333 46.76666667],0
v1,1,0.511903,0.430176,[ 8 14] ; [31 39],[ 9.32608696 12.67391304] ; [29.67391304 40.32608696],0
p2,1,0.522407,0.409139,[14  8] ; [51 21],[15.21276596  6.78723404] ; [49.78723404 22.21276596],0
r1,1,0.526437,0.401265,[15  7] ; [54 18],[16.14893617  5.85106383] ; [52.85106383 19.14893617],0
b5,1,0.548236,0.360486,[15  7] ; [44 28],[13.80851064  8.19148936] ; [45.19148936 26.80851064],0
r4,1,0.592599,0.286304,[18  4] ; [55 17],[17.08510638  4.91489362] ; [55.91489362 16.08510638],0
p4,1,0.626109,0.237374,[12 10] ; [35 37],[11. 11.] ; [36. 36.],0
n4,1,0.730037,0.119078,[14  8] ; [48 23],[14.66666667  7.33333333] ; [47.33333333 23.66666667],0
p11,1,0.795335,0.067283,[10 12] ; [35 37],[10.53191489 11.46808511] ; [34.46808511 37.53191489],0
a8,1,0.862296,0.030085,[ 3 19] ; [10 56],[ 3.25 18.75] ; [ 9.75 56.25],0
v4,1,0.88883,0.01954,[19  3] ; [63  9],[19.19148936  2.80851064] ; [62.80851064  9.19148936],0
p3,1,0.901876,0.015201,[ 9 13] ; [28 43],[ 8.75268817 13.24731183] ; [28.24731183 42.75268817],0
p1,1,0.915191,0.011341,[ 2 20] ; [ 7 64],[ 2.12903226 19.87096774] ; [ 6.87096774 64.12903226],0
b4,1,0.957885,0.002789,[13  9] ; [43 29],[13.10638298  8.89361702] ; [42.89361702 29.10638298],0
b1,1,0.975101,0.000974,[10 12] ; [33 39],[10.06382979 11.93617021] ; [32.93617021 39.06382979],0
