Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p11,1,0.040424,4.2,[12  2] ; [3 4],[10.  4.] ; [5. 2.],0
v3,1,0.061369,3.5,[8 6] ; [1 6],[6. 8.] ; [3. 4.],0
p4,1,0.061369,3.5,[10  4] ; [2 5],[8. 6.] ; [4. 3.],0
n5,1,0.061369,3.5,[10  4] ; [2 5],[8. 6.] ; [4. 3.],0
n4,1,0.061369,3.5,[10  4] ; [2 5],[8. 6.] ; [4. 3.],0
s6,1,0.122398,2.386364,[9 5] ; [2 5],[7.33333333 6.66666667] ; [3.66666667 3.33333333],0
p8,1,0.19043,1.714286,[6 8] ; [1 6],[4.66666667 9.33333333] ; [2.33333333 4.66666667],0
r1,1,0.203737,1.615385,[ 4 10] ; [4 3],[5.33333333 8.66666667] ; [2.66666667 4.33333333],0
b1,1,0.216522,1.527273,[6 8] ; [5 2],[7.33333333 6.66666667] ; [3.66666667 3.33333333],0
p10,1,0.250829,1.318681,[9 4] ; [3 4],[7.8 5.2] ; [4.2 2.8],0
u2,1,0.270289,1.215278,[1 3] ; [2 1],[1.71428571 2.28571429] ; [1.28571429 1.71428571],0
n6,1,0.305507,1.05,[11  3] ; [4 3],[10.  4.] ; [5. 2.],0
r3,1,0.305507,1.05,[11  3] ; [4 3],[10.  4.] ; [5. 2.],0
p2,1,0.305507,1.05,[11  3] ; [4 3],[10.  4.] ; [5. 2.],0
b4,1,0.349575,0.875,[7 7] ; [5 2],[8. 6.] ; [4. 3.],0
n3,1,0.465209,0.533333,[2 3] ; [2 1],[2.5 2.5] ; [1.5 1.5],0
n2,1,0.465209,0.533333,[3 2] ; [1 2],[2.5 2.5] ; [1.5 1.5],0
s8,1,0.468717,0.525,[ 4 10] ; [1 6],[ 3.33333333 10.66666667] ; [1.66666667 5.33333333],0
p5,1,0.468717,0.525,[ 4 10] ; [1 6],[ 3.33333333 10.66666667] ; [1.66666667 5.33333333],0
b2,1,0.474549,0.511364,[3 6] ; [1 5],[2.4 6.6] ; [1.6 4.4],0
b3,1,0.474549,0.511364,[3 6] ; [1 5],[2.4 6.6] ; [1.6 4.4],0
d2,1,0.512691,0.428571,[10  4] ; [4 3],[9.33333333 4.66666667] ; [4.66666667 2.33333333],0
a3,1,0.512691,0.428571,[10  4] ; [4 3],[9.33333333 4.66666667] ; [4.66666667 2.33333333],0
a5,1,0.52511,0.403846,[8 6] ; [5 2],[8.66666667 5.33333333] ; [4.33333333 2.66666667],0
s1,1,0.599126,0.276316,[ 1 13] ; [1 6],[ 1.33333333 12.66666667] ; [0.66666667 6.33333333],0
p9,1,0.635848,0.224213,[8 5] ; [3 3],[7.52631579 5.47368421] ; [3.47368421 2.52631579],0
p3,1,0.658273,0.195629,[5 8] ; [2 5],[4.55 8.45] ; [2.45 4.55],0
u3,1,0.659243,0.194444,[2 2] ; [1 2],[1.71428571 2.28571429] ; [1.28571429 1.71428571],0
a2,1,0.694354,0.154412,[ 3 11] ; [1 6],[ 2.66666667 11.33333333] ; [1.33333333 5.66666667],0
p7,1,0.743421,0.107143,[5 9] ; [2 5],[4.66666667 9.33333333] ; [2.33333333 4.66666667],0
a6,1,0.743421,0.107143,[9 5] ; [5 2],[9.33333333 4.66666667] ; [4.66666667 2.33333333],0
r4,1,0.743421,0.107143,[5 9] ; [2 5],[4.66666667 9.33333333] ; [2.33333333 4.66666667],0
v4,1,0.743421,0.107143,[9 5] ; [5 2],[9.33333333 4.66666667] ; [4.66666667 2.33333333],0
a7,1,0.750679,0.100962,[9 5] ; [4 3],[8.66666667 5.33333333] ; [4.33333333 2.66666667],0
b5,1,0.757354,0.095455,[7 7] ; [4 3],[7.33333333 6.66666667] ; [3.66666667 3.33333333],0
a4,1,0.757354,0.095455,[7 7] ; [3 4],[6.66666667 7.33333333] ; [3.33333333 3.66666667],0
p1,1,1.0,0.0,[ 2 12] ; [1 6],[ 2. 12.] ; [1. 6.],0
s5,1,1.0,0.0,[ 2 12] ; [1 6],[ 2. 12.] ; [1. 6.],0
