Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b5,1,0.000118,14.827614,[37 24] ; [ 6 26],[28.20430108 32.79569892] ; [14.79569892 17.20430108],1
d3,1,0.008026,7.027635,[47 14] ; [16 16],[41.32258065 19.67741935] ; [21.67741935 10.32258065],0
u1,1,0.009501,6.726079,[18 43] ; [ 2 30],[13.11827957 47.88172043] ; [ 6.88172043 25.11827957],0
a6,1,0.018791,5.520845,[42 19] ; [14 18],[36.7311828 24.2688172] ; [19.2688172 12.7311828],0
b1,1,0.025527,4.987799,[18 43] ; [17 15],[22.95698925 38.04301075] ; [12.04301075 19.95698925],0
s7,1,0.034827,4.453658,[27 28] ; [ 8 23],[22.38372093 32.61627907] ; [12.61627907 18.38372093],0
v3,1,0.065363,3.395791,[25 36] ; [ 7 25],[20.98924731 40.01075269] ; [11.01075269 20.98924731],0
a8,1,0.071847,3.240317,[11 42] ; [ 2 30],[ 8.10588235 44.89411765] ; [ 4.89411765 27.10588235],0
r3,1,0.080219,3.060461,[58  3] ; [27  5],[55.75268817  5.24731183] ; [29.24731183  2.75268817],0
p12,1,0.081352,3.037683,[ 9 51] ; [ 1 31],[ 6.52173913 53.47826087] ; [ 3.47826087 28.52173913],0
v1,1,0.090448,2.86639,[35 26] ; [12 19],[31.16304348 29.83695652] ; [15.83695652 15.16304348],0
a2,1,0.125783,2.343796,[16 45] ; [ 4 28],[13.11827957 47.88172043] ; [ 6.88172043 25.11827957],0
p10,1,0.127589,2.321593,[53  6] ; [25  7],[50.57142857  8.42857143] ; [27.42857143  4.57142857],0
d2,1,0.128092,2.315471,[28 33] ; [20 12],[31.48387097 29.51612903] ; [16.51612903 15.48387097],0
s4,1,0.141094,2.165991,[ 9 50] ; [ 9 23],[11.67032967 47.32967033] ; [ 6.32967033 25.67032967],0
n5,1,0.151875,2.053318,[41 20] ; [26  6],[43.94623656 17.05376344] ; [23.05376344  8.94623656],0
s8,1,0.152416,2.047903,[26 34] ; [ 9 23],[22.82608696 37.17391304] ; [12.17391304 19.82608696],0
r1,1,0.182517,1.777006,[51 10] ; [23  9],[48.53763441 12.46236559] ; [25.46236559  6.53763441],0
p1,1,0.223149,1.484005,[ 6 55] ; [ 6 26],[ 7.87096774 53.12903226] ; [ 4.12903226 27.87096774],0
s2,1,0.245246,1.350181,[16 45] ; [ 5 27],[13.77419355 47.22580645] ; [ 7.22580645 24.77419355],0
r2,1,0.271953,1.206872,[56  5] ; [27  5],[54.44086022  6.55913978] ; [28.55913978  3.44086022],0
b4,1,0.28475,1.144278,[35 26] ; [22 10],[37.38709677 23.61290323] ; [19.61290323 12.38709677],0
p5,1,0.311992,1.022222,[17 43] ; [ 6 26],[15. 45.] ; [ 8. 24.],0
p8,1,0.325898,0.965131,[34 25] ; [15 17],[31.76923077 27.23076923] ; [17.23076923 14.76923077],0
r4,1,0.331564,0.94278,[57  4] ; [28  4],[55.75268817  5.24731183] ; [29.24731183  2.75268817],0
n1,1,0.371093,0.8,[7 9] ; [2 6],[ 6. 10.] ; [3. 5.],0
b3,1,0.375842,0.784259,[17 19] ; [ 7 13],[15.42857143 20.57142857] ; [ 8.57142857 11.42857143],0
b2,1,0.375842,0.784259,[17 19] ; [ 7 13],[15.42857143 20.57142857] ; [ 8.57142857 11.42857143],0
p11,1,0.430233,0.622195,[43 18] ; [25  7],[44.60215054 16.39784946] ; [23.39784946  8.60215054],0
a3,1,0.433486,0.613466,[43 18] ; [20 12],[41.32258065 19.67741935] ; [21.67741935 10.32258065],0
p2,1,0.451846,0.566018,[49 11] ; [24  8],[47.60869565 12.39130435] ; [25.39130435  6.60869565],0
a5,1,0.462623,0.539542,[48 13] ; [23  9],[46.56989247 14.43010753] ; [24.43010753  7.56989247],0
v2,1,0.469817,0.522406,[39 22] ; [18 14],[37.38709677 23.61290323] ; [19.61290323 12.38709677],0
a4,1,0.497054,0.461221,[26 35] ; [16 16],[27.5483871 33.4516129] ; [14.4516129 17.5483871],0
