Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,193.086703,[480  85] ; [ 53 119],[408.60922659 156.39077341] ; [124.39077341  47.60922659],1
n6,1,0.0,55.414188,[506  60] ; [112  59],[474.61058345  91.38941655] ; [143.38941655  27.61058345],1
s7,1,0.0,31.270803,[302 242] ; [ 51 115],[270.46760563 273.53239437] ; [82.53239437 83.46760563],1
a5,1,1e-06,23.371856,[457 112] ; [108  65],[433.26819407 135.73180593] ; [131.73180593  41.26819407],1
p11,1,2e-06,22.957604,[474  95] ; [115  58],[451.67250674 117.32749326] ; [137.32749326  35.67250674],1
p4,1,3e-06,22.051847,[364 200] ; [76 95],[337.63265306 226.36734694] ; [102.36734694  68.63265306],1
a3,1,1.7e-05,18.491018,[445 122] ; [107  65],[423.52368065 143.47631935] ; [128.47631935  43.52368065],1
a8,1,2e-05,18.229252,[ 88 428] ; [  6 155],[ 71.64549483 444.35450517] ; [ 22.35450517 138.64549483],1
p10,1,2.9e-05,17.451159,[474  88] ; [119  51],[455.28142077 106.71857923] ; [137.71857923  32.28142077],1
s8,1,3e-05,17.394484,[280 286] ; [ 54 118],[256.15718157 309.84281843] ; [77.84281843 94.15718157],1
p3,1,4.6e-05,16.59102,[303 264] ; [ 61 110],[279.65853659 287.34146341] ; [84.34146341 86.65853659],1
s4,1,6.6e-05,15.916874,[ 74 486] ; [ 45 128],[ 90.91405184 469.08594816] ; [ 28.08594816 144.91405184],1
d2,1,0.000202,13.811016,[324 243] ; [ 71 102],[302.65540541 264.34459459] ; [92.34459459 80.65540541],1
p6,1,0.000211,13.726797,[227 330] ; [ 42 126],[206.6662069 350.3337931] ; [ 62.3337931 105.6662069],1
p2,1,0.000309,13.01775,[486  79] ; [127  44],[470.57744565  94.42255435] ; [142.42255435  28.57744565],1
v3,1,0.000425,12.419479,[242 307] ; [ 46 115],[222.69295775 326.30704225] ; [65.30704225 95.69295775],1
a4,1,0.000472,12.222977,[293 275] ; [ 63 110],[272.88529015 295.11470985] ; [83.11470985 89.88529015],1
a2,1,0.000889,11.046441,[164 405] ; [ 28 145],[147.23450135 421.76549865] ; [ 44.76549865 128.23450135],1
d5,1,0.000946,10.930255,[511  58] ; [139  34],[498.45013477  70.54986523] ; [151.54986523  21.45013477],1
u1,1,0.001041,10.753016,[131 438] ; [ 20 153],[115.79380054 453.20619946] ; [ 35.20619946 137.79380054],0
p9,1,0.001841,9.702126,[487  74] ; [130  39],[474.16027397  86.83972603] ; [142.83972603  26.16027397],0
p5,1,0.002129,9.435117,[ 74 490] ; [  8 163],[ 62.92244898 501.07755102] ; [ 19.07755102 151.92244898],0
r4,1,0.002749,8.967198,[531  38] ; [149  24],[521.45552561  47.54447439] ; [158.54447439  14.45552561],0
v1,1,0.003008,8.80256,[321 233] ; [75 92],[304.27739251 249.72260749] ; [91.72260749 75.27739251],0
r1,1,0.003796,8.378943,[477  90] ; [128  44],[464.18809202 102.81190798] ; [140.81190798  31.18809202],0
p7,1,0.006198,7.491712,[367 190] ; [90 76],[352.07330567 204.92669433] ; [104.92669433  61.07330567],0
d1,1,0.009198,6.784041,[408 161] ; [106  67],[394.15902965 174.84097035] ; [119.84097035  53.15902965],0
p12,1,0.014832,5.936329,[ 52 510] ; [  6 165],[ 44.46930423 517.53069577] ; [ 13.53069577 157.46930423],0
b1,1,0.034045,4.492456,[225 344] ; [ 53 120],[213.18328841 355.81671159] ; [ 64.81671159 108.18328841],0
p8,1,0.037328,4.335399,[302 256] ; [77 94],[290.09876543 267.90123457] ; [88.90123457 82.09876543],0
n3,1,0.044122,4.051874,[80 26] ; [37 24],[74.26347305 31.73652695] ; [42.73652695 18.26347305],0
n1,1,0.054272,3.704302,[44 60] ; [17 45],[38.21686747 65.78313253] ; [22.78313253 39.21686747],0
s6,1,0.100026,2.705129,[388 169] ; [107  63],[379.25034388 177.74965612] ; [115.74965612  54.25034388],0
s2,1,0.101758,2.677766,[309 255] ; [82 90],[299.625 264.375] ; [91.375 80.625],0
v2,1,0.106274,2.608774,[335 216] ; [87 75],[326.11781206 224.88218794] ; [95.88218794 66.11781206],0
r2,1,0.151921,2.05286,[537  24] ; [160  12],[533.44747613  27.55252387] ; [163.55252387   8.44747613],0
v4,1,0.174553,1.843398,[543  25] ; [160  12],[539.6  28.4] ; [163.4   8.6],0
u4,1,0.181684,1.783796,[ 17 552] ; [  2 171],[ 14.57008086 554.42991914] ; [  4.42991914 168.57008086],0
