Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,6.9e-05,15.836297,[34  5] ; [56 54],[23.55704698 15.44295302] ; [66.44295302 43.55704698],1
p4,1,0.000159,14.263771,[29 12] ; [42 73],[18.66025641 22.33974359] ; [52.33974359 62.66025641],1
p8,1,0.000778,11.294137,[30 11] ; [49 66],[20.76282051 20.23717949] ; [58.23717949 56.76282051],1
s2,1,0.004833,7.940816,[25 16] ; [41 74],[17.34615385 23.65384615] ; [48.65384615 66.34615385],0
s4,1,0.006934,7.289883,[15 26] ; [19 97],[ 8.87898089 32.12101911] ; [25.12101911 90.87898089],0
a1,1,0.024151,5.083738,[ 3 38] ; [  1 115],[ 1.04458599 39.95541401] ; [  2.95541401 113.04458599],0
p3,1,0.03181,4.608732,[20 21] ; [35 81],[14.36305732 26.63694268] ; [40.63694268 75.36305732],0
s6,1,0.055036,3.680989,[28 12] ; [61 55],[22.82051282 17.17948718] ; [66.17948718 49.82051282],0
p12,1,0.055876,3.655757,[ 4 37] ; [  3 113],[ 1.82802548 39.17197452] ; [  5.17197452 110.82802548],0
p1,1,0.059562,3.549537,[ 4 37] ; [  3 111],[ 1.8516129 39.1483871] ; [  5.1483871 108.8516129],0
b1,1,0.07827,3.10046,[17 24] ; [31 85],[12.53503185 28.46496815] ; [35.46496815 80.53503185],0
b5,1,0.081052,3.043688,[28 13] ; [61 55],[23.24203822 17.75796178] ; [65.75796178 50.24203822],0
s8,1,0.087925,2.911951,[18 23] ; [34 82],[13.57961783 27.42038217] ; [38.42038217 77.57961783],0
a8,1,0.103861,2.645235,[ 5 35] ; [ 5 99],[ 2.77777778 37.22222222] ; [ 7.22222222 96.77777778],0
n3,1,0.108294,2.578936,[9 8] ; [27  9],[11.54716981  5.45283019] ; [24.45283019 11.54716981],0
p5,1,0.213469,1.547742,[ 5 36] ; [  7 107],[ 3.17419355 37.82580645] ; [  8.82580645 105.17419355],0
r1,1,0.221187,1.496652,[25 16] ; [82 33],[28.12179487 12.87820513] ; [78.87820513 36.12179487],0
a4,1,0.233062,1.422076,[15 26] ; [31 85],[12.01273885 28.98726115] ; [33.98726115 82.01273885],0
s7,1,0.261641,1.260054,[16 25] ; [33 79],[13.13071895 27.86928105] ; [35.86928105 76.13071895],0
u2,1,0.264147,1.246889,[13  6] ; [24 21],[10.984375  8.015625] ; [26.015625 18.984375],0
s3,1,0.326347,0.963337,[22 19] ; [51 63],[19.30967742 21.69032258] ; [53.69032258 60.30967742],0
v4,1,0.344571,0.893349,[39  2] ; [103  11],[37.56129032  3.43870968] ; [104.43870968   9.56129032],0
v3,1,0.3505,0.871648,[ 8 32] ; [30 79],[10.20134228 29.79865772] ; [27.79865772 81.20134228],0
