Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,3e-06,22.000121,[39  4] ; [ 4 10],[32.43859649 10.56140351] ; [10.56140351  3.43859649],1
a5,1,0.000804,11.231154,[30 13] ; [ 3 12],[24.46551724 18.53448276] ; [8.53448276 6.46551724],1
b1,1,0.004859,7.931163,[ 9 34] ; [9 6],[13.34482759 29.65517241] ; [ 4.65517241 10.34482759],0
d1,1,0.016651,5.7328,[24 19] ; [ 3 12],[20.01724138 22.98275862] ; [6.98275862 8.01724138],0
d3,1,0.020502,5.368605,[35  7] ; [8 7],[31.68421053 10.31578947] ; [11.31578947  3.68421053],0
u2,1,0.022136,5.235043,[10  5] ; [2 8],[7.2 7.8] ; [4.8 5.2],0
a3,1,0.032336,4.580597,[28 15] ; [ 5 10],[24.46551724 18.53448276] ; [8.53448276 6.46551724],0
n6,1,0.037052,4.348027,[34  8] ; [8 7],[30.94736842 11.05263158] ; [11.05263158  3.94736842],0
v1,1,0.05559,3.664286,[17 25] ; [ 2 13],[14. 28.] ; [ 5. 10.],0
v2,1,0.063732,3.4375,[19 21] ; [ 3 12],[16. 24.] ; [6. 9.],0
r1,1,0.089017,2.892066,[28 15] ; [6 9],[25.20689655 17.79310345] ; [8.79310345 6.20689655],0
r2,1,0.097421,2.747268,[42  1] ; [13  2],[40.77586207  2.22413793] ; [14.22413793  0.77586207],0
d5,1,0.105611,2.6187,[34  8] ; [9 6],[31.68421053 10.31578947] ; [11.31578947  3.68421053],0
s2,1,0.108954,2.569329,[30 13] ; [7 8],[27.43103448 15.56896552] ; [9.56896552 5.43103448],0
p3,1,0.108954,2.569329,[13 30] ; [8 7],[15.56896552 27.43103448] ; [5.43103448 9.56896552],0
d2,1,0.129304,2.300835,[18 25] ; [ 3 12],[15.56896552 27.43103448] ; [5.43103448 9.56896552],0
s8,1,0.129304,2.300835,[18 25] ; [ 3 12],[15.56896552 27.43103448] ; [5.43103448 9.56896552],0
p2,1,0.146415,2.109205,[34  9] ; [9 6],[31.87931034 11.12068966] ; [11.12068966  3.87931034],0
v4,1,0.153853,2.033631,[40  3] ; [12  3],[38.55172414  4.44827586] ; [13.44827586  1.55172414],0
p7,1,0.216446,1.527778,[26 14] ; [7 8],[24. 16.] ; [9. 6.],0
a7,1,0.230961,1.43493,[32 10] ; [9 6],[30.21052632 11.78947368] ; [10.78947368  4.21052632],0
p11,1,0.274944,1.191914,[27 16] ; [7 8],[25.20689655 17.79310345] ; [8.79310345 6.20689655],0
s5,1,0.27978,1.168157,[22 20] ; [5 9],[20.25 21.75] ; [6.75 7.25],0
n1,1,0.317113,1.000817,[ 4 12] ; [4 5],[ 5.12 10.88] ; [2.88 6.12],0
a4,1,0.357556,0.846458,[14 29] ; [ 3 12],[12.60344828 30.39655172] ; [ 4.39655172 10.60344828],0
b4,1,0.371912,0.797266,[26 17] ; [11  4],[27.43103448 15.56896552] ; [9.56896552 5.43103448],0
d4,1,0.376903,0.780778,[36  7] ; [11  4],[34.84482759  8.15517241] ; [12.15517241  2.84482759],0
r3,1,0.450094,0.570414,[40  3] ; [13  2],[39.29310345  3.70689655] ; [13.70689655  1.29310345],0
b5,1,0.459502,0.547107,[27 16] ; [11  4],[28.17241379 14.82758621] ; [9.82758621 5.17241379],0
r4,1,0.506886,0.44049,[35  8] ; [11  4],[34.10344828  8.89655172] ; [11.89655172  3.10344828],0
p8,1,0.518681,0.416514,[18 24] ; [ 5 10],[16.94736842 25.05263158] ; [6.05263158 8.94736842],0
s7,1,0.537094,0.380952,[22 20] ; [6 8],[21. 21.] ; [7. 7.],0
p4,1,0.540843,0.373979,[19 24] ; [8 7],[20.01724138 22.98275862] ; [6.98275862 8.01724138],0
b3,1,0.588809,0.292208,[ 6 16] ; [3 5],[ 6.6 15.4] ; [2.4 5.6],0
b2,1,0.588809,0.292208,[ 6 16] ; [3 5],[ 6.6 15.4] ; [2.4 5.6],0
p6,1,0.669949,0.181662,[17 26] ; [ 5 10],[16.31034483 26.68965517] ; [5.68965517 9.31034483],0
v3,1,0.72158,0.126984,[11 31] ; [ 3 11],[10.5 31.5] ; [ 3.5 10.5],0
s3,1,0.787972,0.072331,[27 16] ; [10  5],[27.43103448 15.56896552] ; [9.56896552 5.43103448],0
n3,1,0.834969,0.043403,[10  6] ; [6 3],[10.24  5.76] ; [5.76 3.24],0
u3,1,0.861052,0.030637,[10  5] ; [7 3],[10.2  4.8] ; [6.8 3.2],0
p1,1,0.86141,0.030478,[ 5 38] ; [ 2 13],[ 5.18965517 37.81034483] ; [ 1.81034483 13.18965517],0
a6,1,0.867891,0.027668,[24 19] ; [8 7],[23.72413793 19.27586207] ; [8.27586207 6.72413793],0
n2,1,0.875956,0.024366,[12  4] ; [7 2],[12.16  3.84] ; [6.84 2.16],0
s6,1,0.938958,0.005865,[34  9] ; [12  3],[34.10344828  8.89655172] ; [11.89655172  3.10344828],0
n5,1,0.974706,0.001005,[17 26] ; [6 9],[17.05172414 25.94827586] ; [5.94827586 9.05172414],0
