Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,1e-06,23.579409,[ 3 26] ; [47 27],[14.0776699 14.9223301] ; [35.9223301 38.0776699],1
r3,1,6e-06,20.47964,[ 8 21] ; [56 18],[18.01941748 10.98058252] ; [45.98058252 28.01941748],1
n6,1,6.5e-05,15.949807,[ 5 23] ; [46 28],[14. 14.] ; [37. 37.],1
r2,1,0.000325,12.922483,[14 13] ; [62 10],[20.72727273  6.27272727] ; [55.27272727 16.72727273],1
a1,1,0.000531,12.004741,[ 7 22] ; [ 2 72],[ 2.53398058 26.46601942] ; [ 6.46601942 67.53398058],1
p2,1,0.000771,11.309243,[ 6 23] ; [42 31],[13.64705882 15.35294118] ; [34.35294118 38.64705882],1
v2,1,0.005868,7.590398,[ 2 26] ; [25 48],[ 7.48514851 20.51485149] ; [19.51485149 53.48514851],0
b5,1,0.005909,7.577791,[11 18] ; [50 24],[17.17475728 11.82524272] ; [43.82524272 30.17475728],0
p1,1,0.008229,6.98287,[ 4 25] ; [ 1 73],[ 1.40776699 27.59223301] ; [ 3.59223301 70.40776699],0
p8,1,0.010119,6.613757,[ 2 26] ; [23 49],[ 7. 21.] ; [18. 54.],0
d5,1,0.012348,6.260195,[13 16] ; [52 21],[18.48039216 10.51960784] ; [46.51960784 26.48039216],0
p6,1,0.013196,6.142583,[ 1 27] ; [18 53],[ 5.37373737 22.62626263] ; [13.62626263 57.37373737],0
p9,1,0.014637,5.959653,[ 7 21] ; [36 33],[12.41237113 15.58762887] ; [30.58762887 38.41237113],0
r1,1,0.022012,5.244804,[ 9 20] ; [41 32],[14.21568627 14.78431373] ; [35.78431373 37.21568627],0
n4,1,0.023286,5.147061,[22  7] ; [38 36],[16.89320388 12.10679612] ; [43.10679612 30.89320388],0
p10,1,0.03325,4.532837,[ 6 22] ; [32 40],[10.64 17.36] ; [27.36 44.64],0
d3,1,0.034318,4.478794,[11 18] ; [44 28],[15.79207921 13.20792079] ; [39.20792079 32.79207921],0
a8,1,0.047029,3.944345,[ 4 25] ; [ 2 64],[ 1.83157895 27.16842105] ; [ 4.16842105 61.83157895],0
p4,1,0.05462,3.693663,[ 3 26] ; [20 51],[ 6.67 22.33] ; [16.33 54.67],0
s1,1,0.055727,3.660198,[ 5 24] ; [ 4 70],[ 2.53398058 26.46601942] ; [ 6.46601942 67.53398058],0
d1,1,0.068083,3.328653,[ 8 21] ; [35 39],[12.10679612 16.89320388] ; [30.89320388 43.10679612],0
n3,1,0.089687,2.879987,[ 5 11] ; [13  9],[7.57894737 8.42105263] ; [10.42105263 11.57894737],0
u2,1,0.095108,2.785714,[ 2 12] ; [10 15],[4.30769231 9.69230769] ; [ 7.69230769 17.30769231],0
p7,1,0.103178,2.65572,[ 6 23] ; [27 45],[ 9.47524752 19.52475248] ; [23.52475248 48.47524752],0
s7,1,0.12154,2.397367,[ 2 25] ; [14 54],[ 4.54736842 22.45263158] ; [11.45263158 56.54736842],0
a6,1,0.121884,2.392941,[14 15] ; [48 26],[17.45631068 11.54368932] ; [44.54368932 29.45631068],0
a7,1,0.134469,2.240136,[14 15] ; [47 26],[17.34313725 11.65686275] ; [43.65686275 29.34313725],0
p3,1,0.135197,2.231797,[ 4 25] ; [20 52],[ 6.89108911 22.10891089] ; [17.10891089 54.89108911],0
a2,1,0.145061,2.12343,[ 3 26] ; [17 57],[ 5.63106796 23.36893204] ; [14.36893204 59.63106796],0
d4,1,0.145672,2.116999,[16 13] ; [52 22],[19.14563107  9.85436893] ; [48.85436893 25.14563107],0
a3,1,0.17546,1.835662,[15 13] ; [49 23],[17.92 10.08] ; [46.08 25.92],0
n1,1,0.182422,1.777778,[8 8] ; [ 7 17],[ 6. 10.] ; [ 9. 15.],0
a5,1,0.223588,1.481192,[13 16] ; [43 31],[15.76699029 13.23300971] ; [40.23300971 33.76699029],0
n5,1,0.238287,1.390697,[19 10] ; [39 35],[16.33009709 12.66990291] ; [41.66990291 32.33009709],0
b1,1,0.247215,1.338973,[17 12] ; [34 40],[14.3592233 14.6407767] ; [36.6407767 37.3592233],0
b2,1,0.285206,1.142115,[10 11] ; [12 24],[ 8.10526316 12.89473684] ; [13.89473684 22.10526316],0
b3,1,0.285206,1.142115,[10 11] ; [12 24],[ 8.10526316 12.89473684] ; [13.89473684 22.10526316],0
v3,1,0.295452,1.094608,[ 5 24] ; [19 51],[ 7.03030303 21.96969697] ; [16.96969697 53.03030303],0
n2,1,0.443986,0.585958,[7 9] ; [14 11],[8.19512195 7.80487805] ; [12.80487805 12.19512195],0
a4,1,0.511268,0.431472,[ 9 19] ; [29 45],[10.43137255 17.56862745] ; [27.56862745 46.43137255],0
d2,1,0.54547,0.365495,[11 17] ; [34 40],[12.35294118 15.64705882] ; [32.64705882 41.35294118],0
b4,1,0.636646,0.223155,[16 13] ; [37 37],[14.9223301 14.0776699] ; [38.0776699 35.9223301],0
s4,1,0.663177,0.189688,[ 3 26] ; [10 64],[ 3.66019417 25.33980583] ; [ 9.33980583 64.66019417],0
s2,1,0.760105,0.093234,[ 4 25] ; [12 62],[ 4.50485437 24.49514563] ; [11.49514563 62.50485437],0
s5,1,0.794906,0.067572,[ 2 27] ; [ 6 65],[ 2.32 26.68] ; [ 5.68 65.32],0
v1,1,0.843422,0.039013,[ 7 22] ; [19 54],[ 7.39215686 21.60784314] ; [18.60784314 54.39215686],0
s3,1,0.906066,0.013925,[ 8 20] ; [20 53],[ 7.76237624 20.23762376] ; [20.23762376 52.76237624],0
