Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,0.005913,7.576536,[7 8] ; [88 23],[11.30952381  3.69047619] ; [83.69047619 27.30952381],0
r4,1,0.013014,6.167158,[ 5 10] ; [75 38],[9.375 5.625] ; [70.625 42.375],0
b5,1,0.022459,5.209843,[12  3] ; [55 58],[7.8515625 7.1484375] ; [59.1484375 53.8515625],0
a6,1,0.048464,3.893835,[ 5 10] ; [68 45],[8.5546875 6.4453125] ; [64.4453125 48.5546875],0
r1,1,0.052516,3.759256,[7 8] ; [80 32],[10.27559055  4.72440945] ; [76.72440945 35.27559055],0
s7,1,0.061129,3.506494,[7 8] ; [25 80],[ 4. 11.] ; [28. 77.],0
d4,1,0.06705,3.353811,[7 8] ; [78 33],[10.11904762  4.88095238] ; [74.88095238 36.11904762],0
s6,1,0.069598,3.292487,[9 6] ; [40 72],[5.78740157 9.21259843] ; [43.21259843 68.78740157],0
p7,1,0.133579,2.250409,[ 3 12] ; [44 66],[5.64 9.36] ; [41.36 68.64],0
r2,1,0.211236,1.562935,[10  4] ; [94 17],[11.648  2.352] ; [92.352 18.648],0
p11,1,0.212836,1.552032,[ 5 10] ; [57 56],[7.265625 7.734375] ; [54.734375 58.265625],0
v3,1,0.214501,1.540787,[ 2 13] ; [31 78],[ 3.99193548 11.00806452] ; [29.00806452 79.99193548],0
u3,1,0.222883,1.485714,[5 2] ; [21 24],[3.5 3.5] ; [22.5 22.5],0
n2,1,0.244504,1.354435,[3 5] ; [28 19],[4.50909091 3.49090909] ; [26.49090909 20.50909091],0
p6,1,0.337562,0.919668,[ 1 14] ; [18 94],[ 2.24409449 12.75590551] ; [16.75590551 95.24409449],0
v2,1,0.338687,0.915394,[ 4 11] ; [43 66],[5.68548387 9.31451613] ; [41.31451613 67.68548387],0
b1,1,0.340243,0.909517,[6 9] ; [60 53],[7.734375 7.265625] ; [58.265625 54.734375],0
p2,1,0.409709,0.679646,[9 6] ; [55 58],[7.5 7.5] ; [56.5 56.5],0
s2,1,0.439562,0.597426,[ 5 10] ; [27 85],[ 3.77952756 11.22047244] ; [28.22047244 83.77952756],0
p4,1,0.473658,0.51343,[ 3 12] ; [32 79],[ 4.16666667 10.83333333] ; [30.83333333 80.16666667],0
n1,1,0.487413,0.482233,[2 6] ; [17 28],[2.86792453 5.13207547] ; [16.13207547 28.86792453],0
a5,1,0.506583,0.441119,[7 8] ; [63 50],[8.203125 6.796875] ; [61.796875 51.203125],0
d5,1,0.528044,0.398154,[9 6] ; [77 36],[10.078125  4.921875] ; [75.921875 37.078125],0
s8,1,0.557757,0.343604,[ 2 13] ; [22 90],[ 2.83464567 12.16535433] ; [21.16535433 90.83464567],0
a3,1,0.583955,0.299885,[8 7] ; [68 44],[8.97637795 6.02362205] ; [67.02362205 44.97637795],0
b3,1,0.588863,0.292123,[2 7] ; [22 49],[2.7 6.3] ; [21.3 49.7],0
b2,1,0.588863,0.292123,[2 7] ; [22 49],[2.7 6.3] ; [21.3 49.7],0
a7,1,0.602776,0.27083,[8 7] ; [67 44],[8.92857143 6.07142857] ; [66.07142857 44.92857143],0
v4,1,0.61337,0.255297,[10  4] ; [86 25],[10.752  3.248] ; [85.248 25.752],0
n6,1,0.656511,0.19779,[10  5] ; [68 44],[9.21259843 5.78740157] ; [68.78740157 43.21259843],0
d3,1,0.707055,0.141236,[9 6] ; [62 51],[8.3203125 6.6796875] ; [62.6796875 50.3203125],0
s5,1,0.712072,0.136216,[ 3 12] ; [18 93],[ 2.5 12.5] ; [18.5 92.5],0
p8,1,0.725077,0.12368,[ 3 12] ; [27 85],[ 3.54330709 11.45669291] ; [26.45669291 85.54330709],0
a2,1,0.732325,0.116988,[ 2 13] ; [19 94],[ 2.4609375 12.5390625] ; [18.5390625 94.4609375],0
v1,1,0.733481,0.115939,[ 4 11] ; [35 78],[ 4.5703125 10.4296875] ; [34.4296875 78.5703125],0
d1,1,0.755347,0.097092,[6 9] ; [50 63],[6.5625 8.4375] ; [49.4375 63.5625],0
n3,1,0.771144,0.08461,[4 4] ; [25 20],[4.37735849 3.62264151] ; [24.62264151 20.37735849],0
p10,1,0.781929,0.076622,[ 4 11] ; [26 85],[ 3.57142857 11.42857143] ; [26.42857143 84.57142857],0
n5,1,0.783118,0.075767,[9 6] ; [63 49],[8.50393701 6.49606299] ; [63.49606299 48.50393701],0
s3,1,0.798275,0.065322,[6 9] ; [41 71],[5.5511811 9.4488189] ; [41.4488189 70.5511811],0
d2,1,0.833964,0.043941,[7 8] ; [55 56],[7.38095238 7.61904762] ; [54.61904762 56.38095238],0
a4,1,0.83754,0.042042,[ 5 10] ; [40 71],[5.35714286 9.64285714] ; [39.64285714 71.35714286],0
s1,1,0.848105,0.036686,[ 1 14] ; [  6 104],[ 0.84 14.16] ; [  6.16 103.84],0
b4,1,0.884115,0.021244,[9 6] ; [70 43],[9.2578125 5.7421875] ; [69.7421875 43.2578125],0
u2,1,0.897928,0.016456,[4 3] ; [24 20],[3.84313725 3.15686275] ; [24.15686275 19.84313725],0
n4,1,0.904421,0.014419,[9 6] ; [69 43],[9.21259843 5.78740157] ; [68.78740157 43.21259843],0
u1,1,0.917276,0.010788,[ 2 13] ; [14 99],[ 1.875 13.125] ; [14.125 98.875],0
a1,1,0.943435,0.005034,[ 1 14] ; [  7 106],[ 0.9375 14.0625] ; [  7.0625 105.9375],0
p1,1,0.950262,0.003891,[ 1 14] ; [  7 105],[ 0.94488189 14.05511811] ; [  7.05511811 104.94488189],0
