Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,2e-06,22.559567,[18 11] ; [15 75],[ 8.04201681 20.95798319] ; [24.95798319 65.04201681],1
p3,1,0.000102,15.103639,[16 14] ; [16 76],[ 7.86885246 22.13114754] ; [24.13114754 67.86885246],1
p4,1,0.000458,12.278411,[15 14] ; [17 74],[ 7.73333333 21.26666667] ; [24.26666667 66.73333333],1
p6,1,0.000818,11.2,[ 9 21] ; [ 6 84],[ 3.75 26.25] ; [11.25 78.75],1
v2,1,0.004575,8.040348,[19 11] ; [29 57],[12.4137931 17.5862069] ; [35.5862069 50.4137931],0
p10,1,0.008183,6.993007,[20 10] ; [35 55],[13.75 16.25] ; [41.25 48.75],0
b1,1,0.036709,4.363874,[ 8 22] ; [45 48],[12.92682927 17.07317073] ; [40.07317073 52.92682927],0
s6,1,0.036739,4.362477,[15 14] ; [28 64],[10.30578512 18.69421488] ; [32.69421488 59.30578512],0
s2,1,0.043359,4.081369,[11 18] ; [18 74],[ 6.95041322 22.04958678] ; [22.04958678 69.95041322],0
v3,1,0.080515,3.054477,[11 19] ; [18 69],[ 7.43589744 22.56410256] ; [21.56410256 65.43589744],0
b3,1,0.091846,2.841724,[ 3 13] ; [23 32],[ 5.85915493 10.14084507] ; [20.14084507 34.85915493],0
b2,1,0.091846,2.841724,[ 3 13] ; [23 32],[ 5.85915493 10.14084507] ; [20.14084507 34.85915493],0
p11,1,0.103403,2.65226,[19 11] ; [43 50],[15.12195122 14.87804878] ; [46.87804878 46.12195122],0
a2,1,0.110409,2.548351,[ 1 29] ; [13 80],[ 3.41463415 26.58536585] ; [10.58536585 82.41463415],0
n5,1,0.118958,2.430984,[15 15] ; [60 31],[18.59504132 11.40495868] ; [56.40495868 34.59504132],0
p5,1,0.134194,2.2433,[ 3 27] ; [ 3 90],[ 1.46341463 28.53658537] ; [ 4.53658537 88.46341463],0
a1,1,0.138208,2.197796,[ 1 29] ; [12 81],[ 3.17073171 26.82926829] ; [ 9.82926829 83.17073171],0
s1,1,0.161304,1.961962,[ 4 26] ; [ 5 85],[ 2.25 27.75] ; [ 6.75 83.25],0
p9,1,0.170528,1.8783,[18 12] ; [41 49],[14.75 15.25] ; [44.25 45.75],0
a4,1,0.203475,1.617253,[ 7 22] ; [34 58],[ 9.82644628 19.17355372] ; [31.17355372 60.82644628],0
a6,1,0.262331,1.256416,[19 11] ; [48 45],[16.34146341 13.65853659] ; [50.65853659 42.34146341],0
r4,1,0.273319,1.200011,[22  8] ; [58 35],[19.51219512 10.48780488] ; [60.48780488 32.51219512],0
d2,1,0.296937,1.087902,[ 9 21] ; [37 54],[11.40495868 18.59504132] ; [34.59504132 56.40495868],0
d4,1,0.314535,1.011535,[18 12] ; [65 28],[20.24390244  9.75609756] ; [62.75609756 30.24390244],0
s4,1,0.322208,0.979963,[ 3 27] ; [16 75],[ 4.7107438 25.2892562] ; [14.2892562 76.7107438],0
b5,1,0.324704,0.969904,[15 15] ; [56 37],[17.31707317 12.68292683] ; [53.68292683 39.31707317],0
d5,1,0.324704,0.969904,[15 15] ; [56 37],[17.31707317 12.68292683] ; [53.68292683 39.31707317],0
u1,1,0.335249,0.928513,[ 1 29] ; [ 8 85],[ 2.19512195 27.80487805] ; [ 6.80487805 86.19512195],0
n4,1,0.344446,0.893814,[16 14] ; [58 34],[18.19672131 11.80327869] ; [55.80327869 36.19672131],0
r3,1,0.433175,0.614297,[24  6] ; [67 25],[22.37704918  7.62295082] ; [68.62295082 23.37704918],0
a5,1,0.484379,0.488988,[18 12] ; [49 44],[16.34146341 13.65853659] ; [50.65853659 42.34146341],0
