Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,1e-06,24.385109,[64 15] ; [ 8 19],[53.66037736 25.33962264] ; [18.33962264  8.66037736],1
v4,1,0.040044,4.216038,[63 17] ; [25  1],[66.41509434 13.58490566] ; [21.58490566  4.41509434],0
r3,1,0.047599,3.924097,[59 20] ; [25  2],[62.60377358 16.39622642] ; [21.39622642  5.60377358],0
d5,1,0.055231,3.675111,[45 35] ; [ 9 17],[40.75471698 39.24528302] ; [13.24528302 12.75471698],0
v3,1,0.056563,3.635402,[24 55] ; [ 3 23],[20.31428571 58.68571429] ; [ 6.68571429 19.31428571],0
p10,1,0.074234,3.186818,[48 29] ; [11 15],[44.10679612 32.89320388] ; [14.89320388 11.10679612],0
r4,1,0.076898,3.129283,[54 26] ; [23  4],[57.57009346 22.42990654] ; [19.42990654  7.57009346],0
v1,1,0.084628,2.973694,[36 42] ; [ 7 19],[32.25 45.75] ; [10.75 15.25],0
n6,1,0.102464,2.666767,[63 17] ; [17 10],[59.81308411 20.18691589] ; [20.18691589  6.81308411],0
s6,1,0.118649,2.435068,[43 36] ; [10 17],[39.5 39.5] ; [13.5 13.5],0
n3,1,0.137916,2.201064,[19  9] ; [10  1],[20.82051282  7.17948718] ; [8.17948718 2.82051282],0
u3,1,0.155941,2.01315,[15 23] ; [7 4],[17.06122449 20.93877551] ; [4.93877551 6.06122449],0
b5,1,0.199663,1.64484,[42 38] ; [18  9],[44.85981308 35.14018692] ; [15.14018692 11.85981308],0
u2,1,0.222857,1.485877,[13 25] ; [6 5],[14.73469388 23.26530612] ; [4.26530612 6.73469388],0
d3,1,0.231223,1.43332,[18 61] ; [ 9 17],[20.31428571 58.68571429] ; [ 6.68571429 19.31428571],0
a5,1,0.24307,1.362703,[40 40] ; [10 17],[37.38317757 42.61682243] ; [12.61682243 14.38317757],0
d2,1,0.245818,1.346917,[24 56] ; [ 5 22],[21.68224299 58.31775701] ; [ 7.31775701 19.68224299],0
r1,1,0.245952,1.346154,[42 36] ; [18  9],[44.57142857 33.42857143] ; [15.42857143 11.57142857],0
s5,1,0.319626,0.990476,[12 66] ; [ 2 24],[10.5 67.5] ; [ 3.5 22.5],0
p9,1,0.35188,0.866667,[50 28] ; [14 12],[48. 30.] ; [16. 10.],0
s7,1,0.370526,0.801901,[24 50] ; [ 6 20],[22.2 51.8] ; [ 7.8 18.2],0
a8,1,0.371558,0.798447,[ 9 65] ; [ 5 21],[10.36 63.64] ; [ 3.64 22.36],0
p1,1,0.388664,0.743118,[ 7 73] ; [ 1 26],[ 5.98130841 74.01869159] ; [ 2.01869159 24.98130841],0
b1,1,0.400879,0.705687,[34 46] ; [ 9 18],[32.14953271 47.85046729] ; [10.85046729 16.14953271],0
p7,1,0.404832,0.693927,[28 51] ; [12 15],[29.81132075 49.18867925] ; [10.18867925 16.81132075],0
n2,1,0.45881,0.548795,[21  8] ; [10  2],[21.92682927  7.07317073] ; [9.07317073 2.92682927],0
p2,1,0.459955,0.546003,[50 30] ; [19  8],[51.58878505 28.41121495] ; [17.41121495  9.58878505],0
p11,1,0.466359,0.530591,[47 33] ; [18  9],[48.59813084 31.40186916] ; [16.40186916 10.59813084],0
b2,1,0.50969,0.434703,[16 34] ; [ 4 13],[14.92537313 35.07462687] ; [ 5.07462687 11.92537313],0
b3,1,0.50969,0.434703,[16 34] ; [ 4 13],[14.92537313 35.07462687] ; [ 5.07462687 11.92537313],0
r2,1,0.51734,0.419194,[67 13] ; [24  3],[68.03738318 11.96261682] ; [22.96261682  4.03738318],0
s2,1,0.568098,0.325876,[27 51] ; [11 16],[28.22857143 49.77142857] ; [ 9.77142857 17.22857143],0
a3,1,0.582837,0.30167,[42 37] ; [16 11],[43.22641509 35.77358491] ; [14.77358491 12.22641509],0
s4,1,0.586276,0.296197,[14 66] ; [ 6 21],[14.95327103 65.04672897] ; [ 5.04672897 21.95327103],0
p3,1,0.601347,0.27297,[25 55] ; [ 7 20],[23.92523364 56.07476636] ; [ 8.07476636 18.92523364],0
a1,1,0.618999,0.247276,[ 5 75] ; [ 1 26],[ 4.48598131 75.51401869] ; [ 1.51401869 25.48598131],0
a4,1,0.642435,0.215572,[18 61] ; [ 5 22],[17.14150943 61.85849057] ; [ 5.85849057 21.14150943],0
p4,1,0.699434,0.149061,[33 47] ; [10 17],[32.14953271 47.85046729] ; [10.85046729 16.14953271],0
p6,1,0.715804,0.132549,[15 64] ; [ 6 21],[15.6509434 63.3490566] ; [ 5.3490566 21.6509434],0
n1,1,0.72158,0.126984,[11 17] ; [4 8],[10.5 17.5] ; [4.5 7.5],0
a7,1,0.733246,0.116152,[40 40] ; [12 14],[39.24528302 40.75471698] ; [12.75471698 13.24528302],0
d1,1,0.743204,0.10733,[ 2 78] ; [ 1 26],[ 2.24299065 77.75700935] ; [ 0.75700935 26.24299065],0
s8,1,0.745724,0.10516,[24 56] ; [ 9 18],[24.6728972 55.3271028] ; [ 8.3271028 18.6728972],0
v2,1,0.747977,0.103239,[26 50] ; [ 8 18],[25.33333333 50.66666667] ; [ 8.66666667 17.33333333],0
a6,1,0.783193,0.075713,[42 38] ; [15 12],[42.61682243 37.38317757] ; [14.38317757 12.61682243],0
b4,1,0.864276,0.029218,[43 37] ; [14 13],[42.61682243 37.38317757] ; [14.38317757 12.61682243],0
s3,1,0.868252,0.027516,[39 39] ; [14 13],[39.37142857 38.62857143] ; [13.62857143 13.37142857],0
s1,1,0.870453,0.026596,[ 5 72] ; [ 2 25],[ 5.18269231 71.81730769] ; [ 1.81730769 25.18269231],0
a2,1,0.98738,0.00025,[ 6 74] ; [ 2 25],[ 5.98130841 74.01869159] ; [ 2.01869159 24.98130841],0
