Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,0.000408,12.493819,[ 5 26] ; [21 15],[12.02985075 18.97014925] ; [13.97014925 22.02985075],1
p8,1,0.012732,6.205941,[ 5 26] ; [16 20],[ 9.71641791 21.28358209] ; [11.28358209 24.71641791],0
a7,1,0.012732,6.205941,[26  5] ; [20 16],[21.28358209  9.71641791] ; [24.71641791 11.28358209],0
s3,1,0.046514,3.962889,[16 15] ; [27  9],[19.89552239 11.10447761] ; [23.10447761 12.89552239],0
p9,1,0.060527,3.522876,[20 10] ; [31  5],[23.18181818  6.81818182] ; [27.81818182  8.18181818],0
r3,1,0.061229,3.503779,[26  5] ; [34  1],[28.18181818  2.81818182] ; [31.81818182  3.18181818],0
r4,1,0.082419,3.016547,[25  6] ; [34  2],[27.29850746  3.70149254] ; [31.70149254  4.29850746],0
p3,1,0.100396,2.699246,[11 20] ; [20 16],[14.34328358 16.65671642] ; [16.65671642 19.34328358],0
d3,1,0.106613,2.603719,[26  5] ; [24 12],[23.13432836  7.86567164] ; [26.86567164  9.13432836],0
n4,1,0.112989,2.511911,[18 13] ; [26  8],[20.98461538 10.01538462] ; [23.01538462 10.98461538],0
v4,1,0.115824,2.472896,[27  4] ; [35  1],[28.68656716  2.31343284] ; [33.31343284  2.68656716],0
d4,1,0.11994,2.41811,[29  2] ; [29  7],[26.8358209  4.1641791] ; [31.1641791  4.8358209],0
d5,1,0.11994,2.41811,[29  2] ; [29  7],[26.8358209  4.1641791] ; [31.1641791  4.8358209],0
a8,1,0.137187,2.20923,[ 3 25] ; [ 8 23],[ 5.22033898 22.77966102] ; [ 5.77966102 25.22033898],0
p2,1,0.139727,2.180962,[20 11] ; [29  7],[22.67164179  8.32835821] ; [26.32835821  9.67164179],0
n3,1,0.149173,2.080688,[8 6] ; [10  2],[9.69230769 4.30769231] ; [8.30769231 3.69230769],0
n5,1,0.162024,1.955234,[17 14] ; [25 10],[19.72727273 11.27272727] ; [22.27272727 12.72727273],0
s6,1,0.170254,1.880707,[26  5] ; [33  2],[27.71212121  3.28787879] ; [31.28787879  3.71212121],0
v2,1,0.191706,1.704458,[14 17] ; [22 14],[16.65671642 14.34328358] ; [19.34328358 16.65671642],0
s7,1,0.201747,1.629685,[16 12] ; [24  9],[18.36065574  9.63934426] ; [21.63934426 11.36065574],0
p10,1,0.222694,1.486928,[20 10] ; [28  7],[22.15384615  7.84615385] ; [25.84615385  9.15384615],0
a5,1,0.229441,1.444321,[21 10] ; [29  7],[23.13432836  7.86567164] ; [26.86567164  9.13432836],0
p4,1,0.255626,1.292293,[15 15] ; [23 13],[17.27272727 12.72727273] ; [20.72727273 15.27272727],0
b5,1,0.28218,1.156563,[22  9] ; [21 15],[19.89552239 11.10447761] ; [23.10447761 12.89552239],0
s8,1,0.309718,1.03188,[16 15] ; [23 13],[18.04477612 12.95522388] ; [20.95522388 15.04477612],0
b1,1,0.331386,0.943475,[20 11] ; [19 17],[18.04477612 12.95522388] ; [20.95522388 15.04477612],0
b2,1,0.392227,0.732026,[ 4 14] ; [ 6 11],[ 5.14285714 12.85714286] ; [ 4.85714286 12.14285714],0
b3,1,0.392227,0.732026,[ 4 14] ; [ 6 11],[ 5.14285714 12.85714286] ; [ 4.85714286 12.14285714],0
r1,1,0.3928,0.730258,[22  9] ; [28  7],[23.48484848  7.51515152] ; [26.51515152  8.48484848],0
n6,1,0.424142,0.63881,[23  8] ; [28  6],[24.32307692  6.67692308] ; [26.67692308  7.32307692],0
d2,1,0.467895,0.526943,[18 13] ; [24 12],[19.43283582 11.56716418] ; [22.56716418 13.43283582],0
a1,1,0.468451,0.525626,[ 2 29] ; [ 1 35],[ 1.3880597 29.6119403] ; [ 1.6119403 34.3880597],0
p12,1,0.468451,0.525626,[ 2 29] ; [ 1 35],[ 1.3880597 29.6119403] ; [ 1.6119403 34.3880597],0
v1,1,0.476885,0.505978,[15 16] ; [20 15],[16.43939394 14.56060606] ; [18.56060606 16.43939394],0
n1,1,0.542541,0.37085,[7 6] ; [5 7],[6.24 6.76] ; [5.76 6.24],0
b4,1,0.647217,0.209427,[19 12] ; [24 12],[19.89552239 11.10447761] ; [23.10447761 12.89552239],0
s4,1,0.740497,0.10969,[10 21] ; [13 23],[10.64179104 20.35820896] ; [12.35820896 23.64179104],0
n2,1,0.758742,0.094331,[11  3] ; [10  2],[11.30769231  2.69230769] ; [9.69230769 2.30769231],0
u2,1,0.771519,0.084325,[3 5] ; [4 5],[3.29411765 4.70588235] ; [3.70588235 5.29411765],0
u3,1,0.771519,0.084325,[3 5] ; [4 5],[3.29411765 4.70588235] ; [3.70588235 5.29411765],0
a3,1,0.780216,0.077862,[23  8] ; [27  8],[23.48484848  7.51515152] ; [26.51515152  8.48484848],0
d1,1,0.799884,0.064261,[18 13] ; [22 14],[18.50746269 12.49253731] ; [21.49253731 14.50746269],0
a6,1,0.805651,0.060536,[19 12] ; [21 15],[18.50746269 12.49253731] ; [21.49253731 14.50746269],0
a2,1,0.816855,0.053635,[ 7 24] ; [ 9 27],[ 7.40298507 23.59701493] ; [ 8.59701493 27.40298507],0
p5,1,0.847654,0.036907,[ 3 28] ; [ 3 33],[ 2.7761194 28.2238806] ; [ 3.2238806 32.7761194],0
p1,1,0.870252,0.02668,[ 4 27] ; [ 5 30],[ 4.22727273 26.77272727] ; [ 4.77272727 30.22727273],0
s2,1,0.880934,0.022436,[21 10] ; [25 11],[21.28358209  9.71641791] ; [24.71641791 11.28358209],0
v3,1,0.895806,0.017151,[12 19] ; [13 22],[11.74242424 19.25757576] ; [13.25757576 21.74242424],0
s1,1,0.911753,0.012283,[ 1 29] ; [ 1 34],[ 0.92307692 29.07692308] ; [ 1.07692308 33.92307692],0
a4,1,0.924173,0.009059,[16 15] ; [19 17],[16.19402985 14.80597015] ; [18.80597015 17.19402985],0
u1,1,0.972006,0.001232,[ 7 24] ; [ 8 28],[ 6.94029851 24.05970149] ; [ 8.05970149 27.94029851],0
