Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.000725,11.425207,[16  9] ; [18 51],[ 9.04255319 15.95744681] ; [24.95744681 44.04255319],1
p10,1,0.001323,10.310536,[19  7] ; [25 44],[12.04210526 13.95789474] ; [31.95789474 37.04210526],0
p6,1,0.001582,9.980036,[ 9 16] ; [ 6 62],[ 4.03225806 20.96774194] ; [10.96774194 57.03225806],0
p9,1,0.002412,9.206529,[20  6] ; [29 40],[13.41052632 12.58947368] ; [35.58947368 33.41052632],0
p11,1,0.002635,9.04464,[19  7] ; [27 43],[12.45833333 13.54166667] ; [33.54166667 36.45833333],0
v2,1,0.003462,8.546615,[14 10] ; [17 50],[ 8.17582418 15.82417582] ; [22.82417582 44.17582418],0
p3,1,0.004021,8.274295,[12 14] ; [12 57],[ 6.56842105 19.43157895] ; [17.43157895 51.56842105],0
p4,1,0.00703,7.265329,[12 14] ; [13 56],[ 6.84210526 19.15789474] ; [18.15789474 50.84210526],0
r4,1,0.00929,6.76617,[21  5] ; [36 34],[15.4375 10.5625] ; [41.5625 28.4375],0
r3,1,0.053878,3.716469,[22  4] ; [45 25],[18.14583333  7.85416667] ; [48.85416667 21.14583333],0
a7,1,0.057774,3.600151,[20  6] ; [39 31],[15.97916667 10.02083333] ; [43.02083333 26.97916667],0
p2,1,0.062126,3.479692,[18  8] ; [33 36],[13.95789474 12.04210526] ; [37.04210526 31.95789474],0
r1,1,0.07524,3.164835,[20  6] ; [40 30],[16.25  9.75] ; [43.75 26.25],0
v4,1,0.077171,3.123505,[22  4] ; [45 23],[18.53191489  7.46808511] ; [48.46808511 19.53191489],0
s3,1,0.135782,2.225121,[ 5 20] ; [25 44],[ 7.9787234 17.0212766] ; [22.0212766 46.9787234],0
n5,1,0.16953,1.887098,[ 8 18] ; [32 37],[10.94736842 15.05263158] ; [29.05263158 39.94736842],0
d5,1,0.193876,1.687912,[20  6] ; [44 26],[17.33333333  8.66666667] ; [46.66666667 23.33333333],0
b5,1,0.221718,1.493217,[17  9] ; [36 34],[14.35416667 11.64583333] ; [38.64583333 31.35416667],0
v3,1,0.222026,1.491226,[ 8 16] ; [14 53],[ 5.8021978 18.1978022] ; [16.1978022 50.8021978],0
p1,1,0.227191,1.458364,[ 4 22] ; [ 5 64],[ 2.46315789 23.53684211] ; [ 6.53684211 62.46315789],0
a4,1,0.230801,1.435921,[ 8 18] ; [31 39],[10.5625 15.4375] ; [28.4375 41.5625],0
d2,1,0.236816,1.399445,[ 7 19] ; [28 42],[ 9.47916667 16.52083333] ; [25.52083333 44.47916667],0
n4,1,0.242608,1.365374,[11 15] ; [39 31],[13.54166667 12.45833333] ; [36.45833333 33.54166667],0
d1,1,0.255623,1.292308,[11 15] ; [21 49],[ 8.66666667 17.33333333] ; [23.33333333 46.66666667],0
r2,1,0.257992,1.279499,[23  3] ; [54 15],[21.07368421  4.92631579] ; [55.92631579 13.07368421],0
s7,1,0.314656,1.011031,[ 5 18] ; [ 8 54],[ 3.51764706 19.48235294] ; [ 9.48235294 52.51764706],0
b1,1,0.33691,0.922155,[12 14] ; [40 30],[14.08333333 11.91666667] ; [37.91666667 32.08333333],0
s5,1,0.360999,0.834414,[ 3 23] ; [ 4 63],[ 1.95698925 24.04301075] ; [ 5.04301075 61.95698925],0
d3,1,0.413604,0.668418,[16 10] ; [36 33],[14.23157895 11.76842105] ; [37.76842105 31.23157895],0
a3,1,0.415916,0.661827,[15 11] ; [46 23],[16.69473684  9.30526316] ; [44.30526316 24.69473684],0
v1,1,0.456908,0.553458,[10 16] ; [21 48],[ 8.48421053 17.51578947] ; [22.51578947 46.48421053],0
u2,1,0.477688,0.504137,[5 6] ; [14 10],[5.97142857 5.02857143] ; [13.02857143 10.97142857],0
s4,1,0.594346,0.283608,[ 2 24] ; [ 8 62],[ 2.70833333 23.29166667] ; [ 7.29166667 62.70833333],0
s8,1,0.657611,0.196438,[ 3 23] ; [ 6 64],[ 2.4375 23.5625] ; [ 6.5625 63.4375],0
b4,1,0.677458,0.173002,[14 12] ; [41 29],[14.89583333 11.10416667] ; [40.10416667 29.89583333],0
u1,1,0.714307,0.134013,[ 1 25] ; [ 4 66],[ 1.35416667 24.64583333] ; [ 3.64583333 66.35416667],0
s2,1,0.773402,0.082902,[ 4 21] ; [13 57],[ 4.47368421 20.52631579] ; [12.52631579 57.47368421],0
b3,1,0.790864,0.070325,[ 4 10] ; [12 25],[4.39215686 9.60784314] ; [11.60784314 25.39215686],0
b2,1,0.790864,0.070325,[ 4 10] ; [12 25],[4.39215686 9.60784314] ; [11.60784314 25.39215686],0
u3,1,0.80276,0.062389,[5 6] ; [12 12],[5.34285714 5.65714286] ; [11.65714286 12.34285714],0
p5,1,0.804523,0.061255,[ 1 25] ; [ 2 68],[ 0.8125 25.1875] ; [ 2.1875 67.8125],0
n2,1,0.829357,0.046452,[3 2] ; [17 14],[2.77777778 2.22222222] ; [17.22222222 13.77777778],0
a2,1,0.86217,0.030141,[ 3 23] ; [ 9 61],[ 3.25 22.75] ; [ 8.75 61.25],0
a5,1,0.870069,0.026756,[14 12] ; [39 31],[14.35416667 11.64583333] ; [38.64583333 31.35416667],0
s1,1,0.90213,0.015122,[ 2 23] ; [ 5 64],[ 1.86170213 23.13829787] ; [ 5.13829787 63.86170213],0
a6,1,0.905592,0.014066,[16 10] ; [44 26],[16.25  9.75] ; [43.75 26.25],0
d4,1,0.916992,0.010862,[18  8] ; [47 22],[17.78947368  8.21052632] ; [47.21052632 21.78947368],0
n1,1,0.929939,0.00773,[2 3] ; [11 18],[1.91176471 3.08823529] ; [11.08823529 17.91176471],0
n3,1,0.953847,0.00335,[3 2] ; [17 12],[2.94117647 2.05882353] ; [17.05882353 11.94117647],0
