Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.0,30.233846,[42 58] ; [ 9 95],[25. 75.] ; [26. 78.],1
r1,1,9.5e-05,15.23356,[84 20] ; [59 47],[70.81904762 33.18095238] ; [72.18095238 33.81904762],1
v1,1,0.000108,14.998219,[56 47] ; [29 75],[42.29468599 60.70531401] ; [42.70531401 61.29468599],1
a5,1,0.00107,10.701749,[71 34] ; [48 58],[59.21800948 45.78199052] ; [59.78199052 46.21800948],0
a3,1,0.005155,7.824143,[71 34] ; [51 54],[61. 44.] ; [61. 44.],0
d5,1,0.009054,6.812212,[84 21] ; [67 38],[75.5 29.5] ; [75.5 29.5],0
r2,1,0.021103,5.318277,[99  5] ; [91 15],[94.0952381  9.9047619] ; [95.9047619 10.0952381],0
a7,1,0.021281,5.303626,[83 22] ; [68 37],[75.5 29.5] ; [75.5 29.5],0
d1,1,0.023045,5.165144,[57 48] ; [41 65],[48.76777251 56.23222749] ; [49.23222749 56.76777251],0
d3,1,0.025942,4.959874,[76 29] ; [60 44],[68.32535885 36.67464115] ; [67.67464115 36.32535885],0
u1,1,0.028803,4.779359,[14 91] ; [  5 101],[ 9.4549763 95.5450237] ; [ 9.5450237 96.4549763],0
d4,1,0.037375,4.333226,[87 18] ; [75 31],[80.61611374 24.38388626] ; [81.38388626 24.61611374],0
p12,1,0.049865,3.84599,[ 6 97] ; [  1 105],[ 3.44976077 99.55023923] ; [  3.55023923 102.44976077],0
a2,1,0.059948,3.538818,[18 87] ; [ 9 97],[13.43601896 91.56398104] ; [13.56398104 92.43601896],0
s6,1,0.063617,3.440485,[67 36] ; [55 50],[60.41346154 42.58653846] ; [61.58653846 43.41346154],0
b1,1,0.120268,2.413826,[30 75] ; [41 65],[35.33175355 69.66824645] ; [35.66824645 70.33175355],0
b4,1,0.138678,2.192566,[67 38] ; [57 49],[61.70616114 43.29383886] ; [62.29383886 43.70616114],0
p4,1,0.145728,2.116408,[51 53] ; [41 64],[45.77990431 58.22009569] ; [46.22009569 58.77990431],0
p10,1,0.148768,2.084837,[75 28] ; [66 38],[70.15942029 32.84057971] ; [70.84057971 33.15942029],0
a6,1,0.169611,1.886377,[71 34] ; [62 44],[66.18483412 38.81516588] ; [66.81516588 39.18483412],0
p8,1,0.19398,1.687126,[50 53] ; [42 64],[45.33971292 57.66028708] ; [46.66028708 59.33971292],0
a8,1,0.230013,1.440781,[ 3 93] ; [ 7 95],[ 4.84848485 91.15151515] ; [ 5.15151515 96.84848485],0
b5,1,0.236107,1.403687,[60 45] ; [69 37],[64.1943128 40.8056872] ; [64.8056872 41.1943128],0
s1,1,0.254101,1.300612,[  2 103] ; [  5 101],[  3.48341232 101.51658768] ; [  3.51658768 102.48341232],0
p5,1,0.299765,1.07524,[ 6 98] ; [  3 102],[ 4.4784689 99.5215311] ; [  4.5215311 100.4784689],0
v4,1,0.307387,1.041871,[98  6] ; [95 10],[96.03827751  7.96172249] ; [96.96172249  8.03827751],0
u2,1,0.343341,0.897916,[16 18] ; [31 23],[18.15909091 15.84090909] ; [28.84090909 25.15909091],0
a4,1,0.345176,0.891114,[35 70] ; [29 77],[31.84834123 73.15165877] ; [32.15165877 73.84834123],0
s7,1,0.356552,0.85,[33 69] ; [27 75],[30. 72.] ; [30. 72.],0
p9,1,0.356896,0.848787,[80 23] ; [75 29],[77.12560386 25.87439614] ; [77.87439614 26.12560386],0
r4,1,0.358613,0.842743,[91 14] ; [87 19],[88.57819905 16.42180095] ; [89.42180095 16.57819905],0
d2,1,0.421984,0.644784,[36 69] ; [42 64],[38.81516588 66.18483412] ; [39.18483412 66.81516588],0
s4,1,0.444176,0.58547,[23 82] ; [28 78],[25.37914692 79.62085308] ; [25.62085308 80.37914692],0
s5,1,0.457845,0.551158,[35 66] ; [31 73],[32.51707317 68.48292683] ; [33.48292683 70.51707317],0
p3,1,0.463706,0.536935,[38 65] ; [34 72],[35.48325359 67.51674641] ; [36.51674641 69.48325359],0
a1,1,0.479413,0.500198,[  3 102] ; [  5 101],[  3.98104265 101.01895735] ; [  4.01895735 101.98104265],0
n2,1,0.480635,0.497423,[23 12] ; [30 11],[24.40789474 10.59210526] ; [28.59210526 12.40789474],0
n1,1,0.485176,0.487207,[ 7 28] ; [11 30],[ 8.28947368 26.71052632] ; [ 9.71052632 31.28947368],0
s2,1,0.487296,0.482492,[49 56] ; [44 61],[46.5 58.5] ; [46.5 58.5],0
p7,1,0.49034,0.47578,[59 44] ; [53 48],[56.54901961 46.45098039] ; [55.45098039 45.54901961],0
s3,1,0.49244,0.471191,[53 51] ; [49 57],[50.51428571 53.48571429] ; [51.48571429 54.51428571],0
p11,1,0.492865,0.470266,[73 32] ; [69 37],[70.66350711 34.33649289] ; [71.33649289 34.66350711],0
s8,1,0.548735,0.359589,[34 71] ; [30 75],[32. 73.] ; [32. 73.],0
p1,1,0.563528,0.333632,[ 5 99] ; [ 7 98],[ 5.97129187 98.02870813] ; [ 6.02870813 98.97129187],0
b3,1,0.624425,0.239697,[15 34] ; [15 42],[13.86792453 35.13207547] ; [16.13207547 40.86792453],0
b2,1,0.624425,0.239697,[15 34] ; [15 42],[13.86792453 35.13207547] ; [16.13207547 40.86792453],0
p2,1,0.78676,0.073182,[77 27] ; [76 29],[76.13397129 27.86602871] ; [76.86602871 28.13397129],0
n3,1,0.811519,0.056866,[23 12] ; [28 13],[23.48684211 11.51315789] ; [27.51315789 13.48684211],0
