Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.0,95.45648,[181 231] ; [230  54],[243.29310345 168.70689655] ; [167.70689655 116.29310345],1
v1,1,0.0,38.019709,[185 227] ; [196  90],[224.88825215 187.11174785] ; [156.11174785 129.88825215],1
s8,1,0.0,26.67578,[156 266] ; [162 124],[189.54237288 232.45762712] ; [128.45762712 157.54237288],1
s7,1,2.3e-05,17.962785,[176 232] ; [163 110],[203.10132159 204.89867841] ; [135.89867841 137.10132159],1
n5,1,8.7e-05,15.404637,[282 136] ; [232  55],[304.75460993 113.24539007] ; [209.24539007  77.75460993],1
n4,1,0.000425,12.419479,[307 115] ; [242  46],[326.30704225  95.69295775] ; [222.69295775  65.30704225],1
p12,1,0.000508,12.085481,[ 22 395] ; [ 36 249],[ 34.45299145 382.54700855] ; [ 23.54700855 261.45299145],1
p5,1,0.000755,11.34966,[ 33 387] ; [ 46 242],[ 46.86440678 373.13559322] ; [ 32.13559322 255.86440678],1
p3,1,0.001673,9.877793,[187 234] ; [162 125],[207.52683616 213.47316384] ; [141.47316384 145.52683616],0
a1,1,0.002101,9.459223,[ 14 409] ; [ 25 264],[ 23.16994382 399.83005618] ; [ 15.83005618 273.16994382],0
n6,1,0.004961,7.893486,[342  78] ; [256  31],[355.24752475  64.75247525] ; [242.75247525  44.24752475],0
p10,1,0.007504,7.148216,[326  93] ; [243  40],[339.61680912  79.38319088] ; [229.38319088  53.61680912],0
d1,1,0.00888,6.846894,[274 149] ; [214  75],[289.92134831 133.07865169] ; [198.07865169  90.92134831],0
p7,1,0.009191,6.785349,[247 165] ; [195  85],[263.15606936 148.84393064] ; [178.84393064 101.15606936],0
p8,1,0.01423,6.00938,[205 214] ; [164 117],[220.87285714 198.12714286] ; [148.12714286 132.87285714],0
s2,1,0.020369,5.380018,[207 214] ; [166 120],[222.11173975 198.88826025] ; [150.88826025 135.11173975],0
