Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,92.012644,[38 42] ; [314  28],[66.72985782 13.27014218] ; [285.27014218  56.72985782],1
n6,1,0.0,34.032465,[54 26] ; [312  28],[69.71428571 10.28571429] ; [296.28571429  43.71428571],1
p4,1,5e-06,20.887558,[38 43] ; [249  91],[55.21852732 25.78147268] ; [231.78147268 108.21852732],1
p6,1,0.000685,11.528861,[22 57] ; [165 172],[35.51201923 43.48798077] ; [151.48798077 185.51201923],1
p11,1,0.001017,10.796241,[59 22] ; [300  43],[68.58254717 12.41745283] ; [290.41745283  52.58254717],0
r4,1,0.001027,10.778854,[67 14] ; [322  21],[74.31367925  6.68632075] ; [314.68632075  28.31367925],0
p7,1,0.001056,10.72684,[43 36] ; [244  89],[55.0315534 23.9684466] ; [231.9684466 101.0315534],0
d2,1,0.001518,10.056505,[27 54] ; [181 161],[39.82978723 41.17021277] ; [168.17021277 173.82978723],0
d1,1,0.00153,10.041847,[38 43] ; [226 117],[50.43396226 30.56603774] ; [213.56603774 129.43396226],0
p8,1,0.00187,9.673108,[37 44] ; [216 119],[49.26201923 31.73798077] ; [203.73798077 131.26201923],0
n1,1,0.00324,8.667027,[ 7 23] ; [26 19],[13.2 16.8] ; [19.8 25.2],0
p3,1,0.003266,8.652692,[35 46] ; [208 132],[46.75296912 34.24703088] ; [196.24703088 143.75296912],0
a8,1,0.0052,7.808705,[ 4 73] ; [ 55 249],[11.92388451 65.07611549] ; [ 47.07611549 256.92388451],0
p2,1,0.008573,6.909698,[64 17] ; [305  35],[70.99524941 10.00475059] ; [298.00475059  41.99524941],0
v3,1,0.012657,6.216432,[29 49] ; [175 156],[38.90464548 39.09535452] ; [165.09535452 165.90464548],0
r1,1,0.021675,5.271707,[60 21] ; [290  52],[67.0212766 13.9787234] ; [282.9787234  59.0212766],0
p5,1,0.021748,5.265839,[ 6 74] ; [ 61 279],[12.76190476 67.23809524] ; [ 54.23809524 285.76190476],0
d5,1,0.023946,5.098515,[61 20] ; [292  49],[67.75592417 13.24407583] ; [285.24407583  55.75592417],0
r3,1,0.044898,4.022476,[74  7] ; [330  12],[77.36170213  3.63829787] ; [326.63829787  15.36170213],0
