Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,2e-05,18.218864,[11 17] ; [76 18],[19.96721311  8.03278689] ; [67.03278689 26.96721311],1
r3,1,0.001193,10.501116,[22  6] ; [91  3],[25.93442623  2.06557377] ; [87.06557377  6.93442623],0
v4,1,0.009588,6.709831,[22  6] ; [88  5],[25.45454545  2.54545455] ; [84.54545455  8.45454545],0
s4,1,0.010527,6.54344,[ 7 21] ; [ 7 87],[ 3.21311475 24.78688525] ; [10.78688525 83.21311475],0
p6,1,0.046119,3.977247,[ 6 21] ; [40 52],[10.43697479 16.56302521] ; [35.56302521 56.43697479],0
r2,1,0.071943,3.238135,[23  5] ; [85  6],[25.41176471  2.58823529] ; [82.58823529  8.41176471],0
p11,1,0.081849,3.027808,[19  9] ; [78 16],[22.26229508  5.73770492] ; [74.73770492 19.26229508],0
b1,1,0.101304,2.684891,[14 14] ; [31 63],[10.32786885 17.67213115] ; [34.67213115 59.32786885],0
p9,1,0.109818,2.55684,[20  8] ; [78 14],[22.86666667  5.13333333] ; [75.13333333 16.86666667],0
n6,1,0.117091,2.455811,[21  7] ; [82 12],[23.63934426  4.36065574] ; [79.36065574 14.63934426],0
r4,1,0.117091,2.455811,[21  7] ; [82 12],[23.63934426  4.36065574] ; [79.36065574 14.63934426],0
a7,1,0.205816,1.600616,[22  6] ; [62 32],[19.27868852  8.72131148] ; [64.72131148 29.27868852],0
a6,1,0.240092,1.380054,[17 11] ; [68 26],[19.50819672  8.49180328] ; [65.49180328 28.50819672],0
d5,1,0.285193,1.142175,[20  8] ; [76 18],[22.03278689  5.96721311] ; [73.96721311 20.03278689],0
n1,1,0.286167,1.137569,[4 8] ; [13 12],[5.51351351 6.48648649] ; [11.48648649 13.51351351],0
b5,1,0.289415,1.122339,[12 16] ; [51 43],[14.45901639 13.54098361] ; [48.54098361 45.45901639],0
a5,1,0.29037,1.117903,[19  9] ; [73 21],[21.1147541  6.8852459] ; [70.8852459 23.1147541],0
r1,1,0.349673,0.874645,[20  8] ; [75 19],[21.80327869  6.19672131] ; [73.19672131 20.80327869],0
a3,1,0.364346,0.822857,[20  8] ; [74 19],[21.75206612  6.24793388] ; [72.24793388 20.75206612],0
p12,1,0.367385,0.81249,[ 1 27] ; [ 8 84],[ 2.1 25.9] ; [ 6.9 85.1],0
s8,1,0.377502,0.77882,[13 15] ; [52 41],[15.04132231 12.95867769] ; [49.95867769 43.04132231],0
u1,1,0.414021,0.667225,[ 4 24] ; [20 74],[ 5.50819672 22.49180328] ; [18.49180328 75.50819672],0
p2,1,0.419114,0.652799,[21  7] ; [77 17],[22.49180328  5.50819672] ; [75.50819672 18.49180328],0
s5,1,0.437002,0.604142,[ 8 20] ; [20 73],[ 6.47933884 21.52066116] ; [21.52066116 71.47933884],0
d1,1,0.466646,0.529908,[13 15] ; [51 43],[14.68852459 13.31147541] ; [49.31147541 44.68852459],0
p4,1,0.489039,0.478641,[19  9] ; [57 37],[17.44262295 10.55737705] ; [58.55737705 35.44262295],0
s3,1,0.530404,0.393618,[ 7 21] ; [29 64],[ 8.33057851 19.66942149] ; [27.66942149 65.33057851],0
d3,1,0.551257,0.35507,[21  7] ; [65 29],[19.73770492  8.26229508] ; [66.26229508 27.73770492],0
n3,1,0.591943,0.28732,[6 5] ; [16  9],[6.72222222 4.27777778] ; [15.27777778  9.72222222],0
a8,1,0.621028,0.244425,[ 3 22] ; [13 68],[ 3.77358491 21.22641509] ; [12.22641509 68.77358491],0
a4,1,0.62557,0.238117,[10 18] ; [38 55],[11.10743802 16.89256198] ; [36.89256198 56.10743802],0
p10,1,0.628796,0.233697,[22  6] ; [76 16],[22.86666667  5.13333333] ; [75.13333333 16.86666667],0
