Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,0.0,33.04428,[ 5 29] ; [26  4],[16.46875 17.53125] ; [14.53125 15.46875],1
d5,1,0.000153,14.336998,[17 17] ; [28  2],[23.90625 10.09375] ; [21.09375  8.90625],1
a2,1,0.00017,14.138562,[ 2 32] ; [14 16],[ 8.5 25.5] ; [ 7.5 22.5],1
a3,1,0.000871,11.083338,[16 18] ; [26  4],[22.3125 11.6875] ; [19.6875 10.3125],1
a4,1,0.00174,9.805303,[ 8 25] ; [19 11],[14.14285714 18.85714286] ; [12.85714286 17.14285714],0
a6,1,0.003324,8.620597,[15 19] ; [24  6],[20.71875 13.28125] ; [18.28125 11.71875],0
d3,1,0.003676,8.437504,[18 16] ; [26  4],[23.375 10.625] ; [20.625  9.375],0
a5,1,0.007147,7.235574,[19 15] ; [26  4],[23.90625 10.09375] ; [21.09375  8.90625],0
v2,1,0.007762,7.087676,[14 19] ; [22  7],[19.16129032 13.83870968] ; [16.83870968 12.16129032],0
a7,1,0.038369,4.288607,[17 16] ; [23  7],[20.95238095 12.04761905] ; [19.04761905 10.95238095],0
u1,1,0.059011,3.564955,[ 3 31] ; [ 8 22],[ 5.84375 28.15625] ; [ 5.15625 24.84375],0
p7,1,0.099029,2.72111,[20 12] ; [12 17],[16.78688525 15.21311475] ; [15.21311475 13.78688525],0
p8,1,0.156018,2.012406,[ 8 26] ; [12 18],[10.625 23.375] ; [ 9.375 20.625],0
s6,1,0.190798,1.711442,[15 18] ; [18 11],[17.56451613 15.43548387] ; [15.43548387 13.56451613],0
p6,1,0.203018,1.620528,[10 24] ; [ 4 22],[ 7.93333333 26.06666667] ; [ 6.06666667 19.93333333],0
a8,1,0.230571,1.437333,[ 4 26] ; [ 1 24],[ 2.72727273 27.27272727] ; [ 2.27272727 22.72727273],0
s1,1,0.265342,1.240671,[ 5 27] ; [ 2 28],[ 3.61290323 28.38709677] ; [ 3.38709677 26.61290323],0
n3,1,0.277291,1.180317,[8 2] ; [7 5],[6.81818182 3.18181818] ; [8.18181818 3.81818182],0
n1,1,0.27874,1.173223,[6 4] ; [4 7],[4.76190476 5.23809524] ; [5.23809524 5.76190476],0
