Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.005699,7.643109,[13 20] ; [11  2],[17.2173913 15.7826087] ; [6.7826087 6.2173913],0
p10,1,0.013153,6.148442,[12 21] ; [10  3],[15.7826087 17.2173913] ; [6.2173913 6.7826087],0
v2,1,0.013731,6.072422,[ 5 29] ; [6 6],[ 8.13043478 25.86956522] ; [2.86956522 9.13043478],0
u3,1,0.037303,4.336533,[ 4 19] ; [4 3],[ 6.13333333 16.86666667] ; [1.86666667 5.13333333],0
n5,1,0.113346,2.506933,[24 11] ; [11  1],[26.06382979  8.93617021] ; [8.93617021 3.06382979],0
n1,1,0.168509,1.896162,[ 7 13] ; [4 2],[ 8.46153846 11.53846154] ; [2.53846154 3.46153846],0
s8,1,0.176892,1.823548,[ 3 32] ; [ 3 10],[ 4.375 30.625] ; [ 1.625 11.375],0
s4,1,0.231611,1.430938,[ 8 27] ; [ 1 12],[ 6.5625 28.4375] ; [ 2.4375 10.5625],0
s1,1,0.240666,1.376689,[ 2 33] ; [ 2 10],[ 2.9787234 32.0212766] ; [ 1.0212766 10.9787234],0
p11,1,0.249596,1.325561,[15 20] ; [8 5],[16.77083333 18.22916667] ; [6.22916667 6.77083333],0
s3,1,0.323879,0.973217,[10 24] ; [ 2 11],[ 8.68085106 25.31914894] ; [3.31914894 9.68085106],0
a6,1,0.350656,0.871083,[16 19] ; [4 9],[14.58333333 20.41666667] ; [5.41666667 7.58333333],0
b3,1,0.408384,0.683502,[ 7 14] ; [4 4],[ 7.96551724 13.03448276] ; [3.03448276 4.96551724],0
b2,1,0.408384,0.683502,[ 7 14] ; [4 4],[ 7.96551724 13.03448276] ; [3.03448276 4.96551724],0
p3,1,0.409708,0.679649,[ 6 29] ; [ 1 12],[ 5.10416667 29.89583333] ; [ 1.89583333 11.10416667],0
s2,1,0.449238,0.572573,[ 9 26] ; [ 2 11],[ 8.02083333 26.97916667] ; [ 2.97916667 10.02083333],0
a5,1,0.45039,0.56967,[12 23] ; [6 7],[13.125 21.875] ; [4.875 8.125],0
v3,1,0.452984,0.563176,[ 3 31] ; [ 2 10],[ 3.69565217 30.30434783] ; [ 1.30434783 10.69565217],0
a2,1,0.456285,0.554993,[ 1 34] ; [ 1 12],[ 1.45833333 33.54166667] ; [ 0.54166667 12.45833333],0
a3,1,0.493291,0.46934,[12 22] ; [6 7],[13.0212766 20.9787234] ; [4.9787234 8.0212766],0
p1,1,0.514034,0.425846,[ 3 31] ; [ 2 11],[ 3.61702128 30.38297872] ; [ 1.38297872 11.61702128],0
v4,1,0.546783,0.363111,[19 15] ; [5 6],[18.13333333 15.86666667] ; [5.86666667 5.13333333],0
n6,1,0.559378,0.340782,[18 17] ; [5 7],[17.12765957 17.87234043] ; [5.87234043 6.12765957],0
r2,1,0.585276,0.297782,[19 16] ; [7 4],[19.7826087 15.2173913] ; [6.2173913 4.7826087],0
p2,1,0.620725,0.24485,[21 13] ; [7 6],[20.25531915 13.74468085] ; [7.74468085 5.25531915],0
p4,1,0.645993,0.210989,[11 24] ; [5 8],[11.66666667 23.33333333] ; [4.33333333 8.66666667],0
b1,1,0.652617,0.202616,[19 16] ; [8 5],[19.6875 15.3125] ; [7.3125 5.6875],0
n4,1,0.681831,0.168072,[21 14] ; [8 4],[21.59574468 13.40425532] ; [7.40425532 4.59574468],0
s6,1,0.703448,0.14491,[10 25] ; [ 3 10],[ 9.47916667 25.52083333] ; [3.52083333 9.47916667],0
a1,1,0.706494,0.141804,[ 4 31] ; [ 1 12],[ 3.64583333 31.35416667] ; [ 1.35416667 11.64583333],0
b4,1,0.745333,0.105495,[17 18] ; [7 6],[17.5 17.5] ; [6.5 6.5],0
r3,1,0.7486,0.102711,[14 21] ; [5 6],[14.45652174 20.54347826] ; [4.54347826 6.45652174],0
p8,1,0.769646,0.085754,[12 22] ; [4 9],[11.57446809 22.42553191] ; [4.42553191 8.57446809],0
d3,1,0.811359,0.056965,[ 9 25] ; [ 3 10],[ 8.68085106 25.31914894] ; [3.31914894 9.68085106],0
a4,1,0.815555,0.054413,[ 7 28] ; [ 3 10],[ 7.29166667 27.70833333] ; [ 2.70833333 10.29166667],0
d2,1,0.851251,0.035165,[ 9 26] ; [ 3 10],[ 8.75 26.25] ; [3.25 9.75],0
u2,1,0.860116,0.031056,[ 9 14] ; [3 4],[ 9.2 13.8] ; [2.8 4.2],0
p7,1,0.882937,0.021682,[15 19] ; [5 7],[14.7826087 19.2173913] ; [5.2173913 6.7826087],0
s7,1,0.906415,0.013821,[ 6 27] ; [ 2 10],[ 5.86666667 27.13333333] ; [2.13333333 9.86666667],0
a7,1,0.95209,0.00361,[12 23] ; [4 8],[11.91489362 23.08510638] ; [4.08510638 7.91489362],0
d5,1,0.965067,0.001918,[11 24] ; [4 9],[10.9375 24.0625] ; [4.0625 8.9375],0
r1,1,0.969786,0.001435,[ 6 29] ; [ 2 10],[ 5.95744681 29.04255319] ; [2.04255319 9.95744681],0
p6,1,0.973855,0.001074,[ 8 26] ; [ 3 10],[ 7.95744681 26.04255319] ; [3.04255319 9.95744681],0
b5,1,0.978331,0.000738,[16 19] ; [6 7],[16.04166667 18.95833333] ; [5.95833333 7.04166667],0
