Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,5.7e-05,16.193966,[30  6] ; [10 19],[22.15384615 13.84615385] ; [17.84615385 11.15384615],1
n6,1,0.000344,12.81673,[32  3] ; [15 14],[25.703125  9.296875] ; [21.296875  7.703125],1
s8,1,0.004547,8.051211,[18 17] ; [ 5 24],[12.578125 22.421875] ; [10.421875 18.578125],0
s7,1,0.006102,7.520004,[19 16] ; [ 6 23],[13.671875 21.328125] ; [11.328125 17.671875],0
s3,1,0.014237,6.008536,[24 11] ; [11 18],[19.140625 15.859375] ; [15.859375 13.140625],0
v4,1,0.020574,5.362534,[35  1] ; [23  6],[32.12307692  3.87692308] ; [25.87692308  3.12307692],0
b3,1,0.025347,5.0,[ 9 15] ; [ 1 15],[ 6. 18.] ; [ 4. 12.],0
b2,1,0.025347,5.0,[ 9 15] ; [ 1 15],[ 6. 18.] ; [ 4. 12.],0
s2,1,0.031319,4.635398,[19 16] ; [ 8 21],[14.765625 20.234375] ; [12.234375 16.765625],0
p9,1,0.041606,4.151151,[18 16] ; [ 8 21],[14.03174603 19.96825397] ; [11.96825397 17.03174603],0
r2,1,0.045226,4.010177,[35  1] ; [24  5],[32.67692308  3.32307692] ; [26.32307692  2.67692308],0
a4,1,0.060086,3.535015,[15 20] ; [ 6 23],[11.484375 23.515625] ; [ 9.515625 19.484375],0
d1,1,0.07036,3.274608,[23 13] ; [12 17],[19.38461538 16.61538462] ; [15.61538462 13.38461538],0
a2,1,0.080699,3.050766,[10 26] ; [ 3 26],[ 7.2 28.8] ; [ 5.8 23.2],0
s6,1,0.099829,2.708267,[24 11] ; [14 15],[20.78125 14.21875] ; [17.21875 11.78125],0
p6,1,0.100235,2.701801,[19 16] ; [ 9 18],[15.80645161 19.19354839] ; [12.19354839 14.80645161],0
v2,1,0.101941,2.674904,[15 21] ; [18 11],[18.27692308 17.72307692] ; [14.72307692 14.27692308],0
r1,1,0.110771,2.543186,[29  6] ; [19 10],[26.25  8.75] ; [21.75  7.25],0
d2,1,0.140215,2.1756,[19 17] ; [10 19],[16.06153846 19.93846154] ; [12.93846154 16.06153846],0
r4,1,0.163813,1.938672,[32  4] ; [22  7],[29.90769231  6.09230769] ; [24.09230769  4.90769231],0
u2,1,0.195646,1.674579,[ 4 11] ; [7 7],[5.68965517 9.31034483] ; [5.31034483 8.68965517],0
p4,1,0.221558,1.494253,[24 12] ; [15 14],[21.6 14.4] ; [17.4 11.6],0
a6,1,0.237943,1.392741,[21 15] ; [21  8],[23.26153846 12.73846154] ; [18.73846154 10.26153846],0
d5,1,0.280906,1.1627,[29  7] ; [20  9],[27.13846154  8.86153846] ; [21.86153846  7.13846154],0
u1,1,0.312131,1.021639,[ 7 29] ; [ 3 26],[ 5.53846154 30.46153846] ; [ 4.46153846 24.53846154],0
a8,1,0.313405,1.016271,[ 5 24] ; [ 2 23],[ 3.75925926 25.24074074] ; [ 3.24074074 21.75925926],0
p3,1,0.330538,0.94679,[18 18] ; [11 18],[16.06153846 19.93846154] ; [12.93846154 16.06153846],0
p1,1,0.34577,0.888922,[ 5 30] ; [ 2 27],[ 3.828125 31.171875] ; [ 3.171875 25.828125],0
r3,1,0.415261,0.663687,[33  3] ; [28  1],[33.78461538  2.21538462] ; [27.21538462  1.78461538],0
d3,1,0.421618,0.6458,[28  8] ; [20  9],[26.58461538  9.41538462] ; [21.41538462  7.58461538],0
n2,1,0.45675,0.553846,[8 4] ; [5 1],[8.66666667 3.33333333] ; [4.33333333 1.66666667],0
n3,1,0.502335,0.45,[6 6] ; [4 2],[6.66666667 5.33333333] ; [3.33333333 2.66666667],0
a3,1,0.506457,0.441379,[21 14] ; [15 14],[19.6875 15.3125] ; [16.3125 12.6875],0
v3,1,0.54504,0.366279,[10 25] ; [10 18],[11.11111111 23.88888889] ; [ 8.88888889 19.11111111],0
a7,1,0.560422,0.338974,[26 10] ; [19 10],[24.92307692 11.07692308] ; [20.07692308  8.92307692],0
n1,1,0.585106,0.298052,[7 4] ; [3 3],[6.47058824 4.52941176] ; [3.52941176 2.47058824],0
p11,1,0.63759,0.221908,[19 17] ; [17 12],[19.93846154 16.06153846] ; [16.06153846 12.93846154],0
p2,1,0.647265,0.209366,[29  7] ; [22  7],[28.24615385  7.75384615] ; [22.75384615  6.24615385],0
a5,1,0.664303,0.188338,[23 13] ; [17 12],[22.15384615 13.84615385] ; [17.84615385 11.15384615],0
s1,1,0.669428,0.182271,[ 2 33] ; [ 1 28],[ 1.640625 33.359375] ; [ 1.359375 27.640625],0
b5,1,0.736453,0.113268,[25 11] ; [19 10],[24.36923077 11.63076923] ; [19.63076923  9.36923077],0
p7,1,0.774139,0.082349,[26 10] ; [20  9],[25.47692308 10.52307692] ; [20.52307692  8.47692308],0
u3,1,0.836687,0.042491,[7 8] ; [6 8],[6.72413793 8.27586207] ; [6.27586207 7.72413793],0
b4,1,0.838562,0.041507,[22 14] ; [17 12],[21.6 14.4] ; [17.4 11.6],0
b1,1,0.847343,0.03706,[17 19] ; [13 16],[16.61538462 19.38461538] ; [13.38461538 15.61538462],0
d4,1,0.855407,0.033206,[28  8] ; [22  7],[27.69230769  8.30769231] ; [22.30769231  6.69230769],0
s4,1,0.858143,0.031947,[ 4 30] ; [ 3 26],[ 3.77777778 30.22222222] ; [ 3.22222222 25.77777778],0
a1,1,0.876346,0.024212,[ 1 35] ; [ 1 28],[ 1.10769231 34.89230769] ; [ 0.89230769 28.10769231],0
s5,1,0.966279,0.001787,[ 6 28] ; [ 5 24],[ 5.93650794 28.06349206] ; [ 5.06349206 23.93650794],0
v1,1,0.981355,0.000546,[15 21] ; [12 17],[14.95384615 21.04615385] ; [12.04615385 16.95384615],0
