Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.0,74.330132,[114   7] ; [20 38],[90.58100559 30.41899441] ; [43.41899441 14.58100559],1
s6,1,8.9e-05,15.358063,[105  15] ; [36 22],[95.05617978 24.94382022] ; [45.94382022 12.05617978],1
s4,1,0.001475,10.109927,[42 79] ; [ 7 51],[33.12290503 87.87709497] ; [15.87709497 42.12290503],0
b5,1,0.007935,7.048179,[70 52] ; [21 37],[61.67777778 60.32222222] ; [29.32222222 28.67777778],0
v4,1,0.00844,6.937664,[119   2] ; [52  6],[115.59217877   5.40782123] ; [55.40782123  2.59217877],0
p2,1,0.034279,4.480741,[106  16] ; [43 15],[100.98888889  21.01111111] ; [48.01111111  9.98888889],0
p5,1,0.035445,4.423624,[ 10 112] ; [11 47],[ 14.23333333 107.76666667] ; [ 6.76666667 51.23333333],0
n5,1,0.046048,3.979842,[96 25] ; [38 20],[90.58100559 30.41899441] ; [43.41899441 14.58100559],0
d1,1,0.058989,3.565574,[79 43] ; [29 29],[73.2 48.8] ; [34.8 23.2],0
p9,1,0.06101,3.509726,[106  14] ; [45 13],[101.79775281  18.20224719] ; [49.20224719  8.79775281],0
s1,1,0.090225,2.870359,[ 10 112] ; [ 1 57],[  7.45555556 114.54444444] ; [ 3.54444444 54.45555556],0
a4,1,0.105275,2.623758,[62 60] ; [22 36],[56.93333333 65.06666667] ; [27.06666667 30.93333333],0
u1,1,0.121616,2.396384,[29 93] ; [ 8 50],[25.07777778 96.92222222] ; [11.92222222 46.07777778],0
r2,1,0.131299,2.277074,[116   4] ; [53  5],[113.93258427   6.06741573] ; [55.06741573  2.93258427],0
a7,1,0.17296,1.857099,[88 34] ; [36 22],[84.04444444 37.95555556] ; [39.95555556 18.04444444],0
d2,1,0.186341,1.746311,[67 54] ; [26 32],[62.86592179 58.13407821] ; [30.13407821 27.86592179],0
s5,1,0.19152,1.705882,[52 64] ; [20 38],[48. 68.] ; [24. 34.],0
p6,1,0.279325,1.170373,[51 71] ; [19 38],[47.70949721 74.29050279] ; [22.29050279 34.70949721],0
v2,1,0.298541,1.080702,[55 65] ; [21 35],[51.81818182 68.18181818] ; [24.18181818 31.81818182],0
s8,1,0.306368,1.04627,[75 47] ; [31 27],[71.84444444 50.15555556] ; [34.15555556 23.84444444],0
u3,1,0.314188,1.012987,[20  8] ; [6 5],[18.66666667  9.33333333] ; [7.33333333 3.66666667],0
d3,1,0.32739,0.959193,[84 37] ; [36 22],[81.11731844 39.88268156] ; [38.88268156 19.11731844],0
a6,1,0.32901,0.952789,[78 43] ; [33 25],[75.03351955 45.96648045] ; [35.96648045 22.03351955],0
a2,1,0.357137,0.847937,[33 89] ; [12 46],[30.5 91.5] ; [14.5 43.5],0
n4,1,0.404813,0.693983,[101  21] ; [45 13],[98.95555556 23.04444444] ; [47.04444444 10.95555556],0
n1,1,0.415801,0.662152,[11 16] ; [13 12],[12.46153846 14.53846154] ; [11.53846154 13.46153846],0
u2,1,0.435064,0.609267,[16 11] ; [8 3],[17.05263158  9.94736842] ; [6.94736842 4.05263158],0
p7,1,0.45115,0.567761,[80 38] ; [36 22],[77.77272727 40.22727273] ; [38.22727273 19.77272727],0
n6,1,0.460187,0.54544,[107  14] ; [49  9],[105.45251397  15.54748603] ; [50.54748603  7.45251397],0
p10,1,0.481092,0.496387,[102  20] ; [46 12],[100.31111111  21.68888889] ; [47.68888889 10.31111111],0
a8,1,0.495919,0.46366,[14 98] ; [ 9 46],[15.4251497 96.5748503] ; [ 7.5748503 47.4251497],0
d5,1,0.504051,0.446398,[99 22] ; [45 13],[97.34078212 23.65921788] ; [46.65921788 11.34078212],0
a3,1,0.544165,0.367874,[94 28] ; [47 11],[95.56666667 26.43333333] ; [45.43333333 12.56666667],0
r4,1,0.552308,0.353198,[107  15] ; [49  9],[105.73333333  16.26666667] ; [50.26666667  7.73333333],0
r1,1,0.57669,0.311617,[99 23] ; [45 13],[97.6 24.4] ; [46.4 11.6],0
p12,1,0.579481,0.307074,[  9 113] ; [ 3 55],[  8.13333333 113.86666667] ; [ 3.86666667 54.13333333],0
a5,1,0.59682,0.279819,[88 34] ; [44 14],[89.46666667 32.53333333] ; [42.53333333 15.46666667],0
p4,1,0.636517,0.223327,[76 46] ; [34 24],[74.55555556 47.44444444] ; [35.44444444 22.55555556],0
p8,1,0.666209,0.186068,[60 60] ; [27 31],[58.65168539 61.34831461] ; [28.34831461 29.65168539],0
p11,1,0.6686,0.183244,[94 28] ; [43 15],[92.85555556 29.14444444] ; [44.14444444 13.85555556],0
p1,1,0.670607,0.180893,[ 13 109] ; [ 5 53],[ 12.2 109.8] ; [ 5.8 52.2],0
r3,1,0.707494,0.140793,[113   8] ; [55  3],[113.56424581   7.43575419] ; [54.43575419  3.56424581],0
n3,1,0.735596,0.114035,[21  7] ; [17  7],[20.46153846  7.53846154] ; [17.53846154  6.46153846],0
d4,1,0.792453,0.069236,[100  21] ; [47 11],[99.36871508 21.63128492] ; [47.63128492 10.36871508],0
v3,1,0.794265,0.068004,[36 82] ; [16 40],[35.26436782 82.73563218] ; [16.73563218 39.26436782],0
p3,1,0.795757,0.066999,[58 63] ; [29 29],[58.81005587 62.18994413] ; [28.18994413 29.81005587],0
b1,1,0.874559,0.024923,[52 70] ; [24 34],[51.51111111 70.48888889] ; [24.48888889 33.51111111],0
b2,1,0.908289,0.01327,[29 48] ; [15 26],[28.71186441 48.28813559] ; [15.28813559 25.71186441],0
b3,1,0.908289,0.01327,[29 48] ; [15 26],[28.71186441 48.28813559] ; [15.28813559 25.71186441],0
b4,1,0.934832,0.006686,[66 56] ; [31 27],[65.74444444 56.25555556] ; [31.25555556 26.74444444],0
a1,1,0.941662,0.005355,[  6 116] ; [ 3 55],[  6.1 115.9] ; [ 2.9 55.1],0
n2,1,0.96323,0.002125,[20  8] ; [18  7],[20.0754717  7.9245283] ; [17.9245283  7.0754717],0
