Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,0.045108,4.01461,[14 36] ; [12 11],[17.80821918 32.19178082] ; [ 8.19178082 14.80821918],0
n1,1,0.06187,3.486522,[ 3 15] ; [7 8],[ 5.45454545 12.54545455] ; [ 4.54545455 10.45454545],0
a2,1,0.097549,2.745166,[ 7 43] ; [ 7 16],[ 9.5890411 40.4109589] ; [ 4.4109589 18.5890411],0
a5,1,0.10627,2.608827,[27 23] ; [17  6],[30.1369863 19.8630137] ; [13.8630137  9.1369863],0
s4,1,0.122857,2.380512,[12 38] ; [ 2 21],[ 9.5890411 40.4109589] ; [ 4.4109589 18.5890411],0
p3,1,0.13205,2.268236,[17 32] ; [ 4 19],[14.29166667 34.70833333] ; [ 6.70833333 16.29166667],0
b4,1,0.209241,1.576672,[27 23] ; [16  7],[29.45205479 20.54794521] ; [13.54794521  9.45205479],0
v2,1,0.252559,1.309091,[20 30] ; [12 10],[22.22222222 27.77777778] ; [ 9.77777778 12.22222222],0
p5,1,0.25864,1.276024,[ 4 44] ; [ 4 19],[ 5.4084507 42.5915493] ; [ 2.5915493 20.4084507],0
s8,1,0.265578,1.239445,[ 8 42] ; [ 6 16],[ 9.72222222 40.27777778] ; [ 4.27777778 17.72222222],0
b1,1,0.290385,1.117837,[24 26] ; [ 8 15],[21.91780822 28.08219178] ; [10.08219178 12.91780822],0
d1,1,0.319819,0.989688,[22 28] ; [13 10],[23.97260274 26.02739726] ; [11.02739726 11.97260274],0
v3,1,0.350271,0.872477,[10 39] ; [ 7 16],[11.56944444 37.43055556] ; [ 5.43055556 17.56944444],0
u1,1,0.372222,0.796233,[ 5 45] ; [ 4 19],[ 6.16438356 43.83561644] ; [ 2.83561644 20.16438356],0
p9,1,0.387745,0.746001,[32 17] ; [12 10],[30.36619718 18.63380282] ; [13.63380282  8.36619718],0
p1,1,0.401861,0.702751,[ 5 44] ; [ 1 22],[ 4.08333333 44.91666667] ; [ 1.91666667 21.08333333],0
n3,1,0.406669,0.688519,[11  7] ; [7 8],[9.81818182 8.18181818] ; [8.18181818 6.81818182],0
s1,1,0.414046,0.667153,[ 5 45] ; [ 1 22],[ 4.10958904 45.89041096] ; [ 1.89041096 21.10958904],0
r3,1,0.414216,0.666667,[33 16] ; [12  9],[31.5 17.5] ; [13.5  7.5],0
d5,1,0.418857,0.653519,[37 13] ; [19  4],[38.35616438 11.64383562] ; [17.64383562  5.35616438],0
d2,1,0.435831,0.607234,[17 33] ; [10 13],[18.49315068 31.50684932] ; [ 8.50684932 14.49315068],0
s2,1,0.490105,0.476296,[16 34] ; [ 5 16],[14.78873239 35.21126761] ; [ 6.21126761 14.78873239],0
p11,1,0.515445,0.422997,[28 22] ; [11 12],[26.71232877 23.28767123] ; [12.28767123 10.71232877],0
d4,1,0.526043,0.402029,[38 12] ; [19  4],[39.04109589 10.95890411] ; [17.95890411  5.04109589],0
b5,1,0.529729,0.394911,[30 20] ; [12 11],[28.76712329 21.23287671] ; [13.23287671  9.76712329],0
p8,1,0.559693,0.340236,[18 30] ; [ 7 16],[16.90140845 31.09859155] ; [ 8.09859155 14.90140845],0
b3,1,0.565021,0.331085,[ 8 17] ; [ 3 10],[ 7.23684211 17.76315789] ; [3.76315789 9.23684211],0
b2,1,0.565021,0.331085,[ 8 17] ; [ 3 10],[ 7.23684211 17.76315789] ; [3.76315789 9.23684211],0
p12,1,0.578614,0.30848,[ 1 48] ; [ 1 22],[ 1.36111111 47.63888889] ; [ 0.63888889 22.36111111],0
s3,1,0.589154,0.291667,[19 31] ; [ 9 11],[20. 30.] ; [ 8. 12.],0
p6,1,0.620016,0.245846,[10 38] ; [ 6 17],[10.81690141 37.18309859] ; [ 5.18309859 17.81690141],0
p10,1,0.625587,0.238093,[27 20] ; [14  8],[27.92753623 19.07246377] ; [13.07246377  8.92753623],0
s7,1,0.635212,0.225059,[14 34] ; [ 7 13],[14.82352941 33.17647059] ; [ 6.17647059 13.82352941],0
s6,1,0.653296,0.20177,[21 29] ; [ 8 14],[20.13888889 29.86111111] ; [ 8.86111111 13.13888889],0
p2,1,0.704424,0.143911,[30 19] ; [13 10],[29.26388889 19.73611111] ; [13.73611111  9.26388889],0
n2,1,0.74114,0.109127,[11  7] ; [10  5],[11.45454545  6.54545455] ; [9.54545455 5.45454545],0
