Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,2e-06,22.528675,[22 27] ; [115  28],[34.96354167 14.03645833] ; [102.03645833  40.96354167],1
a6,1,7e-06,20.07411,[19 30] ; [106  37],[31.90104167 17.09895833] ; [93.09895833 49.90104167],1
p2,1,0.000147,14.415611,[27 22] ; [116  25],[36.87894737 12.12105263] ; [106.12105263  34.87894737],1
n6,1,0.004001,8.283418,[21 28] ; [94 48],[29.5026178 19.4973822] ; [85.4973822 56.5026178],0
p9,1,0.004421,8.102079,[26 22] ; [107  34],[33.77777778 14.22222222] ; [99.22222222 41.77777778],0
n1,1,0.005316,7.768738,[8 6] ; [ 8 35],[ 3.92982456 10.07017544] ; [12.07017544 30.92982456],0
u1,1,0.010312,6.580195,[ 1 48] ; [ 23 120],[ 6.125 42.875] ; [ 17.875 125.125],0
d5,1,0.016724,5.725074,[32 17] ; [117  26],[38.02604167 10.97395833] ; [110.97395833  32.02604167],0
a2,1,0.017363,5.659258,[ 3 46] ; [ 30 113],[ 8.421875 40.578125] ; [ 24.578125 118.421875],0
d1,1,0.018901,5.510641,[20 29] ; [86 57],[27.05208333 21.94791667] ; [78.94791667 64.05208333],0
v4,1,0.046832,3.951431,[41  7] ; [134   8],[44.21052632  3.78947368] ; [130.78947368  11.21052632],0
d4,1,0.047669,3.921615,[37 12] ; [125  18],[41.34375  7.65625] ; [120.65625  22.34375],0
p10,1,0.053347,3.733027,[26 22] ; [98 43],[31.49206349 16.50793651] ; [92.50793651 48.49206349],0
a4,1,0.070826,3.263784,[25 24] ; [52 91],[19.65104167 29.34895833] ; [57.34895833 85.65104167],0
r2,1,0.124541,2.359263,[44  5] ; [135   6],[46.16315789  2.83684211] ; [132.83684211   8.16315789],0
b1,1,0.147466,2.098265,[21 28] ; [45 98],[16.84375 32.15625] ; [49.15625 93.84375],0
p8,1,0.151139,2.06072,[16 33] ; [63 79],[20.26701571 28.73298429] ; [58.73298429 83.26701571],0
