Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,2.1e-05,18.137499,[19 44] ; [25  8],[28.875 34.125] ; [15.125 17.875],1
s8,1,0.00112,10.617418,[11 53] ; [16 17],[17.81443299 46.18556701] ; [ 9.18556701 23.81443299],0
p1,1,0.001371,10.245058,[ 3 61] ; [ 9 24],[ 7.91752577 56.08247423] ; [ 4.08247423 28.91752577],0
d4,1,0.001619,9.93813,[29 35] ; [26  7],[36.28865979 27.71134021] ; [18.71134021 14.28865979],0
a5,1,0.002646,9.037073,[24 40] ; [23 10],[31.01030928 32.98969072] ; [15.98969072 17.01030928],0
p7,1,0.003262,8.65473,[24 39] ; [23 10],[30.84375 32.15625] ; [16.15625 16.84375],0
v1,1,0.004184,8.201999,[14 48] ; [17 16],[20.23157895 41.76842105] ; [10.76842105 22.23157895],0
s6,1,0.004488,8.075001,[22 41] ; [21 11],[28.51578947 34.48421053] ; [14.48421053 17.51578947],0
s2,1,0.004667,8.003973,[18 46] ; [19 14],[24.41237113 39.58762887] ; [12.58762887 20.41237113],0
s7,1,0.005927,7.572403,[15 46] ; [17 15],[20.98924731 40.01075269] ; [11.01075269 20.98924731],0
p6,1,0.012166,6.286452,[11 49] ; [14 19],[16.12903226 43.87096774] ; [ 8.87096774 24.12903226],0
a4,1,0.026532,4.921026,[18 45] ; [17 16],[22.96875 40.03125] ; [12.03125 20.96875],0
s3,1,0.026877,4.898726,[22 40] ; [19 13],[27.04255319 34.95744681] ; [13.95744681 18.04255319],0
v3,1,0.028738,4.783253,[10 54] ; [11 20],[14.14736842 49.85263158] ; [ 6.85263158 24.14736842],0
r3,1,0.045349,4.005605,[42 22] ; [28  5],[46.18556701 17.81443299] ; [23.81443299  9.18556701],0
s5,1,0.055392,3.670254,[10 53] ; [10 20],[13.5483871 49.4516129] ; [ 6.4516129 23.5483871],0
p8,1,0.059678,3.546299,[18 44] ; [16 17],[22.18947368 39.81052632] ; [11.81052632 21.18947368],0
d1,1,0.060805,3.515283,[17 47] ; [15 18],[21.11340206 42.88659794] ; [10.88659794 22.11340206],0
r4,1,0.082704,3.010945,[25 39] ; [19 14],[29.03092784 34.96907216] ; [14.96907216 18.03092784],0
d5,1,0.087529,2.919246,[31 33] ; [22 11],[34.96907216 29.03092784] ; [18.03092784 14.96907216],0
p10,1,0.102266,2.669843,[31 32] ; [22 11],[34.78125 28.21875] ; [18.21875 14.78125],0
s4,1,0.11283,2.514124,[ 9 55] ; [ 9 24],[11.87628866 52.12371134] ; [ 6.12371134 26.87628866],0
p2,1,0.13412,2.244156,[36 27] ; [24  9],[39.375 23.625] ; [20.625 12.375],0
n1,1,0.173101,1.855884,[11 20] ; [7 5],[12.97674419 18.02325581] ; [5.02325581 6.97674419],0
s1,1,0.225368,1.46986,[ 1 63] ; [ 2 31],[ 1.97938144 62.02061856] ; [ 1.02061856 31.97938144],0
a3,1,0.287746,1.130136,[31 32] ; [20 13],[33.46875 29.53125] ; [17.53125 15.46875],0
p9,1,0.307572,1.041071,[40 21] ; [25  8],[42.18085106 18.81914894] ; [22.81914894 10.18085106],0
b5,1,0.317947,0.997372,[30 34] ; [19 14],[32.32989691 31.67010309] ; [16.67010309 16.32989691],0
p5,1,0.319293,0.991839,[ 4 60] ; [ 4 29],[ 5.27835052 58.72164948] ; [ 2.72164948 30.27835052],0
n3,1,0.337276,0.920759,[19 13] ; [9 3],[20.36363636 11.63636364] ; [7.63636364 4.36363636],0
n6,1,0.382389,0.763006,[43 21] ; [25  8],[44.86597938 19.13402062] ; [23.13402062  9.86597938],0
n5,1,0.385612,0.752734,[48 16] ; [22 11],[46.18556701 17.81443299] ; [23.81443299  9.18556701],0
p11,1,0.397344,0.71635,[37 27] ; [22 11],[38.92783505 25.07216495] ; [20.07216495 12.92783505],0
d2,1,0.418067,0.655742,[26 37] ; [16 16],[27.85263158 35.14736842] ; [14.14736842 17.85263158],0
d3,1,0.422504,0.64334,[20 44] ; [13 20],[21.77319588 42.22680412] ; [11.22680412 21.77319588],0
u3,1,0.457726,0.551449,[ 9 24] ; [5 8],[10.04347826 22.95652174] ; [3.95652174 9.04347826],0
r2,1,0.510034,0.433998,[43 19] ; [25  8],[44.37894737 17.62105263] ; [23.62105263  9.37894737],0
n2,1,0.552098,0.353571,[21 11] ; [9 3],[21.81818182 10.18181818] ; [8.18181818 3.81818182],0
b2,1,0.573674,0.316574,[12 25] ; [ 7 20],[10.984375 26.015625] ; [ 8.015625 18.984375],0
b3,1,0.573674,0.316574,[12 25] ; [ 7 20],[10.984375 26.015625] ; [ 8.015625 18.984375],0
a1,1,0.573974,0.316078,[ 6 58] ; [ 2 31],[ 5.27835052 58.72164948] ; [ 2.72164948 30.27835052],0
n4,1,0.685589,0.163902,[40 24] ; [22 11],[40.90721649 23.09278351] ; [21.09278351 11.90721649],0
v2,1,0.768513,0.086624,[21 40] ; [12 20],[21.64516129 39.35483871] ; [11.35483871 20.64516129],0
a6,1,0.855632,0.033101,[24 40] ; [13 20],[24.41237113 39.58762887] ; [12.58762887 20.41237113],0
b1,1,0.88042,0.022631,[34 30] ; [17 16],[33.64948454 30.35051546] ; [17.35051546 15.64948454],0
b4,1,0.88042,0.022631,[34 30] ; [17 16],[33.64948454 30.35051546] ; [17.35051546 15.64948454],0
u2,1,0.894407,0.017617,[12 21] ; [5 8],[12.19565217 20.80434783] ; [4.80434783 8.19565217],0
v4,1,0.901264,0.015392,[47 16] ; [25  8],[47.25 15.75] ; [24.75  8.25],0
a2,1,0.970735,0.001346,[ 4 60] ; [ 2 31],[ 3.95876289 60.04123711] ; [ 2.04123711 30.95876289],0
u1,1,0.979637,0.000651,[ 2 62] ; [ 1 32],[ 1.97938144 62.02061856] ; [ 1.02061856 31.97938144],0
p12,1,0.979637,0.000651,[ 2 62] ; [ 1 32],[ 1.97938144 62.02061856] ; [ 1.02061856 31.97938144],0
a8,1,0.984506,0.000377,[ 4 57] ; [ 2 29],[ 3.97826087 57.02173913] ; [ 2.02173913 28.97826087],0
