Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,5.6e-05,16.24396,[58  8] ; [12 13],[50.76923077 15.23076923] ; [19.23076923  5.76923077],1
p8,1,0.00114,10.584346,[30 36] ; [ 2 22],[23.46666667 42.53333333] ; [ 8.53333333 15.46666667],0
n6,1,0.001315,10.321636,[50 16] ; [10 15],[43.51648352 22.48351648] ; [16.48351648  8.51648352],0
p11,1,0.002361,9.245118,[51 15] ; [11 14],[44.96703297 21.03296703] ; [17.03296703  7.96703297],0
p6,1,0.003606,8.472366,[23 43] ; [ 1 23],[17.6 48.4] ; [ 6.4 17.6],0
v4,1,0.003687,8.432086,[59  5] ; [17  8],[54.65168539  9.34831461] ; [21.34831461  3.65168539],0
v3,1,0.006132,7.511159,[25 38] ; [ 2 21],[19.77906977 43.22093023] ; [ 7.22093023 15.77906977],0
r3,1,0.021392,5.294545,[60  6] ; [18  7],[56.57142857  9.42857143] ; [21.42857143  3.57142857],0
s1,1,0.027708,4.846154,[ 2 63] ; [ 4 21],[ 4.33333333 60.66666667] ; [ 1.66666667 23.33333333],0
v2,1,0.032643,4.564395,[33 29] ; [ 7 18],[28.50574713 33.49425287] ; [11.49425287 13.50574713],0
p7,1,0.036721,4.363287,[43 22] ; [10 14],[38.70786517 26.29213483] ; [14.29213483  9.70786517],0
n1,1,0.040524,4.195804,[3 8] ; [9 4],[5.5 5.5] ; [6.5 6.5],0
p9,1,0.042094,4.131425,[49 17] ; [13 12],[44.96703297 21.03296703] ; [17.03296703  7.96703297],0
p4,1,0.059755,3.544165,[34 32] ; [ 7 17],[30.06666667 35.93333333] ; [10.93333333 13.06666667],0
r2,1,0.060892,3.512928,[62  3] ; [20  4],[59.88764045  5.11235955] ; [22.11235955  1.88764045],0
b1,1,0.135282,2.230823,[23 43] ; [13 12],[26.10989011 39.89010989] ; [ 9.89010989 15.10989011],0
n4,1,0.137469,2.206061,[50 16] ; [15 10],[47.14285714 18.85714286] ; [17.85714286  7.14285714],0
n3,1,0.143687,2.138024,[11  2] ; [7 5],[9.36 3.64] ; [8.64 3.36],0
p3,1,0.149011,2.082342,[30 35] ; [ 7 17],[27.02247191 37.97752809] ; [ 9.97752809 14.02247191],0
a4,1,0.151789,2.054178,[21 45] ; [12 13],[23.93406593 42.06593407] ; [ 9.06593407 15.93406593],0
u1,1,0.189521,1.72134,[ 9 57] ; [ 1 24],[ 7.25274725 58.74725275] ; [ 2.74725275 22.25274725],0
a2,1,0.189521,1.72134,[ 9 57] ; [ 1 24],[ 7.25274725 58.74725275] ; [ 2.74725275 22.25274725],0
a1,1,0.200868,1.636053,[ 3 63] ; [ 3 22],[ 4.35164835 61.64835165] ; [ 1.64835165 23.35164835],0
p10,1,0.240308,1.378788,[48 18] ; [15 10],[45.69230769 20.30769231] ; [17.30769231  7.69230769],0
b4,1,0.246216,1.344646,[38 28] ; [11 14],[35.53846154 30.46153846] ; [13.46153846 11.53846154],0
u3,1,0.252595,1.308892,[ 9 14] ; [5 3],[10.38709677 12.61290323] ; [3.61290323 4.38709677],0
p1,1,0.301935,1.065629,[ 2 64] ; [ 2 23],[ 2.9010989 63.0989011] ; [ 1.0989011 23.9010989],0
r1,1,0.305551,1.049811,[47 19] ; [15 10],[44.96703297 21.03296703] ; [17.03296703  7.96703297],0
b3,1,0.321593,0.982456,[18 20] ; [ 6 12],[16.28571429 21.71428571] ; [ 7.71428571 10.28571429],0
b2,1,0.321593,0.982456,[18 20] ; [ 6 12],[16.28571429 21.71428571] ; [ 7.71428571 10.28571429],0
s8,1,0.325683,0.965987,[20 46] ; [ 5 20],[18.13186813 47.86813187] ; [ 6.86813187 18.13186813],0
u2,1,0.353755,0.859941,[10 13] ; [5 3],[11.12903226 11.87096774] ; [3.87096774 4.12903226],0
d4,1,0.375096,0.786713,[46 19] ; [20  5],[47.66666667 17.33333333] ; [18.33333333  6.66666667],0
d2,1,0.412491,0.671611,[28 38] ; [13 12],[29.73626374 36.26373626] ; [11.26373626 13.73626374],0
d5,1,0.420517,0.64887,[43 23] ; [14 11],[41.34065934 24.65934066] ; [15.65934066  9.34065934],0
a7,1,0.420517,0.64887,[43 23] ; [14 11],[41.34065934 24.65934066] ; [15.65934066  9.34065934],0
n2,1,0.472607,0.515873,[10  2] ; [10  4],[9.23076923 2.76923077] ; [10.76923077  3.23076923],0
s2,1,0.522139,0.409667,[34 32] ; [11 14],[32.63736264 33.36263736] ; [12.36263736 12.63736264],0
d3,1,0.552161,0.35346,[44 22] ; [15 10],[42.79120879 23.20879121] ; [16.20879121  8.79120879],0
a6,1,0.593999,0.284142,[41 25] ; [14 11],[39.89010989 26.10989011] ; [15.10989011  9.89010989],0
v1,1,0.607474,0.263869,[29 34] ; [10 15],[27.92045455 35.07954545] ; [11.07954545 13.92045455],0
n5,1,0.613102,0.255682,[43 23] ; [17  7],[44. 22.] ; [16.  8.],0
s7,1,0.628376,0.234269,[22 39] ; [ 7 16],[21.05952381 39.94047619] ; [ 7.94047619 15.05952381],0
p5,1,0.734486,0.115033,[ 2 64] ; [ 1 21],[ 2.25 63.75] ; [ 0.75 21.25],0
a8,1,0.747525,0.103623,[ 6 56] ; [ 3 22],[ 6.4137931 55.5862069] ; [ 2.5862069 22.4137931],0
s4,1,0.849477,0.036019,[ 7 59] ; [ 3 22],[ 7.25274725 58.74725275] ; [ 2.74725275 22.25274725],0
s5,1,0.862473,0.030008,[ 9 53] ; [ 3 20],[ 8.75294118 53.24705882] ; [ 3.24705882 19.75294118],0
b5,1,0.864746,0.029014,[33 33] ; [12 13],[32.63736264 33.36263736] ; [12.36263736 12.63736264],0
a3,1,0.867834,0.027692,[43 22] ; [17  8],[43.33333333 21.66666667] ; [16.66666667  8.33333333],0
a5,1,0.918208,0.010545,[43 23] ; [16  9],[42.79120879 23.20879121] ; [16.20879121  8.79120879],0
d1,1,0.967046,0.001707,[32 34] ; [12 13],[31.91208791 34.08791209] ; [12.08791209 12.91208791],0
