Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,1e-06,25.205341,[102  11] ; [28 22],[90.12269939 22.87730061] ; [39.87730061 10.12269939],1
p9,1,1e-06,24.920732,[92 20] ; [20 27],[78.89308176 33.10691824] ; [33.10691824 13.89308176],1
p10,1,5e-06,20.766567,[82 28] ; [18 31],[69.18238994 40.81761006] ; [30.81761006 18.18238994],1
r4,1,0.000111,14.933706,[91 23] ; [25 25],[80.63414634 33.36585366] ; [35.36585366 14.63414634],1
p2,1,0.000337,12.849956,[86 25] ; [24 25],[76.3125 34.6875] ; [33.6875 15.3125],1
v1,1,0.000896,11.03144,[51 60] ; [ 9 40],[41.625 69.375] ; [18.375 30.625],1
n3,1,0.001467,10.119865,[26  4] ; [10 12],[20.76923077  9.23076923] ; [15.23076923  6.76923077],0
p8,1,0.002605,9.065392,[53 58] ; [11 38],[44.4 66.6] ; [19.6 29.4],0
n6,1,0.004095,8.241238,[90 23] ; [29 21],[82.49693252 30.50306748] ; [36.50306748 13.49693252],0
r1,1,0.00938,6.748998,[79 35] ; [24 26],[71.59756098 42.40243902] ; [31.40243902 18.59756098],0
p4,1,0.011466,6.391611,[54 57] ; [13 35],[46.77358491 64.22641509] ; [20.22641509 27.77358491],0
a5,1,0.012333,6.262408,[74 40] ; [22 28],[66.73170732 47.26829268] ; [29.26829268 20.73170732],0
v4,1,0.012347,6.260279,[99 14] ; [35 14],[93.4691358 19.5308642] ; [40.5308642  8.4691358],0
p3,1,0.014959,5.921263,[48 65] ; [11 38],[41.15432099 71.84567901] ; [17.84567901 31.15432099],0
u2,1,0.023746,5.113077,[24 21] ; [ 6 18],[19.56521739 25.43478261] ; [10.43478261 13.56521739],0
s6,1,0.027948,4.831293,[47 63] ; [12 37],[40.81761006 69.18238994] ; [18.18238994 30.81761006],0
r2,1,0.032509,4.571429,[99 13] ; [36 12],[94.5 17.5] ; [40.5  7.5],0
s8,1,0.044408,4.040969,[27 86] ; [ 5 44],[22.32098765 90.67901235] ; [ 9.67901235 39.32098765],0
v2,1,0.049357,3.863176,[48 62] ; [13 35],[42.46835443 67.53164557] ; [18.53164557 29.46835443],0
a1,1,0.049851,3.846455,[  2 112] ; [ 4 46],[  4.17073171 109.82926829] ; [ 1.82926829 48.17073171],0
p7,1,0.072428,3.227115,[64 48] ; [20 28],[58.8 53.2] ; [25.2 22.8],0
d5,1,0.094646,2.793522,[75 39] ; [26 24],[70.20731707 43.79268293] ; [30.79268293 19.20731707],0
p5,1,0.103535,2.650228,[14 99] ; [ 2 47],[ 11.16049383 101.83950617] ; [ 4.83950617 44.16049383],0
b1,1,0.117746,2.447053,[51 63] ; [29 21],[55.6097561 58.3902439] ; [24.3902439 25.6097561],0
p1,1,0.126394,2.336242,[ 13 100] ; [ 2 48],[ 10.39877301 102.60122699] ; [ 4.60122699 45.39877301],0
d3,1,0.130611,2.285229,[46 68] ; [14 36],[41.70731707 72.29268293] ; [18.29268293 31.70731707],0
s5,1,0.215406,1.534716,[28 81] ; [ 8 40],[24.99363057 84.00636943] ; [11.00636943 36.99363057],0
u3,1,0.237112,1.397684,[18 28] ; [ 6 18],[15.77142857 30.22857143] ; [ 8.22857143 15.77142857],0
d1,1,0.26335,1.251061,[47 67] ; [16 34],[43.79268293 70.20731707] ; [19.20731707 30.79268293],0
a4,1,0.264807,1.243453,[45 68] ; [15 34],[41.85185185 71.14814815] ; [18.14814815 30.85185185],0
n2,1,0.289519,1.121859,[23  9] ; [14 10],[21.14285714 10.85714286] ; [15.85714286  8.14285714],0
n5,1,0.290471,1.117437,[83 29] ; [33 17],[80.19753086 31.80246914] ; [35.80246914 14.19753086],0
n4,1,0.332824,0.93788,[83 30] ; [33 17],[80.41717791 32.58282209] ; [35.58282209 14.41717791],0
s7,1,0.351949,0.866418,[29 80] ; [ 9 37],[26.72258065 82.27741935] ; [11.27741935 34.72258065],0
p12,1,0.432134,0.61708,[  5 105] ; [ 1 49],[  4.125 105.875] ; [ 1.875 48.125],0
a3,1,0.435065,0.609264,[68 46] ; [26 23],[65.74233129 48.25766871] ; [28.25766871 20.74233129],0
u1,1,0.467493,0.527896,[  4 110] ; [ 3 47],[  4.86585366 109.13414634] ; [ 2.13414634 47.86585366],0
b4,1,0.499922,0.455101,[68 46] ; [27 23],[66.03658537 47.96341463] ; [28.96341463 21.03658537],0
d4,1,0.504084,0.446327,[76 38] ; [30 19],[74.13496933 39.86503067] ; [31.86503067 17.13496933],0
a6,1,0.573021,0.317655,[51 63] ; [20 30],[49.35365854 64.64634146] ; [21.64634146 28.35365854],0
s3,1,0.668599,0.183245,[29 83] ; [14 34],[30.1 81.9] ; [12.9 35.1],0
p6,1,0.711186,0.137095,[28 81] ; [11 37],[27.07643312 81.92356688] ; [11.92356688 36.07643312],0
b5,1,0.734425,0.115088,[56 58] ; [26 24],[57. 57.] ; [25. 25.],0
s4,1,0.777142,0.080115,[14 99] ; [ 7 43],[14.55828221 98.44171779] ; [ 6.44171779 43.55828221],0
d2,1,0.814173,0.055247,[53 60] ; [22 27],[52.31481481 60.68518519] ; [22.68518519 26.31481481],0
v3,1,0.874627,0.024896,[30 81] ; [13 33],[30.40127389 80.59872611] ; [12.59872611 33.40127389],0
s1,1,0.893857,0.017802,[  4 108] ; [ 2 48],[  4.14814815 107.85185185] ; [ 1.85185185 48.14814815],0
n1,1,0.935064,0.006638,[11 21] ; [ 8 16],[10.85714286 21.14285714] ; [ 8.14285714 15.85714286],0
b2,1,0.955386,0.00313,[30 39] ; [12 16],[29.87628866 39.12371134] ; [12.12371134 15.87628866],0
