Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,0.000445,12.332316,[ 4 42] ; [15 21],[10.65853659 35.34146341] ; [ 8.34146341 27.65853659],1
p8,1,0.007928,7.049602,[ 4 43] ; [11 24],[ 8.59756098 38.40243902] ; [ 6.40243902 28.59756098],0
a8,1,0.014298,6.00099,[ 3 44] ; [ 9 26],[ 6.87804878 40.12195122] ; [ 5.12195122 29.87804878],0
n5,1,0.025941,4.959975,[27 20] ; [29  7],[31.71084337 15.28915663] ; [24.28915663 11.71084337],0
a4,1,0.039265,4.249364,[29 18] ; [14 22],[24.34939759 22.65060241] ; [18.65060241 17.34939759],0
a2,1,0.043586,4.072523,[12 35] ; [ 3 33],[ 8.4939759 38.5060241] ; [ 6.5060241 29.4939759],0
d3,1,0.050201,3.834716,[31 16] ; [15 19],[26.69135802 20.30864198] ; [19.30864198 14.69135802],0
d4,1,0.062137,3.479394,[40  7] ; [23 11],[36.55555556 10.44444444] ; [26.44444444  7.55555556],0
a5,1,0.075443,3.160432,[36 11] ; [21 15],[32.27710843 14.72289157] ; [24.72289157 11.27710843],0
d1,1,0.078257,3.100744,[30 17] ; [16 20],[26.04819277 20.95180723] ; [19.95180723 16.04819277],0
b5,1,0.114636,2.489114,[26 21] ; [26 10],[29.44578313 17.55421687] ; [22.55421687 13.44578313],0
d2,1,0.116892,2.458479,[29 18] ; [15 19],[25.5308642 21.4691358] ; [18.4691358 15.5308642],0
n2,1,0.132529,2.262626,[14  7] ; [10  1],[15.75  5.25] ; [8.25 2.75],0
n3,1,0.180408,1.794258,[11  8] ; [9 2],[12.66666667  6.33333333] ; [7.33333333 3.66666667],0
b1,1,0.195705,1.674138,[22 25] ; [22 14],[24.91566265 22.08433735] ; [19.08433735 16.91566265],0
v2,1,0.215639,1.533157,[21 22] ; [22 13],[23.70512821 19.29487179] ; [19.29487179 15.70512821],0
p5,1,0.23543,1.407754,[ 2 42] ; [ 4 30],[ 3.38461538 40.61538462] ; [ 2.61538462 31.38461538],0
r3,1,0.269975,1.216875,[41  6] ; [34  2],[42.46987952  4.53012048] ; [32.53012048  3.46987952],0
u1,1,0.318027,0.997044,[ 9 38] ; [ 4 32],[ 7.36144578 39.63855422] ; [ 5.63855422 30.36144578],0
p9,1,0.342782,0.9,[28 17] ; [26 10],[30. 15.] ; [24. 12.],0
b4,1,0.361423,0.832944,[24 23] ; [22 14],[26.04819277 20.95180723] ; [19.95180723 16.04819277],0
n1,1,0.373156,0.793129,[14  7] ; [5 5],[12.87096774  8.12903226] ; [6.12903226 3.87096774],0
a7,1,0.392402,0.731487,[27 20] ; [24 12],[28.87951807 18.12048193] ; [22.12048193 13.87951807],0
b2,1,0.407472,0.686165,[12 18] ; [ 7 17],[10.55555556 19.44444444] ; [ 8.44444444 15.55555556],0
b3,1,0.407472,0.686165,[12 18] ; [ 7 17],[10.55555556 19.44444444] ; [ 8.44444444 15.55555556],0
r2,1,0.407957,0.684746,[43  4] ; [30  5],[41.84146341  5.15853659] ; [31.15853659  3.84146341],0
