Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b4,1,0.00225,9.333333,[10  4] ; [ 2 12],[6. 8.] ; [6. 8.],0
s2,1,0.006459,7.417582,[ 1 12] ; [8 6],[4.33333333 8.66666667] ; [4.66666667 9.33333333],0
s4,1,0.012074,6.3,[ 1 13] ; [7 7],[ 4. 10.] ; [ 4. 10.],0
b5,1,0.021947,5.25,[11  3] ; [5 9],[8. 6.] ; [8. 6.],0
v1,1,0.053019,3.743316,[ 3 11] ; [8 6],[5.5 8.5] ; [5.5 8.5],0
p6,1,0.053019,3.743316,[ 3 11] ; [8 6],[5.5 8.5] ; [5.5 8.5],0
u3,1,0.057224,3.616071,[1 6] ; [5 3],[2.8 4.2] ; [3.2 4.8],0
s5,1,0.065436,3.393939,[ 1 13] ; [5 9],[ 3. 11.] ; [ 3. 11.],0
a7,1,0.13057,2.285714,[9 5] ; [5 9],[7. 7.] ; [7. 7.],0
n1,1,0.133614,2.25,[1 5] ; [2 1],[2. 4.] ; [1. 2.],0
n3,1,0.133614,2.25,[5 1] ; [1 2],[4. 2.] ; [2. 1.],0
s7,1,0.161178,1.963141,[ 3 10] ; [6 6],[4.68 8.32] ; [4.32 7.68],0
a8,1,0.208359,1.582792,[3 9] ; [ 1 13],[ 1.84615385 10.15384615] ; [ 2.15384615 11.84615385],0
v3,1,0.224765,1.473684,[ 3 11] ; [6 8],[4.5 9.5] ; [4.5 9.5],0
a5,1,0.245699,1.347594,[7 7] ; [10  4],[8.5 5.5] ; [8.5 5.5],0
d3,1,0.255623,1.292308,[9 5] ; [6 8],[7.5 6.5] ; [7.5 6.5],0
s3,1,0.275973,1.186813,[ 3 10] ; [6 8],[4.33333333 8.66666667] ; [4.66666667 9.33333333],0
r3,1,0.280087,1.166667,[13  1] ; [11  3],[12.  2.] ; [12.  2.],0
p10,1,0.303294,1.059655,[9 4] ; [12  2],[10.11111111  2.88888889] ; [10.88888889  3.11111111],0
p5,1,0.356981,0.848485,[ 2 12] ; [ 4 10],[ 3. 11.] ; [ 3. 11.],0
a4,1,0.402784,0.7,[ 3 11] ; [5 9],[ 4. 10.] ; [ 4. 10.],0
n5,1,0.430223,0.622222,[8 6] ; [10  4],[9. 5.] ; [9. 5.],0
r1,1,0.445009,0.583333,[7 7] ; [5 9],[6. 8.] ; [6. 8.],0
d5,1,0.445009,0.583333,[7 7] ; [9 5],[8. 6.] ; [8. 6.],0
r4,1,0.445009,0.583333,[7 7] ; [5 9],[6. 8.] ; [6. 8.],0
b2,1,0.474549,0.511364,[1 5] ; [3 6],[1.6 4.4] ; [2.4 6.6],0
b3,1,0.474549,0.511364,[1 5] ; [3 6],[1.6 4.4] ; [2.4 6.6],0
v2,1,0.567996,0.326048,[6 8] ; [7 6],[6.74074074 7.25925926] ; [6.25925926 6.74074074],0
p2,1,0.621705,0.243478,[12  2] ; [11  3],[11.5  2.5] ; [11.5  2.5],0
p12,1,0.621705,0.243478,[ 2 12] ; [ 3 11],[ 2.5 11.5] ; [ 2.5 11.5],0
d1,1,0.662521,0.190476,[ 3 11] ; [ 4 10],[ 3.5 10.5] ; [ 3.5 10.5],0
b1,1,0.685734,0.163743,[10  4] ; [9 5],[9.5 4.5] ; [9.5 4.5],0
d4,1,0.685734,0.163743,[9 5] ; [10  4],[9.5 4.5] ; [9.5 4.5],0
d2,1,0.685734,0.163743,[ 4 10] ; [5 9],[4.5 9.5] ; [4.5 9.5],0
s8,1,0.698791,0.149733,[6 8] ; [5 9],[5.5 8.5] ; [5.5 8.5],0
n4,1,0.704738,0.14359,[7 7] ; [8 6],[7.5 6.5] ; [7.5 6.5],0
s6,1,0.704738,0.14359,[7 7] ; [8 6],[7.5 6.5] ; [7.5 6.5],0
a3,1,0.704738,0.14359,[7 7] ; [6 8],[6.5 7.5] ; [6.5 7.5],0
u2,1,0.875996,0.024351,[5 2] ; [6 2],[5.13333333 1.86666667] ; [5.86666667 2.13333333],0
p9,1,0.918011,0.010597,[10  3] ; [11  3],[10.11111111  2.88888889] ; [10.88888889  3.11111111],0
s1,1,1.0,0.0,[ 1 13] ; [ 1 13],[ 1. 13.] ; [ 1. 13.],0
n6,1,1.0,0.0,[9 5] ; [9 5],[9. 5.] ; [9. 5.],0
a6,1,1.0,0.0,[8 6] ; [8 6],[8. 6.] ; [8. 6.],0
a2,1,1.0,0.0,[ 1 13] ; [ 1 13],[ 1. 13.] ; [ 1. 13.],0
a1,1,1.0,0.0,[ 1 13] ; [ 1 13],[ 1. 13.] ; [ 1. 13.],0
p11,1,1.0,0.0,[12  2] ; [12  2],[12.  2.] ; [12.  2.],0
v4,1,1.0,0.0,[10  4] ; [10  4],[10.  4.] ; [10.  4.],0
