Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,4.3e-05,16.724402,[20  3] ; [45 67],[11.07407407 11.92592593] ; [53.92592593 58.07407407],1
p4,1,0.001264,10.394501,[16  8] ; [36 78],[ 9.04347826 14.95652174] ; [42.95652174 71.04347826],0
p8,1,0.003223,8.676585,[15  9] ; [35 79],[ 8.69565217 15.30434783] ; [41.30434783 72.69565217],0
p2,1,0.006865,7.308024,[21  3] ; [67 48],[15.1942446  8.8057554] ; [72.8057554 42.1942446],0
b5,1,0.009491,6.728094,[20  4] ; [63 52],[14.33093525  9.66906475] ; [68.66906475 46.33093525],0
s8,1,0.012228,6.27748,[10 14] ; [21 94],[ 5.35251799 18.64748201] ; [25.64748201 89.35251799],0
s4,1,0.013645,6.083443,[ 6 18] ; [  9 106],[ 2.58992806 21.41007194] ; [ 12.41007194 102.58992806],0
b1,1,0.022973,5.170573,[18  6] ; [57 58],[12.94964029 11.05035971] ; [62.05035971 52.94964029],0
s2,1,0.026319,4.934922,[12 12] ; [31 84],[ 7.42446043 16.57553957] ; [35.57553957 79.42446043],0
s6,1,0.03875,4.271815,[14 10] ; [41 74],[ 9.49640288 14.50359712] ; [45.50359712 69.49640288],0
a5,1,0.047524,3.926744,[10 14] ; [73 42],[14.33093525  9.66906475] ; [68.66906475 46.33093525],0
a3,1,0.096787,2.75771,[11 13] ; [73 41],[14.60869565  9.39130435] ; [69.39130435 44.60869565],0
n5,1,0.099099,2.719976,[14  9] ; [48 66],[10.40875912 12.59124088] ; [51.59124088 62.40875912],0
p11,1,0.11017,2.551786,[17  7] ; [61 54],[13.4676259 10.5323741] ; [64.5323741 50.4676259],0
p3,1,0.125161,2.351513,[10 14] ; [30 85],[ 6.90647482 17.09352518] ; [33.09352518 81.90647482],0
p10,1,0.13709,2.210327,[16  8] ; [57 57],[12.69565217 11.30434783] ; [60.30434783 53.69565217],0
