Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,93.329411,[ 5 55] ; [259  95],[38.26086957 21.73913043] ; [225.73913043 128.26086957],1
d5,1,0.0,42.956109,[33 27] ; [314  40],[50.28985507  9.71014493] ; [296.71014493  57.28985507],1
d3,1,0.0,41.77391,[22 38] ; [274  80],[42.89855072 17.10144928] ; [253.10144928 100.89855072],1
a3,1,1.2e-05,19.110537,[37 23] ; [300  52],[49.0776699 10.9223301] ; [287.9223301  64.0776699],1
d2,1,9.7e-05,15.202607,[19 41] ; [208 146],[32.89855072 27.10144928] ; [194.10144928 159.89855072],1
a4,1,0.000193,13.899804,[16 44] ; [186 167],[29.34624697 30.65375303] ; [172.65375303 180.34624697],1
u1,1,0.000544,11.958446,[ 4 56] ; [ 97 257],[14.63768116 45.36231884] ; [ 86.36231884 267.63768116],1
a2,1,0.002287,9.303608,[ 7 53] ; [109 245],[16.8115942 43.1884058] ; [ 99.1884058 254.8115942],0
b3,1,0.016467,5.752301,[11 31] ; [115 135],[18.12328767 23.87671233] ; [107.87671233 142.12328767],0
b2,1,0.016467,5.752301,[11 31] ; [115 135],[18.12328767 23.87671233] ; [107.87671233 142.12328767],0
a5,1,0.033042,4.543626,[41 19] ; [285  69],[47.24637681 12.75362319] ; [278.75362319  75.24637681],0
n4,1,0.033366,4.526921,[44 15] ; [302  51],[49.54854369  9.45145631] ; [296.45145631  56.54854369],0
v2,1,0.039899,4.222179,[29 30] ; [217 126],[36.10447761 22.89552239] ; [209.89552239 133.10447761],0
v3,1,0.060955,3.511199,[21 39] ; [163 176],[27.66917293 32.33082707] ; [156.33082707 182.66917293],0
p10,1,0.080455,3.055681,[55  4] ; [298  54],[50.67396594  8.32603406] ; [302.32603406  49.67396594],0
r1,1,0.081125,3.042213,[45 14] ; [301  52],[49.54854369  9.45145631] ; [296.45145631  56.54854369],0
p3,1,0.087743,2.915294,[28 31] ; [210 144],[34. 25.] ; [204. 150.],0
u3,1,0.088622,2.899223,[13 10] ; [41 13],[16.12987013  6.87012987] ; [37.87012987 16.12987013],0
b4,1,0.104492,2.635603,[28 32] ; [205 149],[33.76811594 26.23188406] ; [199.23188406 154.76811594],0
a1,1,0.124177,2.363828,[ 1 59] ; [ 24 330],[ 3.62318841 56.37681159] ; [ 21.37681159 332.62318841],0
u2,1,0.139965,2.178347,[12 11] ; [37 16],[14.82894737  8.17105263] ; [34.17105263 18.82894737],0
p11,1,0.149348,2.078897,[44 16] ; [288  66],[48.11594203 11.88405797] ; [283.88405797  70.11594203],0
s2,1,0.151089,2.061226,[39 21] ; [261  92],[43.58353511 16.41646489] ; [256.41646489  96.58353511],0
a7,1,0.164261,1.934556,[37 23] ; [250 104],[41.5942029 18.4057971] ; [245.4057971 108.5942029],0
p12,1,0.180807,1.790982,[ 3 57] ; [ 37 314],[ 5.83941606 54.16058394] ; [ 34.16058394 316.83941606],0
p1,1,0.183174,1.77168,[ 9 51] ; [ 33 319],[ 6.11650485 53.88349515] ; [ 35.88349515 316.11650485],0
p6,1,0.22181,1.492621,[23 37] ; [163 185],[27.35294118 32.64705882] ; [158.64705882 189.35294118],0
s3,1,0.244673,1.353468,[41 19] ; [264  86],[44.63414634 15.36585366] ; [260.36585366  89.63414634],0
n3,1,0.260028,1.26861,[14  3] ; [48 22],[12.11494253  4.88505747] ; [49.88505747 20.11494253],0
v1,1,0.318196,0.996348,[31 28] ; [204 139],[34.49004975 24.50995025] ; [200.50995025 142.49004975],0
p4,1,0.335373,0.92804,[37 23] ; [240 113],[40.24213075 19.75786925] ; [236.75786925 116.24213075],0
u4,1,0.339455,0.91249,[ 1 59] ; [ 15 339],[ 2.31884058 57.68115942] ; [ 13.68115942 340.31884058],0
n6,1,0.35202,0.866161,[51  9] ; [312  38],[53.12195122  6.87804878] ; [309.87804878  40.12195122],0
s5,1,0.424439,0.637992,[24 35] ; [156 181],[26.81818182 32.18181818] ; [153.18181818 183.81818182],0
s4,1,0.425224,0.635833,[15 45] ; [ 72 280],[12.66990291 47.33009709] ; [ 74.33009709 277.66990291],0
r4,1,0.467947,0.526819,[57  3] ; [327  27],[55.65217391  4.34782609] ; [328.34782609  25.65217391],0
n2,1,0.503203,0.448175,[14  3] ; [53 18],[12.94318182  4.05681818] ; [54.05681818 16.94318182],0
s8,1,0.616854,0.250314,[40 20] ; [246 106],[41.65048544 18.34951456] ; [244.34951456 107.65048544],0
n1,1,0.688396,0.160827,[7 9] ; [35 36],[7.72413793 8.27586207] ; [34.27586207 36.72413793],0
a8,1,0.722558,0.126055,[ 9 47] ; [ 57 259],[ 9.93548387 46.06451613] ; [ 56.06451613 259.93548387],0
s6,1,0.731882,0.11739,[48 10] ; [295  54],[48.87960688  9.12039312] ; [294.12039312  54.87960688],0
p2,1,0.776399,0.080664,[52  8] ; [301  52],[51.28329298  8.71670702] ; [301.71670702  51.28329298],0
s1,1,0.778395,0.079193,[ 3 56] ; [ 15 336],[ 2.5902439 56.4097561] ; [ 15.4097561 335.5902439],0
p9,1,0.800078,0.064134,[53  7] ; [313  37],[53.56097561  6.43902439] ; [312.43902439  37.56097561],0
a6,1,0.820104,0.051716,[40 20] ; [230 123],[39.2251816 20.7748184] ; [230.7748184 122.2251816],0
p5,1,0.881124,0.022364,[ 9 51] ; [ 55 294],[ 9.38875306 50.61124694] ; [ 54.61124694 294.38875306],0
b1,1,0.881355,0.022276,[24 36] ; [138 216],[23.47826087 36.52173913] ; [138.52173913 215.47826087],0
b5,1,0.889325,0.019365,[34 26] ; [204 150],[34.49275362 25.50724638] ; [203.50724638 150.49275362],0
p7,1,0.894371,0.017629,[42 18] ; [243 100],[42.43176179 17.56823821] ; [242.56823821 100.43176179],0
p8,1,0.89599,0.01709,[33 27] ; [194 153],[33.46437346 26.53562654] ; [193.53562654 153.46437346],0
r2,1,0.920316,0.010007,[57  2] ; [339  11],[57.12469438  1.87530562] ; [338.87530562  11.12469438],0
n5,1,0.976194,0.00089,[47 12] ; [281  71],[47.08515815 11.91484185] ; [280.91484185  71.08515815],0
v4,1,0.984837,0.000361,[56  2] ; [341  12],[56.0243309  1.9756691] ; [340.9756691  12.0243309],0
