Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,44.944406,[37 28] ; [325  38],[54.97663551 10.02336449] ; [307.02336449  55.97663551],1
p11,1,5e-06,20.806198,[41 25] ; [314  53],[54.1108545 11.8891455] ; [300.8891455  66.1108545],1
p4,1,1.5e-05,18.765697,[24 40] ; [241 124],[39.53379953 24.46620047] ; [225.46620047 139.53379953],1
p10,1,3e-05,17.43825,[42 24] ; [310  54],[54.02790698 11.97209302] ; [297.97209302  66.02790698],1
p7,1,4.7e-05,16.57936,[28 35] ; [255 106],[42.0495283 20.9504717] ; [240.9504717 120.0495283],1
v1,1,0.000303,13.052561,[30 35] ; [248 110],[42.71867612 22.28132388] ; [235.28132388 122.71867612],1
r4,1,0.000528,12.014625,[51 15] ; [336  31],[58.98845266  7.01154734] ; [328.01154734  38.98845266],1
p8,1,0.000781,11.286513,[24 42] ; [212 149],[36.47775176 29.52224824] ; [199.52224824 161.47775176],1
n6,1,0.001764,9.779797,[47 18] ; [317  46],[55.28037383  9.71962617] ; [308.71962617  54.28037383],0
v4,1,0.002051,9.503526,[57  9] ; [347  15],[62.29906542  3.70093458] ; [341.70093458  20.29906542],0
d3,1,0.004802,7.952467,[36 29] ; [267 100],[45.59027778 19.40972222] ; [257.40972222 109.59027778],0
p3,1,0.005834,7.600847,[24 40] ; [206 161],[34.15313225 29.84686775] ; [195.84686775 171.15313225],0
n3,1,0.007942,7.046481,[10  9] ; [59 13],[14.40659341  4.59340659] ; [54.59340659 17.40659341],0
r3,1,0.018892,5.511487,[61  5] ; [356   8],[64.00465116  1.99534884] ; [352.99534884  11.00465116],0
n4,1,0.021571,5.280081,[46 20] ; [300  66],[52.86111111 13.13888889] ; [293.13888889  72.86111111],0
p6,1,0.038905,4.265007,[17 47] ; [145 216],[24.39529412 39.60470588] ; [137.60470588 223.39529412],0
b1,1,0.0443,4.0451,[31 35] ; [125 242],[23.77829099 42.22170901] ; [132.22170901 234.77829099],0
p5,1,0.047705,3.920354,[ 3 63] ; [ 48 319],[ 7.77367206 58.22632794] ; [ 43.22632794 323.77367206],0
n5,1,0.048837,3.880954,[44 22] ; [282  80],[50.27102804 15.72897196] ; [275.72897196  86.27102804],0
r1,1,0.064461,3.418725,[50 16] ; [310  55],[55.12761021 10.87238979] ; [304.87238979  60.12761021],0
d5,1,0.067454,3.34391,[50 15] ; [315  52],[54.91898148 10.08101852] ; [310.08101852  56.91898148],0
a3,1,0.071193,3.255295,[44 22] ; [282  84],[49.80555556 16.19444444] ; [276.19444444  89.80555556],0
s8,1,0.088876,2.894613,[24 41] ; [176 188],[30.3030303 34.6969697] ; [169.6969697 194.3030303],0
a6,1,0.093366,2.815355,[40 25] ; [263 103],[45.69605568 19.30394432] ; [257.30394432 108.69605568],0
r2,1,0.101279,2.685291,[58  6] ; [344  16],[60.67924528  3.32075472] ; [341.32075472  18.67924528],0
a7,1,0.113725,2.501675,[44 22] ; [277  88],[49.15545244 16.84454756] ; [271.84454756  93.15545244],0
v3,1,0.119428,2.424803,[31 34] ; [208 150],[36.72576832 28.27423168] ; [202.27423168 155.72576832],0
s1,1,0.188064,1.732721,[ 3 62] ; [  7 355],[ 1.52224824 63.47775176] ; [  8.47775176 353.52224824],0
b5,1,0.200399,1.639467,[34 32] ; [220 147],[38.71593533 27.28406467] ; [215.28406467 151.71593533],0
s5,1,0.205276,1.60443,[17 49] ; [119 234],[21.42243437 44.57756563] ; [114.57756563 238.42243437],0
a1,1,0.209475,1.57505,[ 6 60] ; [ 19 348],[ 3.81062356 62.18937644] ; [ 21.18937644 345.81062356],0
a5,1,0.233696,1.418223,[48 18] ; [291  76],[51.67205543 14.32794457] ; [287.32794457  79.67205543],0
u4,1,0.260821,1.264393,[ 3 63] ; [  8 359],[ 1.67667436 64.32332564] ; [  9.32332564 357.67667436],0
a2,1,0.265519,1.239753,[13 53] ; [ 96 271],[16.61431871 49.38568129] ; [ 92.38568129 274.61431871],0
s7,1,0.274756,1.192847,[29 35] ; [183 164],[33.01216545 30.98783455] ; [178.98783455 168.01216545],0
u1,1,0.367828,0.81099,[10 56] ; [ 73 294],[12.65127021 53.34872979] ; [ 70.34872979 296.65127021],0
n1,1,0.379678,0.771745,[ 5 14] ; [26 44],[ 6.61797753 12.38202247] ; [24.38202247 45.61797753],0
d1,1,0.417873,0.656289,[39 27] ; [236 131],[41.91685912 24.08314088] ; [233.08314088 133.91685912],0
n2,1,0.424122,0.638864,[14  6] ; [55 15],[15.33333333  4.66666667] ; [53.66666667 16.33333333],0
p1,1,0.429633,0.623816,[ 4 62] ; [ 33 333],[ 5.65277778 60.34722222] ; [ 31.34722222 334.65277778],0
a4,1,0.530029,0.394337,[27 39] ; [165 201],[29.33333333 36.66666667] ; [162.66666667 203.33333333],0
d2,1,0.543486,0.369117,[31 34] ; [189 176],[33.25581395 31.74418605] ; [186.74418605 178.25581395],0
s6,1,0.610763,0.259065,[41 25] ; [236 125],[42.81498829 23.18501171] ; [234.18501171 126.81498829],0
a8,1,0.613317,0.255372,[ 8 52] ; [ 52 275],[ 9.30232558 50.69767442] ; [ 50.69767442 276.30232558],0
s3,1,0.645974,0.211014,[33 33] ; [190 168],[34.71226415 31.28773585] ; [188.28773585 169.71226415],0
d4,1,0.6525,0.202763,[54 11] ; [312  54],[55.19721578  9.80278422] ; [310.80278422  55.19721578],0
b2,1,0.742158,0.108239,[15 25] ; [ 95 141],[15.94202899 24.05797101] ; [ 94.05797101 141.94202899],0
b3,1,0.742158,0.108239,[15 25] ; [ 95 141],[15.94202899 24.05797101] ; [ 94.05797101 141.94202899],0
u3,1,0.749105,0.102284,[13  9] ; [47 38],[12.3364486  9.6635514] ; [47.6635514 37.3364486],0
p12,1,0.847488,0.036988,[ 7 59] ; [ 36 330],[ 6.56944444 59.43055556] ; [ 36.43055556 329.56944444],0
s2,1,0.901681,0.015262,[32 34] ; [179 184],[32.46153846 33.53846154] ; [178.53846154 184.46153846],0
b4,1,0.929303,0.007872,[39 27] ; [219 148],[39.3256351 26.6743649] ; [218.6743649 148.3256351],0
u2,1,0.965968,0.00182,[12  9] ; [47 36],[11.91346154  9.08653846] ; [47.08653846 35.91346154],0
