Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,0.005158,7.823142,[46 93] ; [10 58],[ 37.60386473 101.39613527] ; [18.39613527 49.60386473],0
a5,1,0.024355,5.069153,[107  34] ; [42 27],[100.04285714  40.95714286] ; [48.95714286 20.04285714],0
p4,1,0.061044,3.508793,[88 52] ; [34 35],[81.72248804 58.27751196] ; [40.27751196 28.72248804],0
r3,1,0.062506,3.469618,[130  11] ; [68  1],[132.94285714   8.05714286] ; [65.05714286  3.94285714],0
p9,1,0.08401,2.985567,[120  19] ; [53 16],[115.61057692  23.38942308] ; [57.38942308 11.61057692],0
p10,1,0.091634,2.845423,[114  23] ; [49 18],[109.46568627  27.53431373] ; [53.53431373 13.46568627],0
b4,1,0.136608,2.215756,[81 60] ; [47 22],[85.94285714 55.05714286] ; [42.05714286 26.94285714],0
p12,1,0.202184,1.626525,[ 13 126] ; [ 3 66],[ 10.69230769 128.30769231] ; [ 5.30769231 63.69230769],0
b1,1,0.21808,1.516958,[47 94] ; [29 40],[51.02857143 89.97142857] ; [24.97142857 44.02857143],0
d1,1,0.220284,1.502519,[74 67] ; [30 39],[69.82857143 71.17142857] ; [34.17142857 34.82857143],0
v1,1,0.240675,1.376638,[78 62] ; [31 35],[74.0776699 65.9223301] ; [34.9223301 31.0776699],0
u1,1,0.281573,1.159481,[ 22 119] ; [ 7 62],[ 19.47142857 121.52857143] ; [ 9.52857143 59.47142857],0
a1,1,0.287095,1.133195,[  9 132] ; [ 2 67],[  7.38571429 133.61428571] ; [ 3.61428571 65.38571429],0
p2,1,0.314171,1.013058,[114  26] ; [60  9],[116.55502392  23.44497608] ; [57.44497608 11.55502392],0
s8,1,0.320553,0.986689,[47 93] ; [28 41],[50.23923445 89.76076555] ; [24.76076555 44.23923445],0
p7,1,0.354781,0.856284,[85 52] ; [46 21],[87.9754902 49.0245098] ; [43.0245098 23.9754902],0
u3,1,0.358561,0.842926,[28 24] ; [15  8],[29.81333333 22.18666667] ; [13.18666667  9.81333333],0
r2,1,0.393064,0.729444,[126  13] ; [64  4],[127.58454106  11.41545894] ; [62.41545894  5.58454106],0
d5,1,0.419062,0.652945,[115  26] ; [53 16],[112.8  28.2] ; [55.2 13.8],0
v2,1,0.437099,0.603885,[77 61] ; [33 33],[74.41176471 63.58823529] ; [35.58823529 30.41176471],0
d2,1,0.440592,0.594739,[61 80] ; [26 43],[58.41428571 82.58571429] ; [28.58571429 40.41428571],0
