Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,0.011414,6.399748,[12 12] ; [14 49],[ 7.17241379 16.82758621] ; [18.82758621 44.17241379],0
v2,1,0.026134,4.947148,[16  9] ; [23 38],[11.3372093 13.6627907] ; [27.6627907 33.3372093],0
b1,1,0.108761,2.572129,[10 16] ; [36 27],[13.43820225 12.56179775] ; [32.56179775 30.43820225],0
u2,1,0.111741,2.529423,[8 3] ; [11 14],[5.80555556 5.19444444] ; [13.19444444 11.80555556],0
v1,1,0.122119,2.389938,[12 14] ; [18 44],[ 8.86363636 17.13636364] ; [21.13636364 40.86363636],0
n4,1,0.161937,1.956044,[10 16] ; [15 48],[ 7.30337079 18.69662921] ; [17.69662921 45.30337079],0
d3,1,0.169637,1.886152,[21  5] ; [41 21],[18.31818182  7.68181818] ; [43.68181818 18.31818182],0
n2,1,0.19068,1.712356,[4 7] ; [15 10],[5.80555556 5.19444444] ; [13.19444444 11.80555556],0
p4,1,0.197617,1.659902,[12 12] ; [22 41],[ 9.37931034 14.62068966] ; [24.62068966 38.37931034],0
b4,1,0.231948,1.428873,[18  8] ; [35 28],[15.48314607 10.51685393] ; [37.51685393 25.48314607],0
a5,1,0.231948,1.428873,[18  8] ; [35 28],[15.48314607 10.51685393] ; [37.51685393 25.48314607],0
p2,1,0.292788,1.106756,[12 13] ; [38 25],[14.20454545 10.79545455] ; [35.79545455 27.20454545],0
n1,1,0.297798,1.08403,[ 1 10] ; [ 6 19],[2.13888889 8.86111111] ; [ 4.86111111 20.13888889],0
d4,1,0.309508,1.032775,[23  3] ; [50 13],[21.3258427  4.6741573] ; [51.6741573 11.3258427],0
b3,1,0.350413,0.871962,[3 6] ; [ 6 26],[1.97560976 7.02439024] ; [ 7.02439024 24.97560976],0
b2,1,0.350413,0.871962,[3 6] ; [ 6 26],[1.97560976 7.02439024] ; [ 7.02439024 24.97560976],0
r2,1,0.37365,0.791488,[23  3] ; [50 12],[21.56818182  4.43181818] ; [51.43181818 10.56818182],0
r4,1,0.384375,0.756662,[19  7] ; [40 23],[17.23595506  8.76404494] ; [41.76404494 21.23595506],0
r1,1,0.428558,0.626729,[18  8] ; [38 25],[16.35955056  9.64044944] ; [39.64044944 23.35955056],0
s5,1,0.439197,0.59838,[ 9 17] ; [15 42],[ 7.51807229 18.48192771] ; [16.48192771 40.51807229],0
s6,1,0.556636,0.345563,[15 11] ; [31 30],[13.74712644 12.25287356] ; [32.25287356 28.74712644],0
a4,1,0.55893,0.34156,[ 9 17] ; [26 37],[10.2247191 15.7752809] ; [24.7752809 38.2247191],0
s3,1,0.563084,0.334393,[13 12] ; [28 34],[11.7816092 13.2183908] ; [29.2183908 32.7816092],0
s4,1,0.57274,0.31812,[ 9 17] ; [18 45],[ 7.88764045 18.11235955] ; [19.11235955 43.88764045],0
u1,1,0.577495,0.310302,[ 4 22] ; [ 7 56],[ 3.21348315 22.78651685] ; [ 7.78651685 55.21348315],0
a6,1,0.603828,0.269262,[16 10] ; [35 28],[14.8988764 11.1011236] ; [36.1011236 26.8988764],0
b5,1,0.644249,0.213228,[16 10] ; [42 21],[16.94382022  9.05617978] ; [41.05617978 21.94382022],0
p1,1,0.667692,0.184314,[ 1 24] ; [ 4 59],[ 1.42045455 23.57954545] ; [ 3.57954545 59.42045455],0
d1,1,0.748079,0.103152,[15 11] ; [34 29],[14.31460674 11.68539326] ; [34.68539326 28.31460674],0
a7,1,0.750549,0.101071,[18  8] ; [45 17],[18.61363636  7.38636364] ; [44.38636364 17.61363636],0
n3,1,0.798074,0.065455,[7 4] ; [17  8],[7.33333333 3.66666667] ; [16.66666667  8.33333333],0
p7,1,0.806561,0.059959,[10 15] ; [27 36],[10.51136364 14.48863636] ; [26.48863636 36.51136364],0
v4,1,0.811975,0.056586,[22  4] ; [52 11],[21.61797753  4.38202247] ; [52.38202247 10.61797753],0
s8,1,0.826339,0.048136,[ 6 20] ; [13 49],[ 5.61363636 20.38636364] ; [13.38636364 48.61363636],0
d2,1,0.838038,0.041781,[13 13] ; [30 33],[12.56179775 13.43820225] ; [30.43820225 32.56179775],0
p3,1,0.850042,0.035745,[ 9 16] ; [21 41],[ 8.62068966 16.37931034] ; [21.37931034 40.62068966],0
a3,1,0.862805,0.029862,[15 11] ; [37 25],[15.36363636 10.63636364] ; [36.63636364 25.36363636],0
a1,1,0.873171,0.025482,[ 1 25] ; [ 2 61],[ 0.87640449 25.12359551] ; [ 2.12359551 60.87640449],0
a2,1,0.880789,0.022491,[ 5 21] ; [13 50],[ 5.25842697 20.74157303] ; [12.74157303 50.25842697],0
s7,1,0.909635,0.012882,[ 7 15] ; [18 41],[ 6.79012346 15.20987654] ; [18.20987654 40.79012346],0
u3,1,0.91483,0.011438,[5 5] ; [12 13],[4.85714286 5.14285714] ; [12.14285714 12.85714286],0
n6,1,0.918679,0.010424,[13 12] ; [32 31],[12.78409091 12.21590909] ; [32.21590909 30.78409091],0
p9,1,0.945754,0.004629,[12 12] ; [31 30],[12.14117647 11.85882353] ; [30.85882353 30.14117647],0
r3,1,0.954108,0.003312,[22  4] ; [53 10],[21.91011236  4.08988764] ; [53.08988764  9.91011236],0
d5,1,0.959577,0.002569,[20  6] ; [48 14],[20.09090909  5.90909091] ; [47.90909091 14.09090909],0
s1,1,0.968956,0.001515,[ 2 24] ; [ 5 58],[ 2.04494382 23.95505618] ; [ 4.95505618 58.04494382],0
p10,1,0.969129,0.001498,[12 13] ; [29 32],[11.91860465 13.08139535] ; [29.08139535 31.91860465],0
p6,1,0.989035,0.000189,[ 5 19] ; [13 49],[ 5.02325581 18.97674419] ; [12.97674419 49.02325581],0
s2,1,0.991615,0.00011,[12 14] ; [29 34],[11.97752809 14.02247191] ; [29.02247191 33.97752809],0
