Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u1,1,0.025052,5.020255,[2 3] ; [ 10 102],[0.51282051 4.48717949] ; [ 11.48717949 100.51282051],0
v3,1,0.089335,2.88631,[3 2] ; [27 79],[1.35135135 3.64864865] ; [28.64864865 77.35135135],0
v2,1,0.122649,2.383168,[4 1] ; [47 58],[2.31818182 2.68181818] ; [48.68181818 56.31818182],0
s5,1,0.160284,1.971547,[2 3] ; [17 90],[0.84821429 4.15178571] ; [18.15178571 88.84821429],0
s6,1,0.164272,1.934451,[4 1] ; [54 58],[2.47863248 2.52136752] ; [55.52136752 56.47863248],0
s7,1,0.166117,1.917642,[3 2] ; [32 73],[1.59090909 3.40909091] ; [33.40909091 71.59090909],0
d1,1,0.189152,1.724211,[4 1] ; [56 56],[2.56410256 2.43589744] ; [57.43589744 54.56410256],0
p3,1,0.219756,1.505965,[3 2] ; [37 74],[1.72413793 3.27586207] ; [38.27586207 72.72413793],0
a6,1,0.247458,1.337599,[3 2] ; [90 21],[4.00862069 0.99137931] ; [88.99137931 22.00862069],0
b4,1,0.260892,1.264018,[4 1] ; [61 51],[2.77777778 2.22222222] ; [62.22222222 49.77777778],0
p11,1,0.276936,1.182066,[4 1] ; [62 50],[2.82051282 2.17948718] ; [63.17948718 48.82051282],0
d2,1,0.277801,1.177815,[3 2] ; [40 71],[1.85344828 3.14655172] ; [41.14655172 69.85344828],0
p7,1,0.291477,1.112789,[3 1] ; [52 56],[1.96428571 2.03571429] ; [53.03571429 54.96428571],0
a2,1,0.298865,1.079252,[2 3] ; [23 89],[1.06837607 3.93162393] ; [23.93162393 88.06837607],0
a4,1,0.311631,1.02375,[3 2] ; [42 70],[1.92307692 3.07692308] ; [43.07692308 68.92307692],0
p4,1,0.311631,1.02375,[3 2] ; [42 70],[1.92307692 3.07692308] ; [43.07692308 68.92307692],0
v1,1,0.323173,0.976061,[3 2] ; [41 67],[1.94690265 3.05309735] ; [42.05309735 65.94690265],0
p8,1,0.328236,0.955844,[3 2] ; [42 68],[1.95652174 3.04347826] ; [43.04347826 66.95652174],0
b2,1,0.405858,0.690901,[2 3] ; [14 46],[1.23076923 3.76923077] ; [14.76923077 45.23076923],0
b3,1,0.405858,0.690901,[2 3] ; [14 46],[1.23076923 3.76923077] ; [14.76923077 45.23076923],0
b5,1,0.494228,0.467308,[4 1] ; [73 39],[3.29059829 1.70940171] ; [73.70940171 38.29059829],0
b1,1,0.525578,0.402934,[3 2] ; [51 61],[2.30769231 2.69230769] ; [51.69230769 60.30769231],0
a3,1,0.534333,0.386145,[4 1] ; [74 37],[3.36206897 1.63793103] ; [74.63793103 36.36206897],0
n1,1,0.539038,0.377326,[1 1] ; [10 24],[0.61111111 1.38888889] ; [10.38888889 23.61111111],0
n4,1,0.661698,0.191467,[2 3] ; [56 56],[2.47863248 2.52136752] ; [55.52136752 56.47863248],0
n3,1,0.673911,0.177061,[1 1] ; [22 12],[1.27777778 0.72222222] ; [21.72222222 12.27777778],0
s4,1,0.673969,0.176995,[1 4] ; [15 97],[0.68376068 4.31623932] ; [15.31623932 96.68376068],0
p2,1,0.676884,0.173655,[4 1] ; [80 32],[3.58974359 1.41025641] ; [80.41025641 31.58974359],0
r3,1,0.680737,0.169297,[4 1] ; [96 15],[4.31034483 0.68965517] ; [95.68965517 15.31034483],0
r4,1,0.736571,0.113163,[4 1] ; [82 30],[3.67521368 1.32478632] ; [82.32478632 29.67521368],0
s3,1,0.749963,0.101562,[2 3] ; [52 58],[2.34782609 2.65217391] ; [51.65217391 58.34782609],0
n5,1,0.886092,0.020521,[2 3] ; [48 63],[2.15517241 2.84482759] ; [47.84482759 63.15517241],0
p6,1,0.960981,0.002393,[1 4] ; [23 87],[1.04347826 3.95652174] ; [22.95652174 87.04347826],0
