Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,0.001848,9.69425,[26 10] ; [ 5 13],[20.66666667 15.33333333] ; [10.33333333  7.66666667],0
d2,1,0.005276,7.782353,[18 18] ; [ 2 16],[13.33333333 22.66666667] ; [ 6.66666667 11.33333333],0
d5,1,0.009937,6.646154,[30  6] ; [9 9],[26. 10.] ; [13.  5.],0
n5,1,0.020919,5.333504,[26  8] ; [ 8 10],[22.23076923 11.76923077] ; [11.76923077  6.23076923],0
v4,1,0.027696,4.846912,[19 14] ; [15  2],[22.44 10.56] ; [11.56  5.44],0
a4,1,0.032309,4.582048,[19 17] ; [ 4 14],[15.33333333 20.66666667] ; [ 7.66666667 10.33333333],0
d1,1,0.032309,4.582048,[19 17] ; [ 4 14],[15.33333333 20.66666667] ; [ 7.66666667 10.33333333],0
d3,1,0.075656,3.155844,[25 11] ; [ 8 10],[22. 14.] ; [11.  7.],0
d4,1,0.091824,2.842105,[28  8] ; [10  8],[25.33333333 10.66666667] ; [12.66666667  5.33333333],0
s6,1,0.097925,2.739021,[19 14] ; [ 6 12],[16.17647059 16.82352941] ; [8.82352941 9.17647059],0
b4,1,0.122627,2.383448,[14 22] ; [11  7],[16.66666667 19.33333333] ; [8.33333333 9.66666667],0
a6,1,0.122627,2.383448,[22 14] ; [ 7 11],[19.33333333 16.66666667] ; [9.66666667 8.33333333],0
a7,1,0.1234,2.373626,[20 16] ; [ 6 12],[17.33333333 18.66666667] ; [8.66666667 9.33333333],0
n6,1,0.156943,2.00344,[27  7] ; [11  7],[24.84615385  9.15384615] ; [13.15384615  4.84615385],0
b3,1,0.17226,1.863163,[ 9 19] ; [1 9],[ 7.36842105 20.63157895] ; [2.63157895 7.36842105],0
b2,1,0.17226,1.863163,[ 9 19] ; [1 9],[ 7.36842105 20.63157895] ; [2.63157895 7.36842105],0
n4,1,0.17314,1.85554,[23 13] ; [ 8 10],[20.66666667 15.33333333] ; [10.33333333  7.66666667],0
v2,1,0.189579,1.720886,[17 18] ; [ 5 12],[14.80769231 20.19230769] ; [7.19230769 9.80769231],0
b1,1,0.236289,1.402597,[20 16] ; [13  5],[22. 14.] ; [11.  7.],0
u2,1,0.252781,1.30787,[3 7] ; [7 6],[4.34782609 5.65217391] ; [5.65217391 7.34782609],0
v3,1,0.300641,1.071347,[ 8 27] ; [ 2 16],[ 6.60377358 28.39622642] ; [ 3.39622642 14.60377358],0
r1,1,0.312612,1.019608,[10 24] ; [ 3 15],[ 8.5 25.5] ; [ 4.5 13.5],0
s4,1,0.365937,0.817416,[ 6 29] ; [ 5 13],[ 7.26415094 27.73584906] ; [ 3.73584906 14.26415094],0
p9,1,0.412645,0.671167,[27  8] ; [12  6],[25.75471698  9.24528302] ; [13.24528302  4.75471698],0
p5,1,0.414373,0.666218,[ 7 28] ; [ 2 16],[ 5.94339623 29.05660377] ; [ 3.05660377 14.94339623],0
r3,1,0.450788,0.56867,[21 13] ; [13  5],[22.23076923 11.76923077] ; [11.76923077  6.23076923],0
p6,1,0.502012,0.45068,[15 20] ; [ 6 12],[13.86792453 21.13207547] ; [ 7.13207547 10.86792453],0
s3,1,0.516972,0.419929,[12 20] ; [8 9],[13.06122449 18.93877551] ; [ 6.93877551 10.06122449],0
p11,1,0.519249,0.415385,[27  9] ; [12  6],[26. 10.] ; [13.  5.],0
n2,1,0.576999,0.311111,[8 4] ; [7 2],[8.57142857 3.42857143] ; [6.42857143 2.57142857],0
v1,1,0.606774,0.2649,[13 22] ; [ 8 10],[13.86792453 21.13207547] ; [ 7.13207547 10.86792453],0
b5,1,0.697132,0.151473,[20 16] ; [11  7],[20.66666667 15.33333333] ; [10.33333333  7.66666667],0
p3,1,0.699526,0.148966,[20 16] ; [9 9],[19.33333333 16.66666667] ; [9.66666667 8.33333333],0
p1,1,0.713303,0.135,[ 3 33] ; [ 1 17],[ 2.66666667 33.33333333] ; [ 1.33333333 16.66666667],0
p2,1,0.768962,0.086279,[28  7] ; [15  3],[28.39622642  6.60377358] ; [14.60377358  3.39622642],0
s2,1,0.78235,0.076319,[16 17] ; [ 8 10],[15.52941176 17.47058824] ; [8.47058824 9.52941176],0
p7,1,0.784176,0.075011,[22 13] ; [12  6],[22.45283019 12.54716981] ; [11.54716981  6.45283019],0
s8,1,0.784176,0.075011,[13 22] ; [ 6 12],[12.54716981 22.45283019] ; [ 6.45283019 11.54716981],0
n3,1,0.800838,0.063636,[6 6] ; [5 4],[6.28571429 5.71428571] ; [4.71428571 4.28571429],0
n1,1,0.800838,0.063636,[6 6] ; [4 5],[5.71428571 6.28571429] ; [4.28571429 4.71428571],0
s7,1,0.824582,0.049131,[14 18] ; [8 9],[14.36734694 17.63265306] ; [7.63265306 9.36734694],0
s5,1,0.851364,0.03511,[ 7 26] ; [ 4 13],[ 7.26 25.74] ; [ 3.74 13.26],0
p10,1,0.887559,0.019992,[22 12] ; [12  6],[22.23076923 11.76923077] ; [11.76923077  6.23076923],0
r2,1,0.923831,0.009141,[17 16] ; [9 8],[17.16 15.84] ; [8.84 8.16],0
p8,1,0.929914,0.007736,[19 16] ; [10  8],[19.1509434 15.8490566] ; [9.8490566 8.1509434],0
u3,1,0.936898,0.006268,[4 5] ; [6 7],[4.09090909 4.90909091] ; [5.90909091 7.09090909],0
s1,1,1.0,0.0,[ 2 34] ; [ 1 17],[ 2. 34.] ; [ 1. 17.],0
a1,1,1.0,0.0,[ 2 34] ; [ 1 17],[ 2. 34.] ; [ 1. 17.],0
