Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n1,1,0.001543,10.026525,[ 5 25] ; [8 4],[ 9.28571429 20.71428571] ; [3.71428571 8.28571429],0
n2,1,0.006285,7.466667,[11 19] ; [10  2],[15. 15.] ; [6. 6.],0
s3,1,0.041158,4.169506,[37 62] ; [16 11],[41.64285714 57.35714286] ; [11.35714286 15.64285714],0
p10,1,0.044963,4.020039,[25 76] ; [12 15],[29.1953125 71.8046875] ; [ 7.8046875 19.1953125],0
a4,1,0.047393,3.931399,[38 62] ; [16 11],[42.51968504 57.48031496] ; [11.48031496 15.51968504],0
s6,1,0.073016,3.213894,[44 57] ; [17 10],[48.1328125 52.8671875] ; [12.8671875 14.1328125],0
r3,1,0.0748,3.174416,[83 18] ; [25  1],[85.88976378 15.11023622] ; [22.11023622  3.88976378],0
d2,1,0.079188,3.081498,[54 46] ; [19  7],[57.93650794 42.06349206] ; [15.06349206 10.93650794],0
u3,1,0.087249,2.924403,[27 12] ; [2 4],[25.13333333 13.86666667] ; [3.86666667 2.13333333],0
u1,1,0.097009,2.754045,[13 88] ; [ 7 20],[15.78125 85.21875] ; [ 4.21875 22.78125],0
s7,1,0.100124,2.703565,[27 66] ; [12 14],[30.4789916 62.5210084] ; [ 8.5210084 17.4789916],0
a3,1,0.113053,2.511015,[62 39] ; [21  6],[65.4921875 35.5078125] ; [17.5078125  9.4921875],0
r2,1,0.137674,2.203767,[85 14] ; [26  1],[87.21428571 11.78571429] ; [23.78571429  3.21428571],0
v1,1,0.178998,1.805926,[31 70] ; [12 15],[33.9296875 67.0703125] ; [ 9.0703125 17.9296875],0
b3,1,0.198847,1.650826,[18 43] ; [ 3 17],[15.81481481 45.18518519] ; [ 5.18518519 14.81481481],0
b2,1,0.198847,1.650826,[18 43] ; [ 3 17],[15.81481481 45.18518519] ; [ 5.18518519 14.81481481],0
s2,1,0.202092,1.627194,[31 68] ; [12 15],[33.78571429 65.21428571] ; [ 9.21428571 17.78571429],0
p6,1,0.208727,1.580236,[13 86] ; [ 6 20],[15.048 83.952] ; [ 3.952 22.048],0
s8,1,0.213304,1.548861,[22 79] ; [ 9 18],[24.4609375 76.5390625] ; [ 6.5390625 20.4609375],0
a7,1,0.220251,1.502736,[71 30] ; [15 11],[68.39370079 32.60629921] ; [17.60629921  8.39370079],0
v2,1,0.239349,1.384424,[41 59] ; [14 12],[43.65079365 56.34920635] ; [11.34920635 14.65079365],0
n6,1,0.244455,1.354718,[62 38] ; [20  7],[64.56692913 35.43307087] ; [17.43307087  9.56692913],0
p7,1,0.266763,1.233318,[38 62] ; [13 13],[40.47619048 59.52380952] ; [10.52380952 15.47619048],0
p5,1,0.290472,1.11743,[ 3 98] ; [ 2 25],[ 3.9453125 97.0546875] ; [ 1.0546875 25.9453125],0
r1,1,0.331439,0.943267,[73 28] ; [22  5],[74.9609375 26.0390625] ; [20.0390625  6.9609375],0
s1,1,0.350592,0.871312,[ 6 95] ; [ 3 24],[ 7.1015625 93.8984375] ; [ 1.8984375 25.1015625],0
p4,1,0.360239,0.837061,[42 58] ; [14 13],[44.09448819 55.90551181] ; [11.90551181 15.09448819],0
n4,1,0.376077,0.783486,[69 32] ; [16 11],[67.0703125 33.9296875] ; [17.9296875  9.0703125],0
n3,1,0.379235,0.773182,[13 17] ; [7 5],[14.28571429 15.71428571] ; [5.71428571 6.28571429],0
d4,1,0.441841,0.591496,[83 18] ; [23  3],[84.2992126 16.7007874] ; [21.7007874  4.2992126],0
b5,1,0.480176,0.498464,[60 41] ; [14 13],[58.390625 42.609375] ; [15.609375 11.390625],0
a2,1,0.488407,0.480035,[20 81] ; [ 7 20],[21.3046875 79.6953125] ; [ 5.6953125 21.3046875],0
d1,1,0.492144,0.471835,[60 41] ; [18  9],[61.546875 39.453125] ; [16.453125 10.546875],0
r4,1,0.501494,0.451773,[72 29] ; [21  6],[73.3828125 27.6171875] ; [19.6171875  7.3828125],0
p3,1,0.50521,0.443975,[30 69] ; [10 17],[31.42857143 67.57142857] ; [ 8.57142857 18.42857143],0
u2,1,0.559504,0.340564,[21 18] ; [2 3],[20.38636364 18.61363636] ; [2.61363636 2.38636364],0
b1,1,0.603841,0.269241,[58 43] ; [17 10],[59.1796875 41.8203125] ; [15.8203125 11.1796875],0
v3,1,0.631269,0.230344,[28 70] ; [ 9 18],[29.008 68.992] ; [ 7.992 19.008],0
p2,1,0.66913,0.182621,[59 42] ; [17 10],[59.96875 41.03125] ; [16.03125 10.96875],0
b4,1,0.681201,0.168777,[63 38] ; [18  9],[63.9140625 37.0859375] ; [17.0859375  9.9140625],0
s4,1,0.69373,0.155077,[16 84] ; [ 5 21],[16.66666667 83.33333333] ; [ 4.33333333 21.66666667],0
n5,1,0.738971,0.111033,[56 45] ; [14 13],[55.234375 45.765625] ; [14.765625 12.234375],0
p11,1,0.758014,0.094919,[49 52] ; [14 13],[49.7109375 51.2890625] ; [13.2890625 13.7109375],0
a8,1,0.765675,0.088826,[ 6 85] ; [ 2 22],[ 6.33043478 84.66956522] ; [ 1.66956522 22.33043478],0
a5,1,0.823274,0.049879,[65 36] ; [18  9],[65.4921875 35.5078125] ; [17.5078125  9.4921875],0
p8,1,0.87033,0.026647,[32 69] ; [ 9 18],[32.3515625 68.6484375] ; [ 8.6484375 18.3515625],0
a6,1,0.893365,0.017969,[65 36] ; [17 10],[64.703125 36.296875] ; [17.296875  9.703125],0
d3,1,0.897918,0.016459,[66 35] ; [18  9],[66.28125 34.71875] ; [17.71875  9.28125],0
a1,1,0.931417,0.007407,[ 7 94] ; [ 2 25],[ 7.1015625 93.8984375] ; [ 1.8984375 25.1015625],0
p1,1,0.941642,0.005359,[ 7 93] ; [ 2 25],[ 7.08661417 92.91338583] ; [ 1.91338583 25.08661417],0
v4,1,0.980901,0.000573,[85 15] ; [23  4],[85.03937008 14.96062992] ; [22.96062992  4.03937008],0
