Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,3.1e-05,17.362605,[6 3] ; [ 2 32],[1.6744186 7.3255814] ; [ 6.3255814 27.6744186],1
s8,1,0.001357,10.262687,[5 4] ; [ 3 31],[1.6744186 7.3255814] ; [ 6.3255814 27.6744186],0
u3,1,0.01424,6.008127,[3 1] ; [ 3 16],[1.04347826 2.95652174] ; [ 4.95652174 14.04347826],0
s1,1,0.043488,4.076334,[2 7] ; [ 1 33],[0.62790698 8.37209302] ; [ 2.37209302 31.62790698],0
s6,1,0.061179,3.505124,[6 3] ; [11 23],[3.55813953 5.44186047] ; [13.44186047 20.55813953],0
d4,1,0.092411,2.831871,[8 1] ; [20 14],[5.86046512 3.13953488] ; [22.13953488 11.86046512],0
r1,1,0.097768,2.741581,[5 4] ; [ 9 25],[2.93023256 6.06976744] ; [11.06976744 22.93023256],0
s2,1,0.144686,2.127405,[4 5] ; [ 7 27],[2.30232558 6.69767442] ; [ 8.69767442 25.30232558],0
d2,1,0.160121,1.973085,[1 8] ; [12 22],[2.72093023 6.27906977] ; [10.27906977 23.72093023],0
p10,1,0.19678,1.666116,[6 3] ; [14 19],[4.28571429 4.71428571] ; [15.71428571 17.28571429],0
n2,1,0.202288,1.625782,[2 4] ; [9 5],[3.3 2.7] ; [7.7 6.3],0
b1,1,0.228831,1.448116,[6 3] ; [15 19],[4.39534884 4.60465116] ; [16.60465116 17.39534884],0
b3,1,0.231998,1.428571,[3 3] ; [ 6 18],[1.8 4.2] ; [ 7.2 16.8],0
b2,1,0.231998,1.428571,[3 3] ; [ 6 18],[1.8 4.2] ; [ 7.2 16.8],0
p1,1,0.264844,1.243258,[2 7] ; [ 3 31],[1.04651163 7.95348837] ; [ 3.95348837 30.04651163],0
a5,1,0.268948,1.222104,[5 4] ; [12 22],[3.55813953 5.44186047] ; [13.44186047 20.55813953],0
n4,1,0.29553,1.094257,[7 2] ; [20 14],[5.65116279 3.34883721] ; [21.34883721 12.65116279],0
v1,1,0.296482,1.089953,[4 5] ; [ 9 25],[2.72093023 6.27906977] ; [10.27906977 23.72093023],0
a2,1,0.300706,1.071059,[1 8] ; [ 1 33],[0.41860465 8.58139535] ; [ 1.58139535 32.41860465],0
n3,1,0.329114,0.952381,[2 4] ; [8 6],[3. 3.] ; [7. 7.],0
a4,1,0.33211,0.940652,[1 8] ; [ 9 25],[2.09302326 6.90697674] ; [ 7.90697674 26.09302326],0
