Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,2e-05,18.218711,[ 8 15] ; [52 11],[16.04651163  6.95348837] ; [43.95348837 19.04651163],1
n6,1,0.001119,10.620102,[12 11] ; [54  9],[17.65116279  5.34883721] ; [48.34883721 14.65116279],0
p10,1,0.004971,7.889835,[13  9] ; [54  8],[17.54761905  4.45238095] ; [49.45238095 12.54761905],0
s1,1,0.005568,7.685038,[ 4 19] ; [ 1 62],[ 1.3372093 21.6627907] ; [ 3.6627907 59.3372093],0
r4,1,0.009535,6.719861,[ 9 14] ; [44 19],[14.1744186  8.8255814] ; [38.8255814 24.1744186],0
d4,1,0.012147,6.289257,[22  1] ; [44 19],[17.65116279  5.34883721] ; [48.34883721 14.65116279],0
r2,1,0.016062,5.796101,[14  8] ; [54  8],[17.80952381  4.19047619] ; [50.19047619 11.80952381],0
p9,1,0.016566,5.741814,[16  7] ; [57  6],[19.52325581  3.47674419] ; [53.47674419  9.52325581],0
p11,1,0.034141,4.487636,[13 10] ; [50 13],[16.84883721  6.15116279] ; [46.15116279 16.84883721],0
u2,1,0.06225,3.47641,[7 2] ; [ 9 13],[4.64516129 4.35483871] ; [11.35483871 10.64516129],0
a7,1,0.072917,3.216097,[18  5] ; [36 27],[14.44186047  8.55813953] ; [39.55813953 23.44186047],0
v2,1,0.074946,3.171232,[11 12] ; [42 19],[14.51190476  8.48809524] ; [38.48809524 22.51190476],0
p4,1,0.07997,3.065518,[10 13] ; [40 22],[13.52941176  9.47058824] ; [36.47058824 25.52941176],0
u3,1,0.080438,3.05602,[7 2] ; [10 13],[4.78125 4.21875] ; [12.21875 10.78125],0
d3,1,0.095623,2.777075,[17  6] ; [34 29],[13.63953488  9.36046512] ; [37.36046512 25.63953488],0
p7,1,0.141154,2.165329,[10 13] ; [38 24],[12.98823529 10.01176471] ; [35.01176471 26.98823529],0
r3,1,0.145436,2.119477,[17  6] ; [54  8],[19.21176471  3.78823529] ; [51.78823529 10.21176471],0
p8,1,0.188786,1.727068,[ 8 15] ; [31 30],[10.67857143 12.32142857] ; [28.32142857 32.67857143],0
b3,1,0.201513,1.631373,[6 6] ; [12 28],[4.15384615 7.84615385] ; [13.84615385 26.15384615],0
b2,1,0.201513,1.631373,[6 6] ; [12 28],[4.15384615 7.84615385] ; [13.84615385 26.15384615],0
s5,1,0.250995,1.317754,[ 9 13] ; [16 42],[ 6.875 15.125] ; [18.125 39.875],0
s3,1,0.260788,1.264569,[10 13] ; [36 27],[12.30232558 10.69767442] ; [33.69767442 29.30232558],0
b4,1,0.300386,1.072481,[11 12] ; [38 25],[13.10465116  9.89534884] ; [35.89534884 27.10465116],0
b1,1,0.320927,0.985167,[13 10] ; [28 35],[10.96511628 12.03488372] ; [30.03488372 32.96511628],0
d5,1,0.35937,0.840092,[19  4] ; [46 17],[17.38372093  5.61627907] ; [47.61627907 15.38372093],0
p2,1,0.360644,0.835648,[16  7] ; [49 13],[17.58823529  5.41176471] ; [47.41176471 14.58823529],0
n2,1,0.412494,0.671601,[6 3] ; [13  3],[6.84 2.16] ; [12.16  3.84],0
n1,1,0.420345,0.649351,[3 6] ; [8 8],[3.96 5.04] ; [7.04 8.96],0
p3,1,0.430688,0.620968,[11 11] ; [37 25],[12.57142857  9.42857143] ; [35.42857143 26.57142857],0
p6,1,0.450213,0.570115,[ 6 15] ; [23 38],[ 7.42682927 13.57317073] ; [21.57317073 39.42682927],0
p1,1,0.470481,0.520845,[ 3 20] ; [ 5 58],[ 2.13953488 20.86046512] ; [ 5.86046512 57.13953488],0
d1,1,0.483987,0.489867,[ 9 14] ; [30 33],[10.43023256 12.56976744] ; [28.56976744 34.43023256],0
a1,1,0.490181,0.476129,[ 2 21] ; [ 3 60],[ 1.3372093 21.6627907] ; [ 3.6627907 59.3372093],0
u1,1,0.490181,0.476129,[ 2 21] ; [ 3 60],[ 1.3372093 21.6627907] ; [ 3.6627907 59.3372093],0
p12,1,0.501965,0.45078,[ 2 21] ; [ 3 59],[ 1.35294118 21.64705882] ; [ 3.64705882 58.35294118],0
d2,1,0.512531,0.428896,[ 7 16] ; [24 39],[ 8.29069767 14.70930233] ; [22.70930233 40.29069767],0
a4,1,0.521423,0.411079,[ 9 14] ; [20 43],[ 7.75581395 15.24418605] ; [21.24418605 41.75581395],0
a6,1,0.548029,0.360861,[13 10] ; [31 32],[11.76744186 11.23255814] ; [32.23255814 30.76744186],0
v3,1,0.577239,0.31072,[ 9 14] ; [28 33],[10.13095238 12.86904762] ; [26.86904762 34.13095238],0
a5,1,0.586751,0.295447,[12 11] ; [37 26],[13.10465116  9.89534884] ; [35.89534884 27.10465116],0
s6,1,0.723878,0.124807,[14  8] ; [40 19],[14.66666667  7.33333333] ; [39.33333333 19.66666667],0
n3,1,0.733701,0.115741,[5 4] ; [10  6],[5.4 3.6] ; [9.6 6.4],0
s7,1,0.743893,0.106734,[ 9 14] ; [25 33],[ 9.65432099 13.34567901] ; [24.34567901 33.65432099],0
p5,1,0.745757,0.105131,[ 3 20] ; [10 53],[ 3.47674419 19.52325581] ; [ 9.52325581 53.47674419],0
a2,1,0.746011,0.104914,[ 2 21] ; [ 7 56],[ 2.40697674 20.59302326] ; [ 6.59302326 56.40697674],0
a3,1,0.823766,0.049597,[14  9] ; [40 23],[14.44186047  8.55813953] ; [39.55813953 23.44186047],0
b5,1,0.823766,0.049597,[14  9] ; [40 23],[14.44186047  8.55813953] ; [39.55813953 23.44186047],0
s4,1,0.861308,0.030524,[ 4 19] ; [12 51],[ 4.27906977 18.72093023] ; [11.72093023 51.27906977],0
s8,1,0.882737,0.021756,[ 8 15] ; [23 40],[ 8.29069767 14.70930233] ; [22.70930233 40.29069767],0
s2,1,0.909759,0.012847,[12 11] ; [32 31],[11.76744186 11.23255814] ; [32.23255814 30.76744186],0
v4,1,0.986345,0.000293,[20  3] ; [54  8],[20.02352941  2.97647059] ; [53.97647059  8.02352941],0
