Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.0,31.462185,[ 4 21] ; [52 13],[15.55555556  9.44444444] ; [40.44444444 24.55555556],1
s3,1,1.5e-05,18.72,[ 8 17] ; [52 13],[16.66666667  8.33333333] ; [43.33333333 21.66666667],1
s6,1,8.5e-05,15.445798,[11 10] ; [59  6],[17.09302326  3.90697674] ; [52.90697674 12.09302326],1
s2,1,9.8e-05,15.170678,[ 7 18] ; [48 18],[15.10989011  9.89010989] ; [39.89010989 26.10989011],1
b5,1,0.035575,4.417374,[16  9] ; [26 40],[11.53846154 13.46153846] ; [30.46153846 35.53846154],0
n4,1,0.04678,3.953273,[20  5] ; [62  4],[22.52747253  2.47252747] ; [59.47252747  6.52747253],0
n5,1,0.04678,3.953273,[20  5] ; [62  4],[22.52747253  2.47252747] ; [59.47252747  6.52747253],0
p6,1,0.059632,3.547583,[11 13] ; [44 21],[14.83146067  9.16853933] ; [40.16853933 24.83146067],0
r4,1,0.067186,3.350455,[21  4] ; [63  3],[23.07692308  1.92307692] ; [60.92307692  5.07692308],0
p3,1,0.07807,3.104634,[16  9] ; [53 12],[19.16666667  5.83333333] ; [49.83333333 15.16666667],0
p8,1,0.108184,2.580551,[17  8] ; [55 11],[19.78021978  5.21978022] ; [52.21978022 13.78021978],0
n6,1,0.123847,2.36798,[20  4] ; [61  4],[21.84269663  2.15730337] ; [59.15730337  5.84269663],0
p7,1,0.13492,2.234963,[17  8] ; [52 11],[19.60227273  5.39772727] ; [49.39772727 13.60227273],0
a1,1,0.145213,2.121829,[ 1 24] ; [10 56],[ 3.02197802 21.97802198] ; [ 7.97802198 58.02197802],0
d3,1,0.149216,2.080251,[15 10] ; [49 16],[17.77777778  7.22222222] ; [46.22222222 18.77777778],0
a3,1,0.15534,2.019012,[17  8] ; [54 12],[19.50549451  5.49450549] ; [51.49450549 14.50549451],0
r1,1,0.160937,1.965399,[19  6] ; [58  8],[21.15384615  3.84615385] ; [55.84615385 10.15384615],0
p12,1,0.19742,1.661359,[ 4 21] ; [19 46],[ 6.38888889 18.61111111] ; [16.61111111 48.38888889],0
b1,1,0.222736,1.486654,[13 12] ; [25 41],[10.43956044 14.56043956] ; [27.56043956 38.43956044],0
d2,1,0.258954,1.274342,[16  9] ; [33 32],[13.61111111 11.38888889] ; [35.38888889 29.61111111],0
n1,1,0.279642,1.168831,[1 2] ; [10  5],[1.83333333 1.16666667] ; [9.16666667 5.83333333],0
a6,1,0.290001,1.119617,[18  7] ; [39 26],[15.83333333  9.16666667] ; [41.16666667 23.83333333],0
b4,1,0.300661,1.071259,[17  8] ; [37 29],[14.83516484 10.16483516] ; [39.16483516 26.83516484],0
s1,1,0.320518,0.98683,[ 1 24] ; [ 7 59],[ 2.1978022 22.8021978] ; [ 5.8021978 60.1978022],0
p10,1,0.342481,0.901123,[23  1] ; [59  7],[21.86666667  2.13333333] ; [60.13333333  5.86666667],0
a2,1,0.423034,0.641871,[ 6 19] ; [11 55],[ 4.67032967 20.32967033] ; [12.32967033 53.67032967],0
v3,1,0.429098,0.625263,[12 12] ; [38 26],[13.63636364 10.36363636] ; [36.36363636 27.63636364],0
n3,1,0.435488,0.608144,[3 1] ; [8 7],[2.31578947 1.68421053] ; [8.68421053 6.31578947],0
p2,1,0.437598,0.602573,[20  4] ; [59  7],[21.06666667  2.93333333] ; [57.93333333  8.06666667],0
p4,1,0.453134,0.5628,[20  4] ; [58  7],[21.03370787  2.96629213] ; [56.96629213  8.03370787],0
d1,1,0.462269,0.540396,[15 10] ; [45 21],[16.48351648  8.51648352] ; [43.51648352 22.48351648],0
p1,1,0.466136,0.531121,[ 6 19] ; [21 45],[ 7.41758242 17.58241758] ; [19.58241758 46.41758242],0
u1,1,0.533978,0.386816,[ 6 19] ; [12 54],[ 4.94505495 20.05494505] ; [13.05494505 52.94505495],0
p11,1,0.577912,0.309623,[20  5] ; [56 10],[20.87912088  4.12087912] ; [55.12087912 10.87912088],0
s4,1,0.660595,0.192802,[ 4 19] ; [ 9 57],[ 3.35955056 19.64044944] ; [ 9.64044944 56.35955056],0
d5,1,0.66412,0.188558,[21  4] ; [52 13],[20.27777778  4.72222222] ; [52.72222222 12.27777778],0
b3,1,0.719938,0.128552,[9 9] ; [23 28],[8.34782609 9.65217391] ; [23.65217391 27.34782609],0
b2,1,0.719938,0.128552,[9 9] ; [23 28],[8.34782609 9.65217391] ; [23.65217391 27.34782609],0
p9,1,0.739308,0.110736,[23  2] ; [62  4],[23.35164835  1.64835165] ; [61.64835165  4.35164835],0
r3,1,0.739308,0.110736,[23  2] ; [62  4],[23.35164835  1.64835165] ; [61.64835165  4.35164835],0
v2,1,0.759131,0.094017,[14 10] ; [35 29],[13.36363636 10.63636364] ; [35.63636364 28.36363636],0
s5,1,0.792599,0.069136,[14  7] ; [40 23],[13.5  7.5] ; [40.5 22.5],0
n2,1,0.827472,0.0475,[3 1] ; [12  3],[3.15789474 0.84210526] ; [11.84210526  3.15789474],0
a8,1,0.841648,0.039914,[ 3 20] ; [ 9 52],[ 3.28571429 19.71428571] ; [ 8.71428571 52.28571429],0
u3,1,0.84822,0.03663,[5 3] ; [8 4],[5.2 2.8] ; [7.8 4.2],0
v1,1,0.850302,0.03562,[17  7] ; [44 20],[16.63636364  7.36363636] ; [44.36363636 19.63636364],0
u2,1,0.852179,0.034722,[5 3] ; [7 5],[4.8 3.2] ; [7.2 4.8],0
a5,1,0.897651,0.016545,[19  6] ; [51 15],[19.23076923  5.76923077] ; [50.76923077 15.23076923],0
a4,1,0.900932,0.015496,[11 14] ; [30 36],[11.26373626 13.73626374] ; [29.73626374 36.26373626],0
a7,1,0.9408,0.005515,[18  7] ; [47 19],[17.85714286  7.14285714] ; [47.14285714 18.85714286],0
d4,1,0.942484,0.005205,[21  4] ; [55 10],[21.11111111  3.88888889] ; [54.88888889 10.11111111],0
