Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,29.098437,[173  77] ; [25 48],[153.25077399  96.74922601] ; [44.74922601 28.25077399],1
d2,1,0.0,28.49413,[136 113] ; [14 59],[115.99378882 133.00621118] ; [34.00621118 38.99378882],1
a4,1,6.8e-05,15.877778,[121 128] ; [16 56],[106.27102804 142.72897196] ; [30.72897196 41.27102804],1
a3,1,0.000235,13.528348,[193  56] ; [40 32],[180.73831776  68.26168224] ; [52.26168224 19.73831776],1
u1,1,0.000563,11.893479,[ 54 196] ; [ 3 70],[ 44.11764706 205.88235294] ; [12.88235294 60.11764706],1
d3,1,0.001674,9.876913,[190  59] ; [42 31],[179.40372671  69.59627329] ; [52.59627329 20.40372671],0
d4,1,0.004169,8.20863,[220  28] ; [55 18],[212.46105919  35.53894081] ; [62.53894081 10.46105919],0
d5,1,0.011996,6.311473,[209  39] ; [52 21],[201.64485981  46.35514019] ; [59.35514019 13.64485981],0
a6,1,0.017391,5.656465,[173  75] ; [40 33],[164.56074766  83.43925234] ; [48.43925234 24.56074766],0
b3,1,0.021976,5.247646,[63 89] ; [ 9 32],[56.70466321 95.29533679] ; [15.29533679 25.70466321],0
b2,1,0.021976,5.247646,[63 89] ; [ 9 32],[56.70466321 95.29533679] ; [15.29533679 25.70466321],0
p10,1,0.023305,5.145658,[225  24] ; [58 14],[219.52336449  29.47663551] ; [63.47663551  8.52336449],0
p9,1,0.041557,4.153148,[229  21] ; [60 12],[224.37888199  25.62111801] ; [64.62111801  7.37888199],0
r1,1,0.045823,3.988091,[216  34] ; [56 17],[210.52631579  39.47368421] ; [61.47368421 11.52631579],0
p3,1,0.046434,3.965797,[168  81] ; [40 33],[160.8447205  88.1552795] ; [47.1552795 25.8447205],0
v2,1,0.058627,3.575803,[146  98] ; [33 37],[139.0955414 104.9044586] ; [39.9044586 30.0955414],0
r4,1,0.059915,3.539726,[240  10] ; [66  7],[236.84210526  13.15789474] ; [69.15789474  3.84210526],0
n6,1,0.083824,2.989154,[222  26] ; [59 13],[217.775  30.225] ; [63.225  8.775],0
s5,1,0.097739,2.742057,[123 121] ; [27 42],[116.93290735 127.06709265] ; [33.06709265 35.93290735],0
v1,1,0.097949,2.738622,[155  91] ; [37 34],[148.99684543  97.00315457] ; [43.00315457 27.99684543],0
s4,1,0.108756,2.572202,[ 47 200] ; [20 52],[ 51.87774295 195.12225705] ; [15.12225705 56.87774295],0
