Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p11,1,0.000119,14.80301,[ 4 29] ; [15 10],[10.81034483 22.18965517] ; [ 8.18965517 16.81034483],1
p7,1,0.000249,13.422743,[ 7 25] ; [17  7],[13.71428571 18.28571429] ; [10.28571429 13.71428571],1
s6,1,0.001029,10.774959,[ 5 28] ; [14 11],[10.81034483 22.18965517] ; [ 8.18965517 16.81034483],0
d2,1,0.001349,10.274635,[19 14] ; [ 4 21],[13.0862069 19.9137931] ; [ 9.9137931 15.0862069],0
v4,1,0.001891,9.652094,[11 22] ; [18  6],[16.78947368 16.21052632] ; [12.21052632 11.78947368],0
a5,1,0.001985,9.563343,[20 13] ; [ 5 20],[14.22413793 18.77586207] ; [10.77586207 14.22413793],0
p9,1,0.005827,7.603167,[10 22] ; [17  8],[15.15789474 16.84210526] ; [11.84210526 13.15789474],0
u2,1,0.006302,7.461735,[3 9] ; [11  3],[6.46153846 5.53846154] ; [7.53846154 6.46153846],0
s8,1,0.006314,7.458448,[ 1 32] ; [ 7 18],[ 4.55172414 28.44827586] ; [ 3.44827586 21.55172414],0
p6,1,0.011201,6.433117,[ 2 30] ; [ 8 17],[ 5.61403509 26.38596491] ; [ 4.38596491 20.61403509],0
s5,1,0.011201,6.433117,[ 2 30] ; [ 8 17],[ 5.61403509 26.38596491] ; [ 4.38596491 20.61403509],0
p10,1,0.015579,5.849787,[ 9 23] ; [15 10],[13.47368421 18.52631579] ; [10.52631579 14.47368421],0
a4,1,0.017937,5.602326,[15 18] ; [ 4 21],[10.81034483 22.18965517] ; [ 8.18965517 16.81034483],0
s4,1,0.027527,4.857436,[ 3 30] ; [ 8 17],[ 6.25862069 26.74137931] ; [ 4.74137931 20.25862069],0
p8,1,0.028318,4.808587,[ 4 28] ; [ 9 15],[ 7.42857143 24.57142857] ; [ 5.57142857 18.42857143],0
p4,1,0.030803,4.663915,[ 4 29] ; [ 9 16],[ 7.39655172 25.60344828] ; [ 5.60344828 19.39655172],0
a1,1,0.034983,4.445989,[ 8 25] ; [ 1 24],[ 5.12068966 27.87931034] ; [ 3.87931034 21.12068966],0
b5,1,0.036993,4.350753,[12 21] ; [16  9],[15.93103448 17.06896552] ; [12.06896552 12.93103448],0
b2,1,0.041819,4.142512,[10 11] ; [ 2 12],[ 7.2 13.8] ; [4.8 9.2],0
b3,1,0.041819,4.142512,[10 11] ; [ 2 12],[ 7.2 13.8] ; [4.8 9.2],0
s7,1,0.056491,3.637508,[ 5 26] ; [ 9 14],[ 8.03703704 22.96296296] ; [ 5.96296296 17.03703704],0
s2,1,0.065608,3.38961,[ 6 27] ; [10 15],[ 9.10344828 23.89655172] ; [ 6.89655172 18.10344828],0
a3,1,0.102542,2.665552,[21 11] ; [11 14],[17.96491228 14.03508772] ; [14.03508772 10.96491228],0
n4,1,0.103435,2.651763,[19 14] ; [ 9 16],[15.93103448 17.06896552] ; [12.06896552 12.93103448],0
n3,1,0.119437,2.424693,[ 6 12] ; [8 5],[8.12903226 9.87096774] ; [5.87096774 7.12903226],0
a6,1,0.11989,2.418759,[20 13] ; [10 15],[17.06896552 15.93103448] ; [12.93103448 12.06896552],0
v1,1,0.147144,2.101612,[ 9 24] ; [11 13],[11.57894737 21.42105263] ; [ 8.42105263 15.57894737],0
u3,1,0.149173,2.080688,[ 2 10] ; [6 8],[3.69230769 8.30769231] ; [4.30769231 9.69230769],0
r3,1,0.152881,2.043268,[11 22] ; [13 12],[13.65517241 19.34482759] ; [10.34482759 14.65517241],0
v3,1,0.168747,1.894037,[ 7 26] ; [ 2 23],[ 5.12068966 27.87931034] ; [ 3.87931034 21.12068966],0
d1,1,0.216074,1.530253,[13 20] ; [ 6 19],[10.81034483 22.18965517] ; [ 8.18965517 16.81034483],0
n1,1,0.219836,1.505439,[ 8 10] ; [ 3 10],[ 6.38709677 11.61290323] ; [4.61290323 8.38709677],0
v2,1,0.226685,1.461538,[ 8 24] ; [10 15],[10.10526316 21.89473684] ; [ 7.89473684 17.10526316],0
r1,1,0.260542,1.265873,[11 22] ; [ 5 20],[ 9.10344828 23.89655172] ; [ 6.89655172 18.10344828],0
s3,1,0.273637,1.198425,[12 20] ; [13 12],[14.03508772 17.96491228] ; [10.96491228 14.03508772],0
a7,1,0.339071,0.913939,[20 13] ; [12 13],[18.20689655 14.79310345] ; [13.79310345 11.20689655],0
p3,1,0.440973,0.59375,[ 4 28] ; [ 5 20],[ 5.05263158 26.94736842] ; [ 3.94736842 21.05263158],0
d5,1,0.512199,0.429573,[20 13] ; [13 12],[18.77586207 14.22413793] ; [14.22413793 10.77586207],0
n2,1,0.524116,0.405785,[9 9] ; [8 5],[9.87096774 8.12903226] ; [7.12903226 5.87096774],0
b1,1,0.561754,0.336676,[20 13] ; [17  8],[21.05172414 11.94827586] ; [15.94827586  9.05172414],0
r2,1,0.595302,0.282139,[19 13] ; [12 11],[18.03636364 13.96363636] ; [12.96363636 10.03636364],0
b4,1,0.621295,0.244052,[15 18] ; [13 12],[15.93103448 17.06896552] ; [12.06896552 12.93103448],0
d4,1,0.724301,0.124409,[20 13] ; [14 11],[19.34482759 13.65517241] ; [14.65517241 10.34482759],0
a8,1,0.740154,0.109991,[ 2 31] ; [ 2 22],[ 2.31578947 30.68421053] ; [ 1.68421053 22.31578947],0
n5,1,0.790896,0.070303,[17 16] ; [12 13],[16.5 16.5] ; [12.5 12.5],0
p5,1,0.858603,0.031739,[ 1 31] ; [ 1 24],[ 1.12280702 30.87719298] ; [ 0.87719298 24.12280702],0
d3,1,0.910051,0.012763,[16 17] ; [12 12],[16.21052632 16.78947368] ; [11.78947368 12.21052632],0
