Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,2e-06,22.438435,[41 12] ; [ 6 21],[31.1375 21.8625] ; [15.8625 11.1375],1
r3,1,1.7e-05,18.519041,[46  7] ; [11 16],[37.7625 15.2375] ; [19.2375  7.7625],1
p2,1,0.000209,13.744754,[35 18] ; [ 6 21],[27.1625 25.8375] ; [13.8375 13.1625],1
r2,1,0.004794,7.955373,[47  6] ; [16 10],[42.26582278 10.73417722] ; [20.73417722  5.26582278],0
a1,1,0.009299,6.7645,[ 2 51] ; [ 6 21],[ 5.3 47.7] ; [ 2.7 24.3],0
s6,1,0.018537,5.544721,[24 29] ; [ 5 22],[19.2125 33.7875] ; [ 9.7875 17.2125],0
p11,1,0.018537,5.544721,[24 29] ; [ 5 22],[19.2125 33.7875] ; [ 9.7875 17.2125],0
s2,1,0.040594,4.192872,[17 36] ; [ 3 24],[13.25 39.75] ; [ 6.75 20.25],0
n3,1,0.043829,4.063119,[16  5] ; [7 9],[13.05405405  7.94594595] ; [9.94594595 6.05405405],0
u2,1,0.05818,3.588517,[12  7] ; [3 8],[9.5 9.5] ; [5.5 5.5],0
r1,1,0.058421,3.581645,[37 16] ; [13 14],[33.125 19.875] ; [16.875 10.125],0
p7,1,0.06248,3.470303,[23 30] ; [ 6 21],[19.2125 33.7875] ; [ 9.7875 17.2125],0
d3,1,0.114218,2.494864,[29 23] ; [10 17],[25.67088608 26.32911392] ; [13.32911392 13.67088608],0
s3,1,0.122936,2.37951,[26 27] ; [ 8 18],[22.81012658 30.18987342] ; [11.18987342 14.81012658],0
p3,1,0.182528,1.776923,[17 35] ; [ 5 22],[14.48101266 37.51898734] ; [ 7.51898734 19.48101266],0
b3,1,0.213808,1.545455,[ 9 24] ; [ 8 10],[11. 22.] ; [ 6. 12.],0
b2,1,0.213808,1.545455,[ 9 24] ; [ 8 10],[11. 22.] ; [ 6. 12.],0
v1,1,0.224554,1.475031,[21 32] ; [ 7 20],[18.55 34.45] ; [ 9.45 17.55],0
b5,1,0.233466,1.419621,[31 22] ; [12 15],[28.4875 24.5125] ; [14.5125 12.4875],0
a6,1,0.242656,1.365099,[34 18] ; [14 13],[31.59493671 20.40506329] ; [16.40506329 10.59493671],0
p4,1,0.27858,1.174004,[18 35] ; [ 6 21],[15.9 37.1] ; [ 8.1 18.9],0
a4,1,0.288327,1.127417,[19 34] ; [13 14],[21.2 31.8] ; [10.8 16.2],0
n2,1,0.29148,1.112772,[14  9] ; [7 9],[12.38461538 10.61538462] ; [8.61538462 7.38461538],0
b4,1,0.297128,1.087041,[32 21] ; [13 14],[29.8125 23.1875] ; [15.1875 11.8125],0
s7,1,0.310454,1.028744,[11 38] ; [ 3 21],[ 9.39726027 39.60273973] ; [ 4.60273973 19.39726027],0
d2,1,0.330461,0.947089,[21 31] ; [14 13],[23.03797468 28.96202532] ; [11.96202532 15.03797468],0
p8,1,0.352752,0.863532,[13 40] ; [ 4 22],[11.40506329 41.59493671] ; [ 5.59493671 20.40506329],0
d5,1,0.375463,0.785505,[36 16] ; [16 11],[34.2278481 17.7721519] ; [17.7721519  9.2278481],0
b1,1,0.387654,0.746287,[28 25] ; [17 10],[29.8125 23.1875] ; [15.1875 11.8125],0
n1,1,0.400571,0.706612,[ 8 14] ; [8 8],[ 9.26315789 12.73684211] ; [6.73684211 9.26315789],0
n5,1,0.455551,0.556805,[19 34] ; [12 15],[20.5375 32.4625] ; [10.4625 16.5375],0
d4,1,0.457821,0.551216,[37 15] ; [17 10],[35.5443038 16.4556962] ; [18.4556962  8.5443038],0
p9,1,0.463386,0.537704,[18 35] ; [ 7 20],[16.5625 36.4375] ; [ 8.4375 18.5625],0
n4,1,0.48056,0.497593,[27 26] ; [16 11],[28.4875 24.5125] ; [14.5125 12.4875],0
v2,1,0.500664,0.453529,[19 32] ; [ 8 19],[17.65384615 33.34615385] ; [ 9.34615385 17.65384615],0
p6,1,0.599742,0.275385,[10 41] ; [ 4 23],[ 9.15384615 41.84615385] ; [ 4.84615385 22.15384615],0
p1,1,0.612034,0.257224,[ 4 48] ; [ 3 24],[ 4.60759494 47.39240506] ; [ 2.39240506 24.60759494],0
s1,1,0.612034,0.257224,[ 4 48] ; [ 3 24],[ 4.60759494 47.39240506] ; [ 2.39240506 24.60759494],0
a5,1,0.699416,0.14908,[31 22] ; [17 10],[31.8 21.2] ; [16.2 10.8],0
v3,1,0.713098,0.135203,[11 37] ; [ 5 21],[10.37837838 37.62162162] ; [ 5.62162162 20.37837838],0
d1,1,0.785126,0.074335,[18 35] ; [10 17],[18.55 34.45] ; [ 9.45 17.55],0
a7,1,0.801733,0.063054,[31 22] ; [15 12],[30.475 22.525] ; [15.525 11.475],0
a8,1,0.835751,0.042986,[ 5 45] ; [ 3 23],[ 5.26315789 44.73684211] ; [ 2.73684211 23.26315789],0
a2,1,0.864126,0.029284,[ 9 44] ; [ 5 22],[ 9.275 43.725] ; [ 4.725 22.275],0
s5,1,0.92233,0.009506,[ 7 43] ; [ 4 23],[ 7.14285714 42.85714286] ; [ 3.85714286 23.14285714],0
a3,1,0.950205,0.0039,[33 20] ; [16 10],[32.87341772 20.12658228] ; [16.12658228  9.87341772],0
s4,1,0.973588,0.001096,[ 8 45] ; [ 4 23],[ 7.95 45.05] ; [ 4.05 22.95],0
