Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p1,1,1e-06,23.810803,[3 1] ; [ 20 254],[0.33093525 3.66906475] ; [ 22.66906475 251.33093525],1
a1,1,0.051883,3.779534,[1 3] ; [ 12 263],[0.18637993 3.81362007] ; [ 12.81362007 262.18637993],0
p9,1,0.172749,1.858927,[2 2] ; [211  58],[3.12087912 0.87912088] ; [209.87912088  59.12087912],0
r3,1,0.184928,1.757569,[3 1] ; [253  20],[3.6967509 0.3032491] ; [252.3032491  20.6967509],0
p4,1,0.202617,1.623412,[1 3] ; [154 117],[2.25454545 1.74545455] ; [152.74545455 118.25454545],0
p10,1,0.22461,1.474671,[2 2] ; [208  65],[3.03249097 0.96750903] ; [206.96750903  66.03249097],0
p8,1,0.243676,1.359201,[3 1] ; [123 146],[1.84615385 2.15384615] ; [124.15384615 144.84615385],0
v4,1,0.259651,1.270614,[3 1] ; [250  24],[3.64028777 0.35971223] ; [249.35971223  24.64028777],0
s6,1,0.272786,1.202685,[1 3] ; [142 128],[2.08759124 1.91240876] ; [140.91240876 129.08759124],0
s7,1,0.328785,0.953678,[2 2] ; [ 73 189],[1.12781955 2.87218045] ; [ 73.87218045 188.12781955],0
s4,1,0.46294,0.538777,[1 3] ; [ 34 235],[0.51282051 3.48717949] ; [ 34.48717949 234.51282051],0
a4,1,0.494385,0.466968,[3 1] ; [159 115],[2.33093525 1.66906475] ; [159.66906475 114.33093525],0
a2,1,0.497747,0.459738,[2 2] ; [ 93 182],[1.36200717 2.63799283] ; [ 93.63799283 181.36200717],0
s2,1,0.537873,0.379497,[2 2] ; [ 96 177],[1.41516245 2.58483755] ; [ 96.58483755 176.41516245],0
b5,1,0.542844,0.370294,[3 1] ; [165 110],[2.40860215 1.59139785] ; [165.59139785 109.40860215],0
s3,1,0.542891,0.370209,[1 3] ; [108 162],[1.59124088 2.40875912] ; [107.40875912 162.59124088],0
n3,1,0.557834,0.343469,[1 1] ; [50 22],[1.37837838 0.62162162] ; [49.62162162 22.37837838],0
r4,1,0.592696,0.286153,[3 1] ; [233  42],[3.38351254 0.61648746] ; [232.61648746  42.38351254],0
b1,1,0.658919,0.194839,[1 3] ; [ 98 177],[1.41935484 2.58064516] ; [ 97.58064516 177.41935484],0
b4,1,0.674171,0.176762,[2 2] ; [166 109],[2.40860215 1.59139785] ; [165.59139785 109.40860215],0
n2,1,0.707372,0.140916,[1 1] ; [46 27],[1.25333333 0.74666667] ; [45.74666667 27.25333333],0
n6,1,0.729058,0.119978,[3 1] ; [224  50],[3.26618705 0.73381295] ; [223.73381295  50.26618705],0
p3,1,0.741535,0.108782,[1 2] ; [116 155],[1.2810219 1.7189781] ; [115.7189781 155.2810219],0
p7,1,0.771194,0.084572,[2 2] ; [154 115],[2.28571429 1.71428571] ; [153.71428571 115.28571429],0
r1,1,0.798082,0.065449,[3 1] ; [218  54],[3.20289855 0.79710145] ; [217.79710145  54.20289855],0
p6,1,0.841731,0.039872,[1 3] ; [ 79 188],[1.18081181 2.81918819] ; [ 78.81918819 188.18081181],0
p2,1,0.850089,0.035723,[3 1] ; [213  57],[3.15328467 0.84671533] ; [212.84671533  57.15328467],0
a7,1,0.892929,0.018117,[3 1] ; [214  61],[3.11111111 0.88888889] ; [213.88888889  61.11111111],0
u1,1,0.921339,0.009751,[1 3] ; [ 63 212],[0.91756272 3.08243728] ; [ 63.08243728 211.91756272],0
p11,1,0.983468,0.000429,[3 1] ; [205  70],[2.98207885 1.01792115] ; [205.01792115  69.98207885],0
