Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,5.6e-05,16.2289,[21 21] ; [ 2 30],[13.05405405 28.94594595] ; [ 9.94594595 22.05405405],1
d4,1,0.000145,14.436937,[31 11] ; [ 9 22],[23.01369863 18.98630137] ; [16.98630137 14.01369863],1
a5,1,0.002047,9.506461,[27 15] ; [ 9 23],[20.43243243 21.56756757] ; [15.56756757 16.43243243],0
b1,1,0.006835,7.315877,[29 13] ; [12 20],[23.27027027 18.72972973] ; [17.72972973 14.27027027],0
d2,1,0.009584,6.710593,[24 17] ; [ 9 23],[18.53424658 22.46575342] ; [14.46575342 17.53424658],0
p10,1,0.017655,5.630109,[12 30] ; [ 2 29],[ 8.05479452 33.94520548] ; [ 5.94520548 25.05479452],0
v4,1,0.019691,5.439109,[34  7] ; [18 13],[29.61111111 11.38888889] ; [22.38888889  8.61111111],0
d3,1,0.037012,4.349879,[19 23] ; [ 7 25],[14.75675676 27.24324324] ; [11.24324324 20.75675676],0
r3,1,0.039844,4.224516,[33  9] ; [18 14],[28.94594595 13.05405405] ; [22.05405405  9.94594595],0
a3,1,0.043818,4.06358,[23 19] ; [10 22],[18.72972973 23.27027027] ; [14.27027027 17.72972973],0
a4,1,0.046347,3.96895,[17 24] ; [ 6 25],[13.09722222 27.90277778] ; [ 9.90277778 21.09722222],0
v2,1,0.066191,3.375029,[17 25] ; [ 6 24],[13.41666667 28.58333333] ; [ 9.58333333 20.41666667],0
p8,1,0.084066,2.98449,[14 28] ; [ 5 27],[10.78378378 31.21621622] ; [ 8.21621622 23.78378378],0
p1,1,0.08578,2.951829,[ 1 41] ; [ 4 28],[ 2.83783784 39.16216216] ; [ 2.16216216 29.83783784],0
s7,1,0.10348,2.651072,[13 25] ; [ 5 25],[10.05882353 27.94117647] ; [ 7.94117647 22.05882353],0
n3,1,0.12663,2.333333,[ 6 10] ; [8 4],[8. 8.] ; [6. 6.],0
s8,1,0.13272,2.260401,[11 30] ; [ 4 28],[ 8.42465753 32.57534247] ; [ 6.57534247 25.42465753],0
u3,1,0.177356,1.819642,[10  9] ; [ 7 15],[ 7.87804878 11.12195122] ; [ 9.12195122 12.87804878],0
r1,1,0.237136,1.397542,[28 14] ; [17 15],[25.54054054 16.45945946] ; [19.45945946 12.54054054],0
s2,1,0.23766,1.394421,[17 24] ; [ 9 23],[14.60273973 26.39726027] ; [11.39726027 20.60273973],0
r2,1,0.281225,1.161161,[33  7] ; [23  9],[31.11111111  8.88888889] ; [24.88888889  7.11111111],0
p6,1,0.323,0.976759,[ 9 32] ; [ 4 27],[ 7.40277778 33.59722222] ; [ 5.59722222 25.40277778],0
u2,1,0.356093,0.851624,[10  8] ; [ 9 13],[8.55 9.45] ; [10.45 11.55],0
s6,1,0.369778,0.804409,[17 24] ; [10 22],[15.16438356 25.83561644] ; [11.83561644 20.16438356],0
p4,1,0.398086,0.714099,[14 27] ; [ 8 24],[12.35616438 28.64383562] ; [ 9.64383562 22.35616438],0
b3,1,0.404248,0.695652,[ 5 20] ; [ 7 16],[ 6.25 18.75] ; [ 5.75 17.25],0
b2,1,0.404248,0.695652,[ 5 20] ; [ 7 16],[ 6.25 18.75] ; [ 5.75 17.25],0
s5,1,0.417729,0.656695,[11 30] ; [ 6 26],[ 9.54794521 31.45205479] ; [ 7.45205479 24.54794521],0
p3,1,0.437159,0.60373,[14 28] ; [ 8 24],[12.48648649 29.51351351] ; [ 9.51351351 22.48648649],0
r4,1,0.448227,0.57513,[26 16] ; [17 15],[24.40540541 17.59459459] ; [18.59459459 13.40540541],0
a1,1,0.448909,0.573406,[ 3 39] ; [ 1 31],[ 2.27027027 39.72972973] ; [ 1.72972973 30.27027027],0
v3,1,0.483696,0.490518,[12 28] ; [ 7 24],[10.70422535 29.29577465] ; [ 8.29577465 22.70422535],0
p7,1,0.526171,0.401781,[21 20] ; [14 18],[19.65753425 21.34246575] ; [15.34246575 16.65753425],0
p2,1,0.548742,0.359576,[20 22] ; [13 19],[18.72972973 23.27027027] ; [14.27027027 17.72972973],0
n6,1,0.582013,0.302991,[25 17] ; [17 15],[23.83783784 18.16216216] ; [18.16216216 13.83783784],0
n5,1,0.593692,0.284615,[21 21] ; [18 14],[22.13513514 19.86486486] ; [16.86486486 15.13513514],0
