Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.002559,9.098181,[ 6 21] ; [11  5],[10.6744186 16.3255814] ; [6.3255814 9.6744186],0
a3,1,0.00824,6.980519,[ 9 18] ; [12  4],[13.18604651 13.81395349] ; [7.81395349 8.18604651],0
b3,1,0.012511,6.236919,[ 1 15] ; [6 7],[ 3.86206897 12.13793103] ; [3.13793103 9.86206897],0
b2,1,0.012511,6.236919,[ 1 15] ; [6 7],[ 3.86206897 12.13793103] ; [3.13793103 9.86206897],0
n1,1,0.035391,4.42619,[ 2 10] ; [6 4],[4.36363636 7.63636364] ; [3.63636364 6.36363636],0
a4,1,0.035554,4.41837,[ 4 23] ; [7 9],[ 6.90697674 20.09302326] ; [ 4.09302326 11.90697674],0
p5,1,0.046658,3.957692,[ 2 24] ; [ 5 11],[ 4.33333333 21.66666667] ; [ 2.66666667 13.33333333],0
v3,1,0.102228,2.670433,[ 4 22] ; [ 6 10],[ 6.19047619 19.80952381] ; [ 3.80952381 12.19047619],0
a2,1,0.107557,2.589756,[ 2 25] ; [ 4 12],[ 3.76744186 23.23255814] ; [ 2.23255814 13.76744186],0
s5,1,0.109454,2.562092,[ 2 23] ; [ 4 11],[ 3.75 21.25] ; [ 2.25 12.75],0
s7,1,0.114659,2.488796,[ 9 17] ; [9 6],[11.41463415 14.58536585] ; [6.58536585 8.41463415],0
r2,1,0.125698,2.344845,[17  8] ; [6 8],[14.74358974 10.25641026] ; [8.25641026 5.74358974],0
s8,1,0.129588,2.297436,[ 7 19] ; [8 8],[ 9.28571429 16.71428571] ; [ 5.71428571 10.28571429],0
d5,1,0.133444,2.251969,[14 13] ; [12  4],[16.3255814 10.6744186] ; [9.6744186 6.3255814],0
d1,1,0.137348,2.207425,[ 6 21] ; [7 9],[ 8.1627907 18.8372093] ; [ 4.8372093 11.1627907],0
u3,1,0.148795,2.084559,[ 6 11] ; [3 1],[7.28571429 9.71428571] ; [1.71428571 2.28571429],0
v4,1,0.160995,1.964857,[21  4] ; [9 5],[19.23076923  5.76923077] ; [10.76923077  3.23076923],0
a5,1,0.167665,1.9037,[11 16] ; [10  6],[13.18604651 13.81395349] ; [7.81395349 8.18604651],0
p9,1,0.171857,1.866667,[16 11] ; [12  3],[18.  9.] ; [10.  5.],0
p2,1,0.190969,1.710129,[21  5] ; [10  6],[19.19047619  6.80952381] ; [11.80952381  4.19047619],0
d4,1,0.202289,1.625772,[15 12] ; [12  4],[16.95348837 10.04651163] ; [10.04651163  5.95348837],0
d2,1,0.227954,1.453584,[ 7 20] ; [7 9],[ 8.79069767 18.20930233] ; [ 5.20930233 10.79069767],0
s6,1,0.241279,1.373108,[ 9 17] ; [8 7],[10.7804878 15.2195122] ; [6.2195122 8.7804878],0
b4,1,0.252252,1.310786,[15 12] ; [ 6 10],[13.18604651 13.81395349] ; [7.81395349 8.18604651],0
s1,1,0.262062,1.257834,[ 2 25] ; [ 3 13],[ 3.13953488 23.86046512] ; [ 1.86046512 14.13953488],0
u1,1,0.273769,1.197762,[ 1 26] ; [ 2 14],[ 1.88372093 25.11627907] ; [ 1.11627907 14.88372093],0
b1,1,0.324343,0.971352,[11 16] ; [9 7],[12.55813953 14.44186047] ; [7.44186047 8.55813953],0
d3,1,0.361757,0.831783,[13 14] ; [10  6],[14.44186047 12.55813953] ; [8.55813953 7.44186047],0
n4,1,0.361757,0.831783,[13 14] ; [10  6],[14.44186047 12.55813953] ; [8.55813953 7.44186047],0
p4,1,0.368803,0.807692,[16 10] ; [12  4],[17.33333333  8.66666667] ; [10.66666667  5.33333333],0
n6,1,0.386095,0.751205,[19  7] ; [9 6],[17.75609756  8.24390244] ; [10.24390244  4.75609756],0
s3,1,0.393854,0.727011,[ 9 16] ; [7 7],[10.25641026 14.74358974] ; [5.74358974 8.25641026],0
s4,1,0.429324,0.624651,[ 8 19] ; [ 3 13],[ 6.90697674 20.09302326] ; [ 4.09302326 11.90697674],0
p7,1,0.47522,0.509814,[16  7] ; [12  3],[16.94736842  6.05263158] ; [11.05263158  3.94736842],0
a6,1,0.496744,0.461887,[14 13] ; [10  6],[15.06976744 11.93023256] ; [8.93023256 7.06976744],0
n5,1,0.570435,0.321955,[15 11] ; [10  5],[15.85365854 10.14634146] ; [9.14634146 5.85365854],0
p1,1,0.570718,0.321483,[ 3 23] ; [ 1 15],[ 2.47619048 23.52380952] ; [ 1.52380952 14.47619048],0
p11,1,0.590308,0.289864,[20  7] ; [13  3],[20.72093023  6.27906977] ; [12.27906977  3.72093023],0
r3,1,0.653173,0.201923,[18  8] ; [10  6],[17.33333333  8.66666667] ; [10.66666667  5.33333333],0
n3,1,0.695895,0.152778,[5 7] ; [5 5],[5.45454545 6.54545455] ; [4.54545455 5.45454545],0
a1,1,0.701537,0.146878,[ 1 26] ; [ 1 15],[ 1.25581395 25.74418605] ; [ 0.74418605 15.25581395],0
