Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,37.80987,[102  13] ; [28 33],[84.94318182 30.05681818] ; [45.05681818 15.94318182],1
v2,1,4.1e-05,16.83708,[58 46] ; [14 47],[45.38181818 58.61818182] ; [26.61818182 34.38181818],1
d4,1,8.9e-05,15.349508,[92 22] ; [32 29],[80.77714286 33.22285714] ; [43.22285714 17.77714286],1
r2,1,0.000689,11.518743,[104  11] ; [43 18],[96.05113636 18.94886364] ; [50.94886364 10.05113636],1
a7,1,0.008452,6.935034,[89 26] ; [35 25],[81.48571429 33.51428571] ; [42.51428571 17.48571429],0
d5,1,0.008843,6.8542,[84 31] ; [32 28],[76.22857143 38.77142857] ; [39.77142857 20.22857143],0
b4,1,0.011086,6.451495,[72 43] ; [26 35],[64.03409091 50.96590909] ; [33.96590909 27.03409091],0
v4,1,0.012166,6.286472,[106   8] ; [49 12],[100.97142857  13.02857143] ; [54.02857143  6.97142857],0
r3,1,0.016565,5.741899,[103  11] ; [47 14],[97.71428571 16.28571429] ; [52.28571429  8.71428571],0
d1,1,0.024868,5.033074,[52 63] ; [17 44],[45.08522727 69.91477273] ; [23.91477273 37.08522727],0
a6,1,0.02702,4.889501,[78 37] ; [31 30],[71.22159091 43.77840909] ; [37.77840909 23.22159091],0
d3,1,0.036455,4.375703,[79 36] ; [31 28],[72.70114943 42.29885057] ; [37.29885057 21.70114943],0
v1,1,0.046648,3.958038,[48 63] ; [17 44],[41.94767442 69.05232558] ; [23.05232558 37.94767442],0
a3,1,0.054398,3.700431,[72 43] ; [29 32],[65.99431818 49.00568182] ; [35.00568182 25.99431818],0
a4,1,0.058243,3.586714,[36 79] ; [11 50],[30.71022727 84.28977273] ; [16.28977273 44.71022727],0
v3,1,0.061382,3.499634,[29 77] ; [ 9 52],[24.11976048 81.88023952] ; [13.88023952 47.11976048],0
u2,1,0.06497,3.405744,[28 13] ; [15 17],[24.15068493 16.84931507] ; [18.84931507 13.15068493],0
u3,1,0.06497,3.405744,[28 13] ; [15 17],[24.15068493 16.84931507] ; [18.84931507 13.15068493],0
s6,1,0.065926,3.381643,[55 60] ; [20 40],[49.28571429 65.71428571] ; [25.71428571 34.28571429],0
