Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.001436,10.15873,[ 5 25] ; [7 3],[ 9. 21.] ; [3. 7.],0
v3,1,0.007528,7.142362,[ 5 29] ; [6 5],[ 8.31111111 25.68888889] ; [2.68888889 8.31111111],0
s6,1,0.011953,6.317796,[13 21] ; [9 2],[16.62222222 17.37777778] ; [5.37777778 5.62222222],0
r1,1,0.025199,5.010171,[ 9 25] ; [7 4],[12.08888889 21.91111111] ; [3.91111111 7.08888889],0
u3,1,0.084903,2.96846,[ 6 12] ; [5 2],[ 7.92 10.08] ; [3.08 3.92],0
s2,1,0.104999,2.627917,[ 7 27] ; [5 6],[ 9.06666667 24.93333333] ; [2.93333333 8.06666667],0
s3,1,0.163148,1.944802,[ 8 26] ; [5 6],[ 9.82222222 24.17777778] ; [3.17777778 7.82222222],0
p2,1,0.172831,1.858217,[24 10] ; [10  1],[25.68888889  8.31111111] ; [8.31111111 2.68888889],0
n1,1,0.196706,1.666667,[ 2 13] ; [2 3],[ 3. 12.] ; [1. 4.],0
v2,1,0.218685,1.512982,[16 17] ; [3 8],[14.25 18.75] ; [4.75 6.25],0
a4,1,0.228136,1.452445,[ 9 25] ; [ 1 10],[ 7.55555556 26.44444444] ; [2.44444444 8.55555556],0
n5,1,0.257264,1.283422,[22 12] ; [5 6],[20.4 13.6] ; [6.6 4.4],0
p9,1,0.262193,1.257143,[21 12] ; [9 2],[22.5 10.5] ; [7.5 3.5],0
d4,1,0.286592,1.135563,[22 12] ; [9 2],[23.42222222 10.57777778] ; [7.57777778 3.42222222],0
d3,1,0.321553,0.98262,[19 15] ; [8 3],[20.4 13.6] ; [6.6 4.4],0
n4,1,0.33904,0.914058,[16 18] ; [7 4],[17.37777778 16.62222222] ; [5.62222222 5.37777778],0
u2,1,0.340904,0.907029,[12  6] ; [6 1],[12.96  5.04] ; [5.04 1.96],0
s1,1,0.389625,0.740113,[ 1 33] ; [ 1 10],[ 1.51111111 32.48888889] ; [ 0.48888889 10.51111111],0
d5,1,0.43008,0.622609,[23 11] ; [6 5],[21.91111111 12.08888889] ; [7.08888889 3.91111111],0
b1,1,0.43008,0.622609,[23 11] ; [6 5],[21.91111111 12.08888889] ; [7.08888889 3.91111111],0
n3,1,0.436275,0.606061,[9 6] ; [2 3],[8.25 6.75] ; [2.75 2.25],0
d2,1,0.464106,0.535975,[10 24] ; [2 9],[ 9.06666667 24.93333333] ; [2.93333333 8.06666667],0
p3,1,0.469221,0.52381,[13 20] ; [3 8],[12. 21.] ; [4. 7.],0
s5,1,0.487842,0.481283,[ 6 28] ; [3 8],[ 6.8 27.2] ; [2.2 8.8],0
b2,1,0.520146,0.413603,[ 7 13] ; [1 4],[ 6.4 13.6] ; [1.6 3.4],0
b3,1,0.520146,0.413603,[ 7 13] ; [1 4],[ 6.4 13.6] ; [1.6 3.4],0
p4,1,0.534925,0.385027,[18 16] ; [7 4],[18.88888889 15.11111111] ; [6.11111111 4.88888889],0
a3,1,0.534925,0.385027,[16 18] ; [4 7],[15.11111111 18.88888889] ; [4.88888889 6.11111111],0
a6,1,0.546783,0.363111,[19 15] ; [5 6],[18.13333333 15.86666667] ; [5.86666667 5.13333333],0
b4,1,0.546783,0.363111,[15 19] ; [6 5],[15.86666667 18.13333333] ; [5.13333333 5.86666667],0
v1,1,0.623743,0.240642,[12 22] ; [3 8],[11.33333333 22.66666667] ; [3.66666667 7.33333333],0
r4,1,0.67096,0.180481,[13 21] ; [5 6],[13.6 20.4] ; [4.4 6.6],0
p6,1,0.677856,0.172549,[ 8 25] ; [2 9],[ 7.5 25.5] ; [2.5 8.5],0
s4,1,0.71077,0.13751,[ 8 26] ; [2 9],[ 7.55555556 26.44444444] ; [2.44444444 8.55555556],0
d1,1,0.751731,0.100083,[11 23] ; [3 8],[10.57777778 23.42222222] ; [3.42222222 7.57777778],0
p11,1,0.751731,0.100083,[23 11] ; [8 3],[23.42222222 10.57777778] ; [7.57777778 3.42222222],0
a5,1,0.802816,0.062353,[14 20] ; [5 6],[14.35555556 19.64444444] ; [4.64444444 6.35555556],0
r3,1,0.862308,0.03008,[27  7] ; [9 2],[27.2  6.8] ; [8.8 2.2],0
a7,1,0.926137,0.008594,[18 16] ; [6 5],[18.13333333 15.86666667] ; [5.86666667 5.13333333],0
b5,1,0.926137,0.008594,[18 16] ; [6 5],[18.13333333 15.86666667] ; [5.86666667 5.13333333],0
p7,1,0.938176,0.006016,[19 15] ; [6 5],[18.88888889 15.11111111] ; [6.11111111 4.88888889],0
p8,1,0.938176,0.006016,[15 19] ; [5 6],[15.11111111 18.88888889] ; [4.88888889 6.11111111],0
n6,1,0.948642,0.004149,[22 12] ; [7 4],[21.91111111 12.08888889] ; [7.08888889 3.91111111],0
n2,1,1.0,0.0,[9 6] ; [3 2],[9. 6.] ; [3. 2.],0
