Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.0022,9.375,[54  6] ; [26 14],[48. 12.] ; [32.  8.],0
p9,1,0.002849,8.902004,[25 35] ; [ 5 33],[18.36734694 41.63265306] ; [11.63265306 26.36734694],0
a6,1,0.004077,8.249158,[40 20] ; [15 25],[33. 27.] ; [22. 18.],0
p7,1,0.012419,6.25,[30 30] ; [10 30],[24. 36.] ; [16. 24.],0
a7,1,0.020117,5.401681,[41 19] ; [18 22],[35.4 24.6] ; [23.6 16.4],0
s1,1,0.025434,4.99409,[ 1 59] ; [ 5 35],[ 3.6 56.4] ; [ 2.4 37.6],0
p8,1,0.033762,4.506724,[22 37] ; [ 7 33],[17.28282828 41.71717172] ; [11.71717172 28.28282828],0
b3,1,0.049956,3.84294,[ 7 30] ; [ 9 12],[10.20689655 26.79310345] ; [ 5.79310345 15.20689655],0
b2,1,0.049956,3.84294,[ 7 30] ; [ 9 12],[10.20689655 26.79310345] ; [ 5.79310345 15.20689655],0
p11,1,0.060338,3.528078,[34 26] ; [15 25],[29.4 30.6] ; [19.6 20.4],0
u2,1,0.073474,3.203661,[ 7 16] ; [11  8],[ 9.85714286 13.14285714] ; [ 8.14285714 10.85714286],0
p3,1,0.080929,3.046154,[24 36] ; [ 9 30],[20. 40.] ; [13. 26.],0
r3,1,0.089849,2.877085,[56  4] ; [33  7],[53.4  6.6] ; [35.6  4.4],0
n3,1,0.103388,2.652483,[17  4] ; [9 7],[14.75675676  6.24324324] ; [11.24324324  4.75675676],0
p4,1,0.131159,2.278738,[25 34] ; [11 29],[21.45454545 37.54545455] ; [14.54545455 25.45454545],0
s6,1,0.145438,2.11946,[19 41] ; [18 21],[22.42424242 37.57575758] ; [14.57575758 24.42424242],0
s8,1,0.198128,1.656117,[12 48] ; [ 4 35],[ 9.6969697 50.3030303] ; [ 6.3030303 32.6969697],0
r1,1,0.199183,1.648352,[42 18] ; [23 17],[39. 21.] ; [26. 14.],0
v1,1,0.246112,1.345242,[25 34] ; [12 27],[22.2755102 36.7244898] ; [14.7244898 24.2755102],0
u1,1,0.253775,1.302401,[ 7 53] ; [ 2 38],[ 5.4 54.6] ; [ 3.6 36.4],0
s4,1,0.274598,1.193634,[ 6 54] ; [ 7 33],[ 7.8 52.2] ; [ 5.2 34.8],0
a8,1,0.281804,1.158371,[ 6 47] ; [ 2 38],[ 4.55913978 48.44086022] ; [ 3.44086022 36.55913978],0
s2,1,0.311768,1.023169,[14 46] ; [13 27],[16.2 43.8] ; [10.8 29.2],0
n4,1,0.319219,0.992146,[27 33] ; [14 26],[24.6 35.4] ; [16.4 23.6],0
n6,1,0.32709,0.960384,[33 27] ; [18 22],[30.6 29.4] ; [20.4 19.6],0
a2,1,0.361065,0.834185,[ 8 52] ; [ 3 37],[ 6.6 53.4] ; [ 4.4 35.6],0
p6,1,0.370011,0.803629,[13 44] ; [ 6 33],[11.28125 45.71875] ; [ 7.71875 31.28125],0
d4,1,0.375096,0.786713,[45 15] ; [33  7],[46.8 13.2] ; [31.2  8.8],0
a3,1,0.400131,0.707931,[36 23] ; [21 19],[33.96969697 25.03030303] ; [23.03030303 16.96969697],0
d3,1,0.404657,0.694444,[38 22] ; [22 18],[36. 24.] ; [24. 16.],0
b5,1,0.404657,0.694444,[38 22] ; [22 18],[36. 24.] ; [24. 16.],0
d2,1,0.404657,0.694444,[22 38] ; [18 22],[24. 36.] ; [16. 24.],0
b1,1,0.414216,0.666667,[28 32] ; [22 18],[30. 30.] ; [20. 20.],0
n2,1,0.477897,0.503658,[14  6] ; [10  7],[12.97297297  7.02702703] ; [11.02702703  5.97297297],0
v3,1,0.482162,0.49397,[13 43] ; [11 26],[14.4516129 41.5483871] ; [ 9.5483871 27.4516129],0
r4,1,0.528833,0.396633,[44 16] ; [27 13],[42.6 17.4] ; [28.4 11.6],0
a1,1,0.531971,0.390625,[ 3 57] ; [ 1 39],[ 2.4 57.6] ; [ 1.6 38.4],0
s3,1,0.570121,0.322479,[23 36] ; [13 26],[21.67346939 37.32653061] ; [14.32653061 24.67346939],0
v2,1,0.58912,0.291721,[29 30] ; [17 22],[27.69387755 31.30612245] ; [18.30612245 20.69387755],0
d1,1,0.619689,0.246305,[24 36] ; [18 22],[25.2 34.8] ; [16.8 23.2],0
u3,1,0.657848,0.196149,[11 13] ; [10  9],[11.72093023 12.27906977] ; [9.27906977 9.72093023],0
d5,1,0.66868,0.18315,[38 22] ; [27 13],[39. 21.] ; [26. 14.],0
n1,1,0.696574,0.152061,[ 5 16] ; [ 5 12],[ 5.52631579 15.47368421] ; [ 4.47368421 12.52631579],0
s5,1,0.708895,0.139383,[ 9 49] ; [ 7 31],[ 9.66666667 48.33333333] ; [ 6.33333333 31.66666667],0
p1,1,0.715738,0.132613,[ 4 55] ; [ 2 38],[ 3.57575758 55.42424242] ; [ 2.42424242 37.57575758],0
a4,1,0.728375,0.120609,[19 41] ; [14 26],[19.8 40.2] ; [13.2 26.8],0
r2,1,0.823162,0.049943,[50 10] ; [31  7],[49.59183673 10.40816327] ; [31.40816327  6.59183673],0
a5,1,0.869869,0.026838,[32 28] ; [22 18],[32.4 27.6] ; [21.6 18.4],0
s7,1,0.911896,0.012243,[13 43] ; [ 8 28],[12.7826087 43.2173913] ; [ 8.2173913 27.7826087],0
b4,1,0.934078,0.006842,[35 25] ; [23 17],[34.8 25.2] ; [23.2 16.8],0
