Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,37.636392,[ 1 23] ; [72 27],[14.24390244  9.75609756] ; [58.75609756 40.24390244],1
d4,1,0.0,37.629452,[ 9 15] ; [91  8],[19.51219512  4.48780488] ; [80.48780488 18.51219512],1
a4,1,0.000235,13.525071,[ 3 20] ; [55 44],[10.93442623 12.06557377] ; [47.06557377 51.93442623],1
d3,1,0.000345,12.807219,[ 9 15] ; [74 24],[16.32786885  7.67213115] ; [66.67213115 31.32786885],1
p9,1,0.000862,11.102831,[15  9] ; [89 10],[20.29268293  3.70731707] ; [83.70731707 15.29268293],1
p10,1,0.001579,9.983901,[13 10] ; [84 14],[18.43801653  4.56198347] ; [78.56198347 19.43801653],0
p2,1,0.004624,8.020826,[17  7] ; [91  8],[21.07317073  2.92682927] ; [86.92682927 12.07317073],0
a5,1,0.0084,6.946113,[11 13] ; [73 26],[16.3902439  7.6097561] ; [67.6097561 31.3902439],0
p12,1,0.011803,6.340273,[ 5 19] ; [ 5 93],[ 1.96721311 22.03278689] ; [ 8.03278689 89.96721311],0
a3,1,0.015137,5.900451,[ 9 15] ; [64 35],[14.24390244  9.75609756] ; [58.75609756 40.24390244],0
d2,1,0.015373,5.873173,[ 6 18] ; [52 47],[11.31707317 12.68292683] ; [46.68292683 52.31707317],0
a2,1,0.023218,5.152156,[ 1 23] ; [25 74],[ 5.07317073 18.92682927] ; [20.92682927 78.07317073],0
v4,1,0.025594,4.983232,[20  4] ; [94  4],[22.42622951  1.57377049] ; [91.57377049  6.42622951],0
p4,1,0.028032,4.826083,[14 10] ; [79 20],[18.14634146  5.85365854] ; [74.85365854 24.14634146],0
r2,1,0.028108,4.821429,[20  4] ; [92  4],[22.4  1.6] ; [89.6  6.4],0
n4,1,0.038399,4.287278,[14 10] ; [78 21],[17.95121951  6.04878049] ; [74.04878049 24.95121951],0
v1,1,0.043163,4.088989,[ 9 15] ; [58 38],[13.4 10.6] ; [53.6 42.4],0
p11,1,0.076936,3.128468,[18  6] ; [88 11],[20.68292683  3.31707317] ; [85.31707317 13.68292683],0
a7,1,0.077904,3.108091,[15  9] ; [78 20],[18.29508197  5.70491803] ; [74.70491803 23.29508197],0
n6,1,0.083479,2.995835,[17  7] ; [84 14],[19.86885246  4.13114754] ; [81.13114754 16.86885246],0
s5,1,0.10928,2.564603,[ 3 19] ; [29 66],[ 6.01709402 15.98290598] ; [25.98290598 69.01709402],0
s8,1,0.123796,2.36863,[ 4 20] ; [32 66],[ 7.08196721 16.91803279] ; [28.91803279 69.08196721],0
n5,1,0.129022,2.304231,[15  9] ; [76 22],[17.90163934  6.09836066] ; [73.09836066 24.90163934],0
s6,1,0.170469,1.878816,[11 12] ; [59 34],[13.87931034  9.12068966] ; [56.12068966 36.87931034],0
s1,1,0.263925,1.248053,[ 1 22] ; [ 1 96],[ 0.38333333 22.61666667] ; [ 1.61666667 95.38333333],0
p7,1,0.2694,1.219801,[18  6] ; [82 15],[19.83471074  4.16528926] ; [80.16528926 16.83471074],0
p8,1,0.273681,1.198203,[15  9] ; [73 26],[17.17073171  6.82926829] ; [70.82926829 28.17073171],0
u4,1,0.276641,1.183518,[ 1 23] ; [ 1 97],[ 0.39344262 23.60655738] ; [ 1.60655738 96.39344262],0
p5,1,0.278802,1.172918,[ 4 20] ; [ 9 90],[ 2.53658537 21.46341463] ; [10.46341463 88.53658537],0
a8,1,0.282825,1.153465,[ 4 18] ; [ 9 81],[ 2.55357143 19.44642857] ; [10.44642857 79.55357143],0
b4,1,0.294442,1.0992,[13 11] ; [65 34],[15.2195122  8.7804878] ; [62.7804878 36.2195122],0
s3,1,0.363688,0.825119,[12 12] ; [39 59],[10.03278689 13.96721311] ; [40.96721311 57.03278689],0
a1,1,0.381077,0.767224,[ 2 22] ; [ 4 95],[ 1.17073171 22.82926829] ; [ 4.82926829 94.17073171],0
r4,1,0.382591,0.762359,[21  3] ; [92  7],[22.04878049  1.95121951] ; [90.95121951  8.04878049],0
v2,1,0.405722,0.691301,[11 13] ; [52 42],[12.81355932 11.18644068] ; [50.18644068 43.81355932],0
r1,1,0.419114,0.652799,[17  7] ; [77 21],[18.49180328  5.50819672] ; [75.50819672 22.49180328],0
b1,1,0.502262,0.450154,[12 12] ; [42 57],[10.53658537 13.46341463] ; [43.46341463 55.53658537],0
u3,1,0.51799,0.417893,[6 9] ; [17 17],[7.04081633 7.95918367] ; [15.95918367 18.04081633],0
p1,1,0.55259,0.352698,[ 4 20] ; [12 87],[ 3.12195122 20.87804878] ; [12.87804878 86.12195122],0
v3,1,0.575405,0.313722,[ 6 18] ; [29 65],[ 7.11864407 16.88135593] ; [27.88135593 66.11864407],0
