Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,0.0,106.404555,[ 62 157] ; [298 122],[123.38028169  95.61971831] ; [236.61971831 183.38028169],1
p6,1,0.0,70.455682,[ 37 181] ; [217 207],[ 86.24922118 131.75077882] ; [167.75077882 256.24922118],1
p2,1,0.0,40.79079,[158  62] ; [386  38],[185.83850932  34.16149068] ; [358.16149068  65.83850932],1
p3,1,0.0,38.764979,[ 79 140] ; [262 161],[116.32242991 102.67757009] ; [224.67757009 198.32242991],1
p4,1,0.0,37.546558,[106 113] ; [308 115],[141.22429907  77.77570093] ; [272.77570093 150.22429907],1
s5,1,1.8e-05,18.392112,[ 49 158] ; [171 245],[ 73.09791332 133.90208668] ; [146.90208668 269.09791332],1
v1,1,6.7e-05,15.901687,[ 99 112] ; [265 152],[122.29936306  88.70063694] ; [241.70063694 175.29936306],1
p10,1,8e-05,15.565503,[168  51] ; [373  48],[185.1234375  33.8765625] ; [355.8765625  65.1234375],1
r3,1,0.00046,12.269304,[198  21] ; [411  13],[207.41990669  11.58009331] ; [401.58009331  22.41990669],1
v2,1,0.000515,12.060229,[ 98 111] ; [254 159],[118.27652733  90.72347267] ; [233.72347267 179.27652733],1
p11,1,0.000967,10.889004,[164  56] ; [362  63],[179.41085271  40.58914729] ; [346.58914729  78.41085271],1
r4,1,0.001261,10.398905,[193  27] ; [403  22],[203.28682171  16.71317829] ; [392.71317829  32.28682171],0
s7,1,0.001467,10.119374,[ 93 118] ; [232 171],[111.68566775  99.31433225] ; [213.31433225 189.68566775],0
r1,1,0.001767,9.777095,[165  55] ; [359  63],[179.56386293  40.43613707] ; [344.43613707  77.56386293],0
p5,1,0.002182,9.39013,[ 17 201] ; [ 70 353],[ 29.58814353 188.41185647] ; [ 57.41185647 365.58814353],0
s8,1,0.002831,8.913242,[ 85 133] ; [217 205],[102.86875 115.13125] ; [199.13125 222.86875],0
v3,1,0.005163,7.821327,[ 74 136] ; [194 219],[ 90.33707865 119.66292135] ; [177.66292135 235.33707865],0
s6,1,0.006958,7.28378,[136  81] ; [304 112],[150.83728278  66.16271722] ; [289.16271722 126.83728278],0
b5,1,0.007895,7.057096,[148  72] ; [240 185],[132.34108527  87.65891473] ; [255.65891473 169.34108527],0
p9,1,0.008716,6.880176,[179  38] ; [378  43],[189.44984326  27.55015674] ; [367.55015674  53.44984326],0
d5,1,0.013038,6.163999,[168  52] ; [356  66],[179.56386293  40.43613707] ; [344.43613707  77.56386293],0
s2,1,0.014531,5.972516,[ 99 116] ; [238 185],[113.56583072 101.43416928] ; [223.43416928 199.56583072],0
a8,1,0.020034,5.408948,[ 21 178] ; [ 69 317],[ 30.61538462 168.38461538] ; [ 59.38461538 326.61538462],0
s1,1,0.025705,4.975745,[ 11 205] ; [  8 411],[  6.46299213 209.53700787] ; [ 12.53700787 406.46299213],0
b4,1,0.053885,3.716251,[136  84] ; [229 196],[124.49612403  95.50387597] ; [240.50387597 184.49612403],0
s3,1,0.057916,3.596066,[112 103] ; [253 169],[123.19466248  91.80533752] ; [241.80533752 180.19466248],0
d2,1,0.126727,2.33215,[119  98] ; [205 218],[109.85625 107.14375] ; [214.14375 208.85625],0
n4,1,0.163534,1.941241,[189  31] ; [380  44],[194.37888199  25.62111801] ; [374.62111801  49.37888199],0
d4,1,0.180108,1.796736,[171  48] ; [348  74],[177.31825273  41.68174727] ; [341.68174727  80.31825273],0
d3,1,0.232262,1.426953,[142  78] ; [292 130],[148.72274143  71.27725857] ; [285.27725857 136.72274143],0
a1,1,0.317626,0.998698,[  8 212] ; [ 23 402],[ 10.57364341 209.42635659] ; [ 20.42635659 404.57364341],0
a3,1,0.349522,0.875191,[155  64] ; [314 109],[159.98598131  59.01401869] ; [309.01401869 113.98598131],0
d1,1,0.36789,0.810779,[126  94] ; [259 166],[131.31782946  88.68217054] ; [253.68217054 171.31782946],0
n1,1,0.374336,0.789219,[32 35] ; [29 43],[29.4028777 37.5971223] ; [31.5971223 40.4028777],0
u3,1,0.377517,0.778771,[39 26] ; [59 52],[36.19318182 28.80681818] ; [61.80681818 49.19318182],0
a4,1,0.408516,0.683115,[109 110] ; [196 227],[104.04205607 114.95794393] ; [200.95794393 222.04205607],0
s4,1,0.444741,0.58402,[ 32 184] ; [ 72 347],[ 35.37637795 180.62362205] ; [ 68.62362205 350.37637795],0
n2,1,0.529891,0.394601,[54 15] ; [61 13],[55.48951049 13.51048951] ; [59.51048951 14.48951049],0
b2,1,0.573043,0.317618,[50 80] ; [111 157],[52.5879397 77.4120603] ; [108.4120603 159.5879397],0
b3,1,0.573043,0.317618,[50 80] ; [111 157],[52.5879397 77.4120603] ; [108.4120603 159.5879397],0
u1,1,0.579704,0.306713,[ 40 180] ; [ 85 340],[ 42.63565891 177.36434109] ; [ 82.36434109 342.63565891],0
a7,1,0.626714,0.236544,[153  66] ; [304 120],[155.65007776  63.34992224] ; [301.34992224 122.65007776],0
u4,1,0.664356,0.188276,[  7 213] ; [ 11 414],[  6.13953488 213.86046512] ; [ 11.86046512 413.13953488],0
a2,1,0.664405,0.188216,[ 54 166] ; [111 314],[ 56.27906977 163.72093023] ; [108.72093023 316.27906977],0
b1,1,0.737021,0.112762,[ 85 135] ; [170 255],[ 86.97674419 133.02325581] ; [168.02325581 256.97674419],0
p1,1,0.739323,0.110722,[ 19 201] ; [ 40 384],[ 20.1552795 199.8447205] ; [ 38.8447205 385.1552795],0
r2,1,0.747854,0.103343,[209  10] ; [405  17],[209.77535101   9.22464899] ; [404.22464899  17.77535101],0
u2,1,0.78589,0.073795,[35 30] ; [61 48],[35.86206897 29.13793103] ; [60.13793103 48.86206897],0
n6,1,0.814827,0.054851,[199  21] ; [385  38],[199.81337481  20.18662519] ; [384.18662519  38.81337481],0
n3,1,0.859926,0.031141,[48 19] ; [54 20],[48.46808511 18.53191489] ; [53.53191489 20.46808511],0
a6,1,0.919678,0.010168,[151  69] ; [288 134],[150.43613707  69.56386293] ; [288.56386293 133.43613707],0
p12,1,0.970997,0.001322,[ 20 199] ; [ 39 384],[ 20.12616822 198.87383178] ; [ 38.87383178 384.12616822],0
a5,1,0.983278,0.000439,[166  54] ; [321 104],[166.10852713  53.89147287] ; [320.89147287 104.10852713],0
