Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.0,33.882353,[18 36] ; [67 14],[34. 20.] ; [51. 30.],1
n6,1,0.000194,13.888889,[26 28] ; [64 17],[36. 18.] ; [54. 27.],1
a6,1,0.006729,7.344033,[24 30] ; [55 26],[31.6 22.4] ; [47.4 33.6],0
a1,1,0.025347,5.0,[ 2 52] ; [13 68],[ 6. 48.] ; [ 9. 72.],0
d4,1,0.03193,4.602273,[45  9] ; [54 27],[39.6 14.4] ; [59.4 21.6],0
r3,1,0.033526,4.518717,[46  8] ; [56 25],[40.8 13.2] ; [61.2 19.8],0
v2,1,0.037317,4.335882,[25 26] ; [23 52],[19.42857143 31.57142857] ; [28.57142857 46.42857143],0
u3,1,0.04168,4.148148,[14  7] ; [10 17],[10.5 10.5] ; [13.5 13.5],0
p3,1,0.055135,3.677988,[ 7 46] ; [22 59],[11.47014925 41.52985075] ; [17.52985075 63.47014925],0
a5,1,0.055153,3.677466,[30 24] ; [58 23],[35.2 18.8] ; [52.8 28.2],0
d5,1,0.062407,3.472222,[41 13] ; [49 32],[36. 18.] ; [54. 27.],0
a2,1,0.066081,3.377792,[ 8 46] ; [23 58],[12.4 41.6] ; [18.6 62.4],0
p12,1,0.070807,3.264222,[ 1 52] ; [ 8 73],[ 3.55970149 49.44029851] ; [ 5.44029851 75.55970149],0
p1,1,0.093533,2.8125,[ 3 51] ; [12 69],[ 6. 48.] ; [ 9. 72.],0
n2,1,0.094625,2.793874,[12 12] ; [27 11],[15.09677419  8.90322581] ; [23.90322581 14.09677419],0
p9,1,0.097648,2.743537,[22 28] ; [46 32],[26.5625 23.4375] ; [41.4375 36.5625],0
s4,1,0.125224,2.35074,[14 40] ; [12 67],[10.55639098 43.44360902] ; [15.44360902 63.55639098],0
u2,1,0.145729,2.116402,[13  8] ; [11 16],[10.5 10.5] ; [13.5 13.5],0
s8,1,0.162898,1.947115,[12 42] ; [27 54],[15.6 38.4] ; [23.4 57.6],0
b5,1,0.180363,1.794631,[33 21] ; [40 41],[29.2 24.8] ; [43.8 37.2],0
p11,1,0.181804,1.782814,[23 31] ; [44 37],[26.8 27.2] ; [40.2 40.8],0
n1,1,0.205964,1.599571,[ 9 15] ; [20 17],[11.40983607 12.59016393] ; [17.59016393 19.40983607],0
u1,1,0.244687,1.353383,[ 6 48] ; [15 66],[ 8.4 45.6] ; [12.6 68.4],0
r4,1,0.263552,1.25,[39 15] ; [51 30],[36. 18.] ; [54. 27.],0
s2,1,0.278052,1.176589,[20 33] ; [23 57],[17.13533835 35.86466165] ; [25.86466165 54.13533835],0
p10,1,0.282393,1.155537,[22 30] ; [41 38],[25.00763359 26.99236641] ; [37.99236641 41.00763359],0
d2,1,0.286659,1.135247,[25 29] ; [44 35],[28.01503759 25.98496241] ; [40.98496241 38.01503759],0
s1,1,0.314657,1.011025,[ 6 48] ; [ 5 75],[ 4.43283582 49.56716418] ; [ 6.56716418 73.43283582],0
u4,1,0.352236,0.865385,[ 1 53] ; [ 4 77],[ 2. 52.] ; [ 3. 78.],0
v1,1,0.354431,0.857529,[19 34] ; [22 56],[16.58778626 36.41221374] ; [24.41221374 53.58778626],0
b1,1,0.360308,0.836818,[23 31] ; [41 40],[25.6 28.4] ; [38.4 42.6],0
a3,1,0.388438,0.743825,[33 21] ; [54 25],[35.32330827 18.67669173] ; [51.67669173 27.32330827],0
