Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,29.100489,[49 36] ; [217  37],[66.69616519 18.30383481] ; [199.30383481  54.69616519],1
p10,1,1e-06,23.354946,[39 45] ; [188  63],[56.91940299 27.08059701] ; [170.08059701  80.91940299],1
v4,1,1e-06,23.224028,[61 24] ; [233  20],[73.93491124 11.06508876] ; [220.06508876  32.93491124],1
r3,1,4e-06,21.478469,[63 22] ; [235  18],[74.9408284 10.0591716] ; [223.0591716  29.9408284],1
p11,1,7e-06,20.156291,[46 39] ; [201  53],[61.93215339 23.06784661] ; [185.06784661  68.93215339],1
p9,1,8e-06,20.051547,[45 39] ; [197  53],[60.86227545 23.13772455] ; [181.13772455  68.86227545],1
n4,1,4.8e-05,16.53808,[38 47] ; [176  78],[53.65781711 31.34218289] ; [160.34218289  93.65781711],1
n5,1,6.7e-05,15.907172,[38 46] ; [175  77],[53.25 30.75] ; [159.75  92.25],1
p2,1,0.000166,14.182592,[49 35] ; [201  53],[62.13017751 21.86982249] ; [187.86982249  66.13017751],1
r2,1,0.004544,8.052489,[65 19] ; [224  26],[72.68263473 11.31736527] ; [216.31736527  33.68263473],0
a1,1,0.004693,7.994015,[ 8 77] ; [  6 248],[ 3.51032448 81.48967552] ; [ 10.48967552 243.51032448],0
b1,1,0.005551,7.690591,[46 39] ; [ 94 160],[35.10324484 49.89675516] ; [104.89675516 149.10324484],0
p8,1,0.007167,7.230567,[24 60] ; [114 138],[34.5 49.5] ; [103.5 148.5],0
s1,1,0.013168,6.146341,[ 5 79] ; [  3 249],[ 2. 82.] ; [  6. 246.],0
s5,1,0.02176,5.264885,[10 73] ; [ 59 188],[17.35454545 65.64545455] ; [ 51.64545455 195.35454545],0
a5,1,0.031303,4.636266,[43 42] ; [162  92],[51.40117994 33.59882006] ; [153.59882006 100.40117994],0
d5,1,0.053191,3.737922,[55 30] ; [191  62],[61.86390533 23.13609467] ; [184.13609467  68.86390533],0
n3,1,0.055221,3.67541,[20 14] ; [48 14],[24.08333333  9.91666667] ; [43.91666667 18.08333333],0
p4,1,0.055821,3.657378,[29 55] ; [118 136],[36.53254438 47.46745562] ; [110.46745562 143.53254438],0
s6,1,0.069679,3.290572,[33 52] ; [125 124],[40.20958084 44.79041916] ; [117.79041916 131.20958084],0
s4,1,0.096209,2.767285,[ 8 77] ; [ 42 207],[12.7245509 72.2754491] ; [ 37.2754491 211.7245509],0
d3,1,0.102706,2.663008,[44 40] ; [158  95],[50.35014837 33.64985163] ; [151.64985163 101.35014837],0
r1,1,0.105532,2.619883,[51 33] ; [177  75],[57. 27.] ; [171.  81.],0
p7,1,0.105834,2.615345,[36 45] ; [138 114],[42.32432432 38.67567568] ; [131.67567568 120.32432432],0
v1,1,0.111245,2.536445,[26 56] ; [104 146],[32.10843373 49.89156627] ; [ 97.89156627 152.10843373],0
p3,1,0.125654,2.345396,[24 60] ; [ 96 158],[29.82248521 54.17751479] ; [ 90.17751479 163.82248521],0
d4,1,0.201373,1.632389,[59 26] ; [194  60],[63.43657817 21.56342183] ; [189.56342183  64.43657817],0
n2,1,0.20194,1.62829,[21 14] ; [45 17],[23.81443299 11.18556701] ; [42.18556701 19.81443299],0
p6,1,0.210615,1.567191,[16 64] ; [ 68 184],[20.24096386 59.75903614] ; [ 63.75903614 188.24096386],0
d1,1,0.221124,1.497059,[34 51] ; [121 133],[38.86430678 46.13569322] ; [116.13569322 137.86430678],0
v2,1,0.249364,1.326864,[25 56] ; [ 93 152],[29.3190184 51.6809816] ; [ 88.6809816 156.3190184],0
a6,1,0.249591,1.325592,[50 35] ; [167  87],[54.4100295 30.5899705] ; [162.5899705  91.4100295],0
a7,1,0.270096,1.216258,[54 31] ; [177  76],[58.09171598 26.90828402] ; [172.90828402  80.09171598],0
u2,1,0.28962,1.121387,[19 17] ; [50 67],[16.23529412 19.76470588] ; [52.76470588 64.23529412],0
s3,1,0.303934,1.056853,[34 50] ; [ 86 165],[30.08955224 53.91044776] ; [ 89.91044776 161.08955224],0
d2,1,0.336988,0.921855,[36 49] ; [ 92 160],[32.28486647 52.71513353] ; [ 95.71513353 156.28486647],0
p5,1,0.350095,0.873113,[ 2 82] ; [ 12 242],[ 3.47928994 80.52071006] ; [ 10.52071006 243.47928994],0
u4,1,0.414672,0.665366,[ 1 84] ; [  1 253],[ 0.50147493 84.49852507] ; [  1.49852507 252.50147493],0
a8,1,0.428902,0.625795,[10 71] ; [ 22 215],[ 8.1509434 72.8490566] ; [ 23.8490566 213.1509434],0
a3,1,0.447625,0.576659,[49 35] ; [135 117],[46. 38.] ; [138. 114.],0
u1,1,0.501865,0.45099,[ 6 79] ; [ 24 230],[ 7.52212389 77.47787611] ; [ 22.47787611 231.52212389],0
p12,1,0.503267,0.448041,[ 1 84] ; [  6 247],[ 1.76035503 83.23964497] ; [  5.23964497 247.76035503],0
b4,1,0.544916,0.366504,[46 39] ; [147 107],[48.39233038 36.60766962] ; [144.60766962 109.39233038],0
s2,1,0.564933,0.331235,[20 65] ; [ 67 184],[22.00892857 62.99107143] ; [ 64.99107143 186.00892857],0
b2,1,0.56694,0.327829,[15 36] ; [44 86],[16.62430939 34.37569061] ; [42.37569061 87.62430939],0
b3,1,0.56694,0.327829,[15 36] ; [44 86],[16.62430939 34.37569061] ; [42.37569061 87.62430939],0
n1,1,0.58804,0.293416,[13 22] ; [20 43],[11.78571429 23.21428571] ; [21.21428571 41.78571429],0
s8,1,0.588785,0.292245,[12 73] ; [ 42 211],[13.57988166 71.42011834] ; [ 40.42011834 212.57988166],0
a2,1,0.659439,0.194205,[13 72] ; [ 34 220],[11.78466077 73.21533923] ; [ 35.21533923 218.78466077],0
u3,1,0.670082,0.181506,[19 17] ; [57 60],[17.88235294 18.11764706] ; [58.11764706 58.88235294],0
a4,1,0.722257,0.12634,[29 56] ; [ 91 160],[30.35714286 54.64285714] ; [ 89.64285714 161.35714286],0
p1,1,0.812215,0.056439,[ 6 79] ; [ 16 237],[ 5.53254438 79.46745562] ; [ 16.46745562 236.53254438],0
b5,1,0.867131,0.027991,[51 34] ; [155  99],[51.6519174 33.3480826] ; [154.3480826  99.6519174],0
