Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,1e-06,23.48604,[15  2] ; [ 5 26],[7.08333333 9.91666667] ; [12.91666667 18.08333333],1
d2,1,5.9e-05,16.132302,[14  2] ; [ 8 23],[7.4893617 8.5106383] ; [14.5106383 16.4893617],1
d5,1,0.00186,9.683275,[15  2] ; [13 18],[9.91666667 7.08333333] ; [18.08333333 12.91666667],0
d4,1,0.00186,9.683275,[15  2] ; [13 18],[9.91666667 7.08333333] ; [18.08333333 12.91666667],0
s3,1,0.02673,4.908183,[10  6] ; [ 9 22],[6.46808511 9.53191489] ; [12.53191489 18.46808511],0
a3,1,0.02812,4.820682,[13  4] ; [13 17],[9.40425532 7.59574468] ; [16.59574468 13.40425532],0
a6,1,0.036505,4.373362,[13  4] ; [14 17],[9.5625 7.4375] ; [17.4375 13.5625],0
a4,1,0.07645,3.138807,[7 9] ; [ 6 25],[ 4.42553191 11.57446809] ; [ 8.57446809 22.42553191],0
b4,1,0.09213,2.836754,[13  4] ; [16 15],[10.27083333  6.72916667] ; [18.72916667 12.27083333],0
p11,1,0.131302,2.27704,[11  6] ; [13 18],[8.5 8.5] ; [15.5 15.5],0
p10,1,0.152105,2.051016,[11  5] ; [14 16],[8.69565217 7.30434783] ; [16.30434783 13.69565217],0
p8,1,0.178283,1.811879,[ 5 12] ; [ 4 26],[ 3.25531915 13.74468085] ; [ 5.74468085 24.25531915],0
a7,1,0.18103,1.789148,[10  7] ; [12 19],[7.79166667 9.20833333] ; [14.20833333 16.79166667],0
r2,1,0.183335,1.770379,[11  5] ; [15 16],[8.85106383 7.14893617] ; [17.14893617 13.85106383],0
a5,1,0.202194,1.626457,[12  5] ; [16 15],[9.91666667 7.08333333] ; [18.08333333 12.91666667],0
n4,1,0.205932,1.599799,[16  1] ; [25  6],[14.52083333  2.47916667] ; [26.47916667  4.52083333],0
r4,1,0.222579,1.487666,[ 6 11] ; [ 6 25],[ 4.25 12.75] ; [ 7.75 23.25],0
p5,1,0.240748,1.376209,[ 3 14] ; [ 2 28],[ 1.80851064 15.19148936] ; [ 3.19148936 26.80851064],0
n1,1,0.2524,1.309972,[2 4] ; [8 5],[3.15789474 2.84210526] ; [6.84210526 6.15789474],0
p3,1,0.271878,1.207245,[ 7 10] ; [ 8 23],[ 5.3125 11.6875] ; [ 9.6875 21.3125],0
s5,1,0.295727,1.093362,[ 4 12] ; [ 4 27],[ 2.72340426 13.27659574] ; [ 5.27659574 25.72340426],0
s4,1,0.3046,1.053944,[ 1 16] ; [ 5 26],[ 2.125 14.875] ; [ 3.875 27.125],0
