Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,33.291005,[62 50] ; [211  41],[84. 28.] ; [189.  63.],1
p7,1,1e-06,24.986551,[50 62] ; [180  70],[71.16022099 40.83977901] ; [158.83977901  91.16022099],1
p3,1,3e-06,22.049245,[36 79] ; [146 107],[56.875 58.125] ; [125.125 127.875],1
n4,1,1e-05,19.420141,[68 46] ; [208  48],[85.03783784 28.96216216] ; [190.96216216  65.03783784],1
n5,1,2e-05,18.204855,[66 48] ; [203  53],[82.88108108 31.11891892] ; [186.11891892  69.88108108],1
p4,1,2.8e-05,17.575092,[46 68] ; [162  92],[64.43478261 49.56521739] ; [143.56521739 110.43478261],1
p2,1,3.9e-05,16.919054,[73 43] ; [208  44],[88.57608696 27.42391304] ; [192.42391304  59.57608696],1
p8,1,0.000105,15.039696,[43 71] ; [149 101],[60.13186813 53.86813187] ; [131.86813187 118.13186813],1
p9,1,0.000619,11.71838,[73 38] ; [207  45],[85.61983471 25.38016529] ; [194.38016529  57.61983471],1
r3,1,0.00268,9.013509,[97 17] ; [240  14],[104.39673913   9.60326087] ; [232.60326087  21.39673913],0
s8,1,0.002873,8.886613,[35 81] ; [118 135],[48.09756098 67.90243902] ; [104.90243902 148.09756098],0
u3,1,0.002935,8.847578,[16 29] ; [43 24],[23.70535714 21.29464286] ; [35.29464286 31.70535714],0
p6,1,0.00731,7.195186,[31 82] ; [105 144],[42.45303867 70.54696133] ; [ 93.54696133 155.45303867],0
u2,1,0.007351,7.185113,[17 28] ; [42 24],[23.91891892 21.08108108] ; [35.08108108 30.91891892],0
a5,1,0.008198,6.989779,[74 42] ; [197  59],[84.50537634 31.49462366] ; [186.49462366  69.50537634],0
n6,1,0.011625,6.367193,[77 37] ; [204  52],[86.57837838 27.42162162] ; [194.42162162  61.57837838],0
v4,1,0.01608,5.79408,[99 16] ; [238  16],[105.02710027   9.97289973] ; [231.97289973  22.02710027],0
v1,1,0.01787,5.60886,[47 67] ; [136 113],[57.47107438 56.52892562] ; [125.52892562 123.47107438],0
r4,1,0.019849,5.425096,[90 26] ; [223  33],[97.60215054 18.39784946] ; [215.39784946  40.60215054],0
s7,1,0.024372,5.067955,[38 71] ; [116 127],[47.6875 61.3125] ; [106.3125 136.6875],0
a3,1,0.024519,5.057514,[70 42] ; [189  66],[79.04087193 32.95912807] ; [179.95912807  75.04087193],0
p12,1,0.043903,4.060296,[  2 113] ; [ 17 234],[  5.96994536 109.03005464] ; [ 13.03005464 237.96994536],0
s1,1,0.048191,3.903311,[  9 106] ; [  8 245],[  5.3125 109.6875] ; [ 11.6875 241.3125],0
n1,1,0.053444,3.729984,[15 29] ; [24 20],[19.5 24.5] ; [19.5 24.5],0
a7,1,0.058478,3.580036,[85 30] ; [163  92],[77.08108108 37.91891892] ; [170.91891892  84.08108108],0
p5,1,0.067576,3.340937,[  9 106] ; [ 37 216],[ 14.375 100.625] ; [ 31.625 221.375],0
s4,1,0.081602,3.032705,[25 91] ; [ 36 216],[19.22826087 96.77173913] ; [ 41.77173913 210.22826087],0
n3,1,0.090224,2.870366,[26 17] ; [34 10],[29.65517241 13.34482759] ; [30.34482759 13.65517241],0
s6,1,0.095835,2.773524,[61 53] ; [155  92],[68.21052632 45.78947368] ; [147.78947368  99.21052632],0
b5,1,0.099792,2.708866,[74 42] ; [140 116],[66.7311828 49.2688172] ; [147.2688172 108.7311828],0
d3,1,0.103335,2.653305,[83 33] ; [161  95],[76.08602151 39.91397849] ; [167.91397849  88.08602151],0
s3,1,0.16281,1.947927,[56 58] ; [143 108],[62.15342466 51.84657534] ; [136.84657534 114.15342466],0
r1,1,0.173999,1.848147,[82 32] ; [200  55],[87.12195122 26.87804878] ; [194.87804878  60.12195122],0
a4,1,0.188235,1.73138,[47 68] ; [123 132],[52.83783784 62.16216216] ; [117.16216216 137.83783784],0
s5,1,0.203323,1.618345,[27 81] ; [ 78 168],[32.03389831 75.96610169] ; [ 72.96610169 173.03389831],0
a1,1,0.216512,1.527338,[  4 112] ; [ 17 239],[  6.5483871 109.4516129] ; [ 14.4516129 241.5483871],0
s2,1,0.260234,1.26751,[50 66] ; [125 128],[55.01355014 60.98644986] ; [119.98644986 133.01355014],0
a8,1,0.277614,1.178735,[10 91] ; [ 34 205],[13.07058824 87.92941176] ; [ 30.92941176 208.07058824],0
b4,1,0.431615,0.618473,[62 54] ; [148 108],[65.48387097 50.51612903] ; [144.51612903 111.48387097],0
v3,1,0.43714,0.603779,[37 72] ; [ 96 155],[40.26944444 68.73055556] ; [ 92.73055556 158.26944444],0
v2,1,0.454095,0.560411,[54 54] ; [132 111],[57.23076923 50.76923077] ; [128.76923077 114.23076923],0
r2,1,0.465364,0.532962,[104   8] ; [229  24],[102.18082192   9.81917808] ; [230.81917808  22.18082192],0
d4,1,0.477051,0.505598,[90 26] ; [206  49],[92.54986523 23.45013477] ; [203.45013477  51.54986523],0
n2,1,0.480177,0.498462,[31 14] ; [34 11],[32.5 12.5] ; [32.5 12.5],0
d2,1,0.527994,0.398251,[53 63] ; [126 130],[55.8172043 60.1827957] ; [123.1827957 132.8172043],0
