Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,26.029972,[17 67] ; [17  5],[26.94339623 57.05660377] ; [ 7.05660377 14.94339623],1
s6,1,3e-05,17.433786,[24 60] ; [17  5],[32.49056604 51.50943396] ; [ 8.50943396 13.49056604],1
s4,1,0.000355,12.753252,[ 8 76] ; [ 9 13],[13.47169811 70.52830189] ; [ 3.52830189 18.47169811],1
b4,1,0.001369,10.247192,[45 39] ; [20  2],[51.50943396 32.49056604] ; [13.49056604  8.50943396],0
s3,1,0.003945,8.309146,[22 61] ; [13  9],[27.66666667 55.33333333] ; [ 7.33333333 14.66666667],0
s7,1,0.004641,8.014404,[17 65] ; [10  9],[21.92079208 60.07920792] ; [ 5.07920792 13.92079208],0
s8,1,0.006529,7.398192,[10 74] ; [ 8 14],[14.26415094 69.73584906] ; [ 3.73584906 18.26415094],0
p3,1,0.015349,5.87592,[14 69] ; [ 9 13],[18.18095238 64.81904762] ; [ 4.81904762 17.18095238],0
d3,1,0.016621,5.735931,[37 47] ; [16  6],[42. 42.] ; [11. 11.],0
p5,1,0.027918,4.833105,[ 2 81] ; [ 3 19],[ 3.95238095 79.04761905] ; [ 1.04761905 20.95238095],0
a7,1,0.027997,4.82824,[43 41] ; [17  5],[47.54716981 36.45283019] ; [12.45283019  9.54716981],0
d4,1,0.029887,4.715789,[52 32] ; [19  3],[56.26415094 27.73584906] ; [14.73584906  7.26415094],0
r4,1,0.040694,4.188698,[33 51] ; [14  8],[37.24528302 46.75471698] ; [ 9.75471698 12.24528302],0
p10,1,0.04581,3.988575,[44 38] ; [17  5],[48.09615385 33.90384615] ; [12.90384615  9.09615385],0
v1,1,0.066738,3.361485,[23 56] ; [11 11],[26.59405941 52.40594059] ; [ 7.40594059 14.59405941],0
u2,1,0.067089,3.352833,[10 25] ; [6 4],[12.44444444 22.55555556] ; [3.55555556 6.44444444],0
n5,1,0.074371,3.183806,[59 25] ; [11 11],[55.47169811 28.52830189] ; [14.52830189  7.47169811],0
p4,1,0.079755,3.069886,[22 62] ; [10 12],[25.35849057 58.64150943] ; [ 6.64150943 15.35849057],0
p6,1,0.081777,3.029228,[10 72] ; [ 6 16],[12.61538462 69.38461538] ; [ 3.38461538 18.61538462],0
p9,1,0.094546,2.795209,[53 26] ; [18  3],[56.09 22.91] ; [14.91  6.09],0
u3,1,0.10028,2.70108,[11 24] ; [6 4],[13.22222222 21.77777778] ; [3.77777778 6.22222222],0
v4,1,0.104838,2.63036,[58 26] ; [19  3],[61.01886792 22.98113208] ; [15.98113208  6.01886792],0
p2,1,0.127841,2.318524,[42 42] ; [15  7],[45.16981132 38.83018868] ; [11.83018868 10.16981132],0
s1,1,0.141492,2.161659,[ 2 82] ; [ 2 20],[ 3.16981132 80.83018868] ; [ 0.83018868 21.16981132],0
r2,1,0.253065,1.306302,[57 25] ; [18  4],[59.13461538 22.86538462] ; [15.86538462  6.13461538],0
p1,1,0.25389,1.301772,[ 8 76] ; [ 4 18],[ 9.50943396 74.49056604] ; [ 2.49056604 19.50943396],0
n4,1,0.26361,1.249699,[53 31] ; [11 11],[50.71698113 33.28301887] ; [13.28301887  8.71698113],0
n3,1,0.265978,1.237374,[19 13] ; [3 5],[17.6 14.4] ; [4.4 3.6],0
d1,1,0.311383,1.024803,[32 52] ; [11 11],[34.0754717 49.9245283] ; [ 8.9245283 13.0754717],0
a8,1,0.375642,0.784917,[ 9 71] ; [ 1 20],[ 7.92079208 72.07920792] ; [ 2.07920792 18.92079208],0
a2,1,0.378213,0.776502,[ 9 75] ; [ 1 21],[ 7.9245283 76.0754717] ; [ 2.0754717 19.9245283],0
d5,1,0.398828,0.711858,[53 31] ; [16  6],[54.67924528 29.32075472] ; [14.32075472  7.67924528],0
v3,1,0.43952,0.597536,[19 64] ; [ 3 17],[17.72815534 65.27184466] ; [ 4.27184466 15.72815534],0
a5,1,0.447431,0.577151,[42 42] ; [13  9],[43.58490566 40.41509434] ; [11.41509434 10.58490566],0
n6,1,0.450262,0.569991,[58 26] ; [17  5],[59.43396226 24.56603774] ; [15.56603774  6.43396226],0
a1,1,0.455829,0.556116,[ 8 76] ; [ 1 21],[ 7.13207547 76.86792453] ; [ 1.86792453 20.13207547],0
n2,1,0.507335,0.43956,[20 12] ; [6 2],[20.8 11.2] ; [5.2 2.8],0
n1,1,0.507335,0.43956,[12 20] ; [2 6],[11.2 20.8] ; [2.8 5.2],0
d2,1,0.510393,0.433262,[35 48] ; [11 11],[36.36190476 46.63809524] ; [ 9.63809524 12.36190476],0
a4,1,0.531139,0.392212,[28 55] ; [ 9 13],[29.24761905 53.75238095] ; [ 7.75238095 14.24761905],0
b3,1,0.568268,0.32559,[22 26] ; [4 7],[21.15254237 26.84745763] ; [4.84745763 6.15254237],0
b2,1,0.568268,0.32559,[22 26] ; [4 7],[21.15254237 26.84745763] ; [4.84745763 6.15254237],0
p8,1,0.612162,0.257038,[16 68] ; [ 3 18],[15.2 68.8] ; [ 3.8 17.2],0
u1,1,0.662334,0.190701,[ 6 78] ; [ 1 21],[ 5.54716981 78.45283019] ; [ 1.45283019 20.54716981],0
r3,1,0.718437,0.129996,[61 22] ; [17  5],[61.65714286 21.34285714] ; [16.34285714  5.65714286],0
b5,1,0.730147,0.118977,[53 31] ; [13  9],[52.30188679 31.69811321] ; [13.69811321  8.30188679],0
a3,1,0.74898,0.10239,[49 35] ; [12 10],[48.33962264 35.66037736] ; [12.66037736  9.33962264],0
b1,1,0.791465,0.069912,[37 47] ; [ 9 13],[36.45283019 47.54716981] ; [ 9.54716981 12.45283019],0
a6,1,0.842286,0.039589,[44 40] ; [11 11],[43.58490566 40.41509434] ; [11.41509434 10.58490566],0
p11,1,0.970635,0.001355,[50 34] ; [13  9],[49.9245283 34.0754717] ; [13.0754717  8.9245283],0
v2,1,0.974104,0.001054,[24 57] ; [ 6 14],[24.05940594 56.94059406] ; [ 5.94059406 14.05940594],0
