Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,4e-06,21.358016,[36 63] ; [26  5],[47.21538462 51.78461538] ; [14.78461538 16.21538462],1
s2,1,9e-06,19.747242,[25 73] ; [21  9],[35.21875 62.78125] ; [10.78125 19.21875],1
s7,1,1.1e-05,19.346694,[20 72] ; [19 10],[29.65289256 62.34710744] ; [ 9.34710744 19.65289256],1
n5,1,0.010847,6.49018,[51 48] ; [24  7],[57.11538462 41.88461538] ; [17.88461538 13.11538462],0
v3,1,0.011026,6.461075,[27 69] ; [16 14],[32.76190476 63.23809524] ; [10.23809524 19.76190476],0
n6,1,0.013167,6.146496,[59 40] ; [26  5],[64.73076923 34.26923077] ; [20.26923077 10.73076923],0
u2,1,0.036078,4.393433,[18 21] ; [9 2],[21.06 17.94] ; [5.94 5.06],0
p10,1,0.049461,3.859645,[23 74] ; [13 18],[27.28125 69.71875] ; [ 8.71875 22.28125],0
s5,1,0.050556,3.822906,[16 83] ; [10 21],[19.8 79.2] ; [ 6.2 24.8],0
n4,1,0.053456,3.729616,[65 34] ; [26  5],[69.3 29.7] ; [21.7  9.3],0
s3,1,0.055999,3.652092,[43 56] ; [19 11],[47.58139535 51.41860465] ; [14.41860465 15.58139535],0
b1,1,0.07036,3.27461,[52 47] ; [22  9],[56.35384615 42.64615385] ; [17.64615385 13.35384615],0
r4,1,0.114184,2.495335,[81 18] ; [29  2],[83.76923077 15.23076923] ; [26.23076923  4.76923077],0
d5,1,0.120513,2.410645,[69 30] ; [26  5],[72.34615385 26.65384615] ; [22.65384615  8.34615385],0
p5,1,0.123737,2.369375,[ 3 96] ; [ 3 28],[ 4.56923077 94.43076923] ; [ 1.43076923 29.56923077],0
u3,1,0.139575,2.182637,[23 17] ; [9 2],[25.09803922 14.90196078] ; [6.90196078 4.09803922],0
p2,1,0.182646,1.775959,[57 42] ; [22  9],[60.16153846 38.83846154] ; [18.83846154 12.16153846],0
